Denver Intl, United States (DEN): 0.00446207734423076
Chicago Ohare Intl, United States (ORD): 0.0041754835627937
Los Angeles Intl, United States (LAX): 0.004014279698603842
Sydney Intl, Australia (SYD): 0.003355142046959939
Hartsfield Jackson Atlanta Intl, United States (ATL): 0.0033503576660059717
Domododevo, Russia (DME): 0.0032685226963072834
Dallas Fort Worth Intl, United States (DFW): 0.0031732490313687274
Capital Intl, China (PEK): 0.0030049923956535786
Changi Intl, Singapore (SIN): 0.002959449988473424
Eldorado Intl, Colombia (BOG): 0.002827264205331742
Heathrow, United Kingdom (LHR): 0.002820709655205865
Charles De Gaulle, France (CDG): 0.0027915289072944624
Frankfurt Main, Germany (FRA): 0.0027217958965667175
Schiphol, Netherlands (AMS): 0.002577399250586552
Ataturk, Turkey (IST): 0.0025516779178055967
John F Kennedy Intl, United States (JFK): 0.0025477631918198553
Lester B Pearson Intl, Canada (YYZ): 0.002544123034621094
Licenciado Benito Juarez Intl, Mexico (MEX): 0.002520527659894763
Dubai Intl, United Arab Emirates (DXB): 0.0024869513906296686
Aeroparque Jorge Newbery, Argentina (AEP): 0.0024595110688983486
Incheon Intl, South Korea (ICN): 0.0024123616811771932
Ninoy Aquino Intl, Philippines (MNL): 0.002380492453582295
Brisbane Intl, Australia (BNE): 0.0023591880403251945
Minneapolis St Paul Intl, United States (MSP): 0.002293609056538786
Pudong, China (PVG): 0.0022828560762797796
Barcelona, Spain (BCN): 0.0022174706852994843
Indira Gandhi Intl, India (DEL): 0.00221712028462943
Johannesburg Intl, South Africa (JNB): 0.0022048508750448404
Charlotte Douglas Intl, United States (CLT): 0.0021850102483874185
George Bush Intercontinental, United States (IAH): 0.002182266167517043
Suvarnabhumi Intl, Thailand (BKK): 0.002176022581070796
Miami Intl, United States (MIA): 0.0021199391740308353
Pulkovo, Russia (LED): 0.002112510483374168
Hong Kong Intl, Hong Kong (HKG): 0.0020819100988516983
Tokyo Intl, Japan (HND): 0.0020686517784770167
Kuala Lumpur Intl, Malaysia (KUL): 0.002035402770700626
Seattle Tacoma Intl, United States (SEA): 0.0020321903672779005
San Francisco Intl, United States (SFO): 0.002009448452419502
Vancouver Intl, Canada (YVR): 0.002000714825016189
Fiumicino, Italy (FCO): 0.0019464158176707332
Gatwick, United Kingdom (LGW): 0.0019222997076080404
Chhatrapati Shivaji Intl, India (BOM): 0.001903808702799738
Barajas, Spain (MAD): 0.0018891599219410954
Auckland Intl, New Zealand (AKL): 0.0018698166118541405
Ted Stevens Anchorage Intl, United States (ANC): 0.0018644558567914062
Franz Josef Strauss, Germany (MUC): 0.001831419470866177
Soekarno Hatta Intl, Indonesia (CGK): 0.001826039390652885
Schwechat, Austria (VIE): 0.0018088195965672517
Mc Carran Intl, United States (LAS): 0.0018038496541039934
Guarulhos Gov Andre Franco Montouro, Brazil (GRU): 0.0018028706073312472
Narita Intl, Japan (NRT): 0.0017941248532174713
Baiyun Intl, China (CAN): 0.0017870740487618772
Jorge Chavez Intl, Peru (LIM): 0.0017689285809101792
Detroit Metro Wayne Co, United States (DTW): 0.0017535758296910189
Melbourne Intl, Australia (MEL): 0.0017519421284800337
Wujiaba, China (KMG): 0.001704629234765805
Washington Dulles Intl, United States (IAD): 0.0016755646205039395
Son Sant Joan, Spain (PMI): 0.0016737270139883344
Bethel, United States (BET): 0.0016725075147778173
Gardermoen, Norway (OSL): 0.0016537347398273936
Shuangliu, China (CTU): 0.0016434804763017312
Arlanda, Sweden (ARN): 0.0016205135459936484
Helsinki Vantaa, Finland (HEL): 0.0016144731131898411
Orly, France (ORY): 0.0016142481995430552
Brussels Natl, Belgium (BRU): 0.0016093951135864493
General Edward Lawrence Logan Intl, United States (BOS): 0.0016017942075191413
Mehrabad Intl, Iran (THR): 0.0015998488898623009
Philadelphia Intl, United States (PHL): 0.0015969931992480927
Manchester, United Kingdom (MAN): 0.0015918477893182748
Newark Liberty Intl, United States (EWR): 0.0015909560078284622
Pierre Elliott Trudeau Intl, Canada (YUL): 0.0015896155768104882
Sheremetyevo, Russia (SVO): 0.0015670299484337403
Phoenix Sky Harbor Intl, United States (PHX): 0.001563521905161886
Kastrup, Denmark (CPH): 0.001539843777844678
Orlando Intl, United States (MCO): 0.0015384512645648647
Dusseldorf, Germany (DUS): 0.0015217069643592104
King Abdulaziz Intl, Saudi Arabia (JED): 0.0015172421284531438
Fort Lauderdale Hollywood Intl, United States (FLL): 0.0015047729257046604
Abu Dhabi Intl, United Arab Emirates (AUH): 0.001497263992586312
Faa\\'a International, French Polynesia (PPT): 0.0014821816726994508
Taoyuan Intl, Taiwan (TPE): 0.001459314175713732
Jomo Kenyatta International, Kenya (NBO): 0.0014288333594233088
Presidente Juscelino Kubitschek, Brazil (BSB): 0.001421823557708218
Zurich, Switzerland (ZRH): 0.001410836688788545
Bole Intl, Ethiopia (ADD): 0.0013896322227350602
Eleftherios Venizelos Intl, Greece (ATH): 0.001383984242882115
Xianyang, China (XIY): 0.0013838600777420396
Port Moresby Jacksons Intl, Papua New Guinea (POM): 0.001377072894932732
King Khaled Intl, Saudi Arabia (RUH): 0.001357949422704417
Honiara International, Solomon Islands (HIR): 0.0013484372735378164
Salt Lake City Intl, United States (SLC): 0.0013426262492515569
Don Muang Intl, Thailand (DMK): 0.0013398495398540267
Perth Intl, Australia (PER): 0.0013385556620596041
Fairbanks Intl, United States (FAI): 0.0013060573875820366
Diwopu, China (URC): 0.001262928864324738
Honolulu Intl, United States (HNL): 0.0012610348772388615
Cairo Intl, Egypt (CAI): 0.0012583189268140296
Lisboa, Portugal (LIS): 0.0012543497532056683
Viracopos, Brazil (VCP): 0.0012457859210841756
Simon Bolivar Intl, Venezuela (CCS): 0.001211841330092785
Jiangbei, China (CKG): 0.0011932050203564695
Malpensa, Italy (MXP): 0.001181407422260623
Calgary Intl, Canada (YYC): 0.0011794681192039717
Arturo Merino Benitez Intl, Chile (SCL): 0.0011678940606109239
Sabiha Gokcen, Turkey (SAW): 0.0011557027194882671
Lambert St Louis Intl, United States (STL): 0.0011273467930846188
Juneau Intl, United States (JNU): 0.0011256636674015536
Houari Boumediene, Algeria (ALG): 0.0011099010006342847
Dublin, Ireland (DUB): 0.0011066791173177427
Baoan Intl, China (SZX): 0.001098404559441343
Cancun Intl, Mexico (CUN): 0.0010827961900584826
Xiaoshan, China (HGH): 0.001074468813282644
Portland Intl, United States (PDX): 0.0010703119459137247
Doha Intl, Qatar (DOH): 0.0010595624303250861
Hongqiao Intl, China (SHA): 0.0010518533064188997
Cairns Intl, Australia (CNS): 0.0010470448072465127
Netaji Subhash Chandra Bose Intl, India (CCU): 0.0010454671394211307
Tegel, Germany (TXL): 0.001036964917043842
Tansonnhat Intl, Vietnam (SGN): 0.0010275388190784426
Port Vila Bauerfield, Vanuatu (VLI): 0.0010264969102471368
Stansted, United Kingdom (STN): 0.001020108635615852
Eduardo Gomes Intl, Brazil (MAO): 0.001011284923096721
Chicago Midway Intl, United States (MDW): 0.0010088604228965224
Galeao Antonio Carlos Jobim, Brazil (GIG): 0.0010055225439872374
Vnukovo, Russia (VKO): 0.0009983859356767271
Mashhad, Iran (MHD): 0.0009901267263786743
La Guardia, United States (LGA): 0.0009838267741755044
Hasanuddin, Indonesia (UPG): 0.0009797905175170645
Malaga, Spain (AGP): 0.000976919686004204
Gaoqi, China (XMN): 0.0009662501304768901
Ronald Reagan Washington Natl, United States (DCA): 0.0009634164103455267
Tribhuvan Intl, Nepal (KTM): 0.0009616139482231707
Kansai, Japan (KIX): 0.000960971524250658
Juan Santamaria Intl, Costa Rica (SJO): 0.0009577027845252993
Sioux Lookout, Canada (YXL): 0.0009493342822413179
Adelaide Intl, Australia (ADL): 0.0009491285023541258
Baltimore Washington Intl, United States (BWI): 0.0009458876630290975
Tocumen Intl, Panama (PTY): 0.0009457654319629281
Nadi Intl, Fiji (NAN): 0.0009451799972044668
Bali Ngurah Rai, Indonesia (DPS): 0.0009415897920924786
Alicante, Spain (ALC): 0.0009257133511909457
Luanda 4 De Fevereiro, Angola (LAD): 0.0009164467648145807
Deputado Luis Eduardo Magalhaes, Brazil (SSA): 0.0009118127105127666
Marcos A Gelabert Intl, Panama (PAC): 0.0009107862156242109
Cote D\\'Azur, France (NCE): 0.0009097337476428682
Lynden Pindling Intl, Bahamas (NAS): 0.0009084972743885665
Glasgow, United Kingdom (GLA): 0.0009033654718965681
Edmonton Intl, Canada (YEG): 0.0009030024539907304
Jose Marti Intl, Cuba (HAV): 0.0008972164037648793
Liuting, China (TAO): 0.0008964354070014168
Tampa Intl, United States (TPA): 0.0008930625197281352
Tianhe, China (WUH): 0.0008875145270129377
Yellowknife, Canada (YZF): 0.0008827675215776489
Birmingham, United Kingdom (BHX): 0.0008800911141186059
Mohammed V Intl, Morocco (CMN): 0.0008778778518928954
Mactan Cebu Intl, Philippines (CEB): 0.0008748764292670221
Huanghua, China (CSX): 0.000866623363713789
Saint Exupery, France (LYS): 0.0008625174052689383
Nome, United States (OME): 0.0008497661778689582
Geneve Cointrin, Switzerland (GVA): 0.000847126314469748
Noibai Intl, Vietnam (HAN): 0.0008449571179754789
Provence, France (MRS): 0.0008444877809383968
Ruzyne, Czech Republic (PRG): 0.0008433694532737519
Bangalore, India (BLR): 0.0008428882958693449
Gran Canaria, Spain (LPA): 0.0008371617833822843
Ralph Wien Mem, United States (OTZ): 0.0008327663130009567
Magenta, New Caledonia (GEA): 0.0008322115737218975
