Denver Intl, United States (DEN): 0.00446208176551766
Chicago Ohare Intl, United States (ORD): 0.004175488062050546
Los Angeles Intl, United States (LAX): 0.0040142809106840085
Sydney Intl, Australia (SYD): 0.003355129215454097
Hartsfield Jackson Atlanta Intl, United States (ATL): 0.003350361421688781
Domododevo, Russia (DME): 0.003268524169415863
Dallas Fort Worth Intl, United States (DFW): 0.003173251793344619
Capital Intl, China (PEK): 0.003004985617575727
Changi Intl, Singapore (SIN): 0.0029594401952338064
Eldorado Intl, Colombia (BOG): 0.0028272662722178773
Heathrow, United Kingdom (LHR): 0.002820712435349139
Charles De Gaulle, France (CDG): 0.002791531899819531
Frankfurt Main, Germany (FRA): 0.002721798635762933
Schiphol, Netherlands (AMS): 0.002577402031804997
Ataturk, Turkey (IST): 0.0025516794114725555
John F Kennedy Intl, United States (JFK): 0.0025477663579376686
Lester B Pearson Intl, Canada (YYZ): 0.002544126226159224
Licenciado Benito Juarez Intl, Mexico (MEX): 0.0025205297731439417
Dubai Intl, United Arab Emirates (DXB): 0.002486950670268302
Aeroparque Jorge Newbery, Argentina (AEP): 0.0024595127659436623
Incheon Intl, South Korea (ICN): 0.0024123561358317023
Ninoy Aquino Intl, Philippines (MNL): 0.002380486139078326
Brisbane Intl, Australia (BNE): 0.0023591755225253353
Minneapolis St Paul Intl, United States (MSP): 0.002293611181692259
Pudong, China (PVG): 0.0022828495954554822
Barcelona, Spain (BCN): 0.0022174742282499607
Indira Gandhi Intl, India (DEL): 0.002217118947740101
Johannesburg Intl, South Africa (JNB): 0.0022048508818882945
Charlotte Douglas Intl, United States (CLT): 0.0021850127708754516
George Bush Intercontinental, United States (IAH): 0.0021822684266568715
Suvarnabhumi Intl, Thailand (BKK): 0.0021760182281895845
Miami Intl, United States (MIA): 0.0021199422252092532
Pulkovo, Russia (LED): 0.0021125120470742434
Hong Kong Intl, Hong Kong (HKG): 0.0020819032350920916
Tokyo Intl, Japan (HND): 0.0020686496123843326
Kuala Lumpur Intl, Malaysia (KUL): 0.002035397705621574
Seattle Tacoma Intl, United States (SEA): 0.002032192192131371
San Francisco Intl, United States (SFO): 0.0020094494221638112
Vancouver Intl, Canada (YVR): 0.002000715426857397
Fiumicino, Italy (FCO): 0.0019464184737072825
Gatwick, United Kingdom (LGW): 0.0019223028815592152
Chhatrapati Shivaji Intl, India (BOM): 0.001903807673125167
Barajas, Spain (MAD): 0.0018891628085272321
Auckland Intl, New Zealand (AKL): 0.0018698105688492095
Ted Stevens Anchorage Intl, United States (ANC): 0.0018644580566280224
Franz Josef Strauss, Germany (MUC): 0.0018314220217093156
Soekarno Hatta Intl, Indonesia (CGK): 0.0018260347572687846
Schwechat, Austria (VIE): 0.0018088220704738202
Mc Carran Intl, United States (LAS): 0.0018038517705721542
Guarulhos Gov Andre Franco Montouro, Brazil (GRU): 0.0018028739115464973
Narita Intl, Japan (NRT): 0.0017941207080792766
Baiyun Intl, China (CAN): 0.0017870684026056803
Jorge Chavez Intl, Peru (LIM): 0.0017689302858893718
Detroit Metro Wayne Co, United States (DTW): 0.0017535776627546917
Melbourne Intl, Australia (MEL): 0.0017519343448066161
Wujiaba, China (KMG): 0.0017046240657076976
Washington Dulles Intl, United States (IAD): 0.001675566259063728
Son Sant Joan, Spain (PMI): 0.0016737298041766763
Bethel, United States (BET): 0.0016725101967268513
Gardermoen, Norway (OSL): 0.001653736430476748
Shuangliu, China (CTU): 0.0016434751071199862
Arlanda, Sweden (ARN): 0.0016205150228649858
Helsinki Vantaa, Finland (HEL): 0.0016144739826362436
Orly, France (ORY): 0.001614250043017159
Brussels Natl, Belgium (BRU): 0.0016093972682219848
General Edward Lawrence Logan Intl, United States (BOS): 0.0016017960424758726
Mehrabad Intl, Iran (THR): 0.0015998495262813574
Philadelphia Intl, United States (PHL): 0.0015969953272798375
Manchester, United Kingdom (MAN): 0.0015918504888885097
Newark Liberty Intl, United States (EWR): 0.001590958199437325
Pierre Elliott Trudeau Intl, Canada (YUL): 0.0015896176844385197
Sheremetyevo, Russia (SVO): 0.0015670308481281296
Phoenix Sky Harbor Intl, United States (PHX): 0.0015635237113009988
Kastrup, Denmark (CPH): 0.0015398458303066869
Orlando Intl, United States (MCO): 0.001538453544451426
Dusseldorf, Germany (DUS): 0.0015217094916076888
King Abdulaziz Intl, Saudi Arabia (JED): 0.0015172420415439437
Fort Lauderdale Hollywood Intl, United States (FLL): 0.001504774879632729
Abu Dhabi Intl, United Arab Emirates (AUH): 0.0014972630026184772
Faa\\'a International, French Polynesia (PPT): 0.0014821810039715442
Taoyuan Intl, Taiwan (TPE): 0.0014593094719559242
Jomo Kenyatta International, Kenya (NBO): 0.0014288338449297854
Presidente Juscelino Kubitschek, Brazil (BSB): 0.0014218260957150261
Zurich, Switzerland (ZRH): 0.0014108385498895115
Bole Intl, Ethiopia (ADD): 0.001389632442743206
Eleftherios Venizelos Intl, Greece (ATH): 0.0013839855876469744
Xianyang, China (XIY): 0.0013838551802508752
Port Moresby Jacksons Intl, Papua New Guinea (POM): 0.0013770462914330945
King Khaled Intl, Saudi Arabia (RUH): 0.0013579492230146662
Honiara International, Solomon Islands (HIR): 0.0013484305900171565
