CLASS4: but+0.22732491389207807 different+0.3230769230769231 information+0.15568312284730196 it+0.36831228473019517 may+0.1425947187141217 model+0.3322617680826636 provide+0.1582089552238806 state+0.22709529276693455 such+0.3409873708381171 these+0.3965556831228473 they+0.14626865671641792 through+0.15338691159586682 two+0.3198622273249139 between+0.3265212399540758 demonstrate+0.14167623421354764 each+0.1460390355912744 has+0.3377726750861079 have+0.3706084959816303 into+0.24936854190585533 large+0.28059701492537314 mass+0.12835820895522387 most+0.16647531572904709 non+0.21148105625717567 number+0.17129735935706086 order+0.1669345579793341 other+0.20459242250287027 paper+0.26314580941446614 particular+0.12583237657864524 results+0.35729047072330655 than+0.2555683122847302 there+0.10677382319173363 approach+0.17795637198622274 both+0.016073478760045924 data+0.2665901262916188 energy+0.21630309988518945 find+0.23972445464982778 not+0.3129735935706085 properties+0.2225028702640643 single+0.16969001148105625 study+0.234443168771527 their+0.2904707233065442 then+0.13019517795637198 three+0.12996555683122848 when+0.20757749712973594 1+0.13455797933409874 all+0.19632606199770378 based+0.3235361653272101 field+0.19540757749712973 structure+0.20367393800229622 theory+0.1428243398392652 3+0.07439724454649828 also+0.35177956371986224 models+0.2066590126291619 while+0.20642939150401837 high+0.29667049368541903 its+0.26039035591274395 more+0.24753157290470723 new+0.2367393800229621 one+0.2849598163030999 or+0.33708381171067736 been+0.29804822043628015 many+0.1549942594718714 proposed+0.1719862227324914 well+0.23742824339839266 show+0.3540757749712974 used+0.2544202066590126 using+0.35453501722158437 propose+0.1807118254879449 space+0.12812858783008035 work+0.18277841561423652 function+0.13295063145809413 given+0.09024110218140069 how+0.14535017221584387 however+0.27049368541905855 over+0.15361653272101033 due+0.19448909299655567 low+0.19609644087256028 use+0.20367393800229622 case+0.10815154994259472 if+0.1148105625717566 under+0.11159586681974741 analysis+0.012629161882893225 any+0.10034443168771527 only+0.20597014925373133 here+0.20045924225028702 methods+0.14535017221584387 method+0.16234213547646384 set+0.11572904707233066 systems+0.19770378874856487 network+0.14741676234213547 problem+0.010562571756601608 system+0.21423650975889783 performance+0.16211251435132032 first+0.018828932261768083 known+0.008955223880597015 present+0.011481056257175661 time+0.011021814006888633 where+0.009644087256027554 2+0.009644087256027554 some+0.005051664753157291
CLASS5: 2+0.29733333333333334 also+0.3804444444444444 analysis+0.20155555555555554 but+0.24422222222222223 data+0.04044444444444444 have+0.26 here+0.16377777777777777 if+0.15555555555555556 it+0.38866666666666666 its+0.28644444444444445 known+0.12977777777777777 large+0.30733333333333335 model+0.3377777777777778 models+0.18888888888888888 non+0.25822222222222224 set+0.13333333333333333 space+0.17822222222222223 structure+0.24355555555555555 these+0.4091111111111111 three+0.15422222222222223 time+0.31044444444444447 use+0.16844444444444445 using+0.2922222222222222 well+0.2588888888888889 where+0.31133333333333335 3+0.1622222222222222 energy+0.2311111111111111 field+0.258 given+0.11866666666666667 low+0.19111111111111112 mass+0.17866666666666667 not+0.3055555555555556 some+0.17444444444444446 their+0.26555555555555554 used+0.17377777777777778 find+0.242 order+0.20066666666666666 properties+0.29488888888888887 show+0.3506666666666667 such+0.322 theory+0.21555555555555556 1+0.29533333333333334 based+0.23644444444444446 between+0.35333333333333333 both+0.306 may+0.15688888888888888 most+0.1511111111111111 number+0.2 one+0.31733333333333336 two+0.39711111111111114 all+0.23155555555555554 any+0.13733333333333334 high+0.23577777777777778 more+0.18 particular+0.15688888888888888 proposed+0.0768888888888889 state+0.206 study+0.3244444444444444 case+0.17666666666666667 demonstrate+0.1 different+0.3417777777777778 first+0.2857777777777778 paper+0.2328888888888889 through+0.1468888888888889 approach+0.1328888888888889 due+0.172 however+0.19133333333333333 into+0.27311111111111114 or+0.3417777777777778 results+0.3497777777777778 then+0.18622222222222223 work+0.15466666666666667 system+0.22733333333333333 systems+0.1837777777777778 there+0.13311111111111112 when+0.023333333333333334 other+0.18511111111111112 provide+0.14666666666666667 they+0.13333333333333333 each+0.15511111111111112 many+0.12244444444444444 only+0.202 over+0.16111111111111112 present+0.2633333333333333 information+0.10422222222222222 function+0.16666666666666666 under+0.12 how+0.1388888888888889 method+0.11 single+0.019777777777777776 has+0.1922222222222222 network+0.07355555555555555 than+0.029333333333333333 while+0.02 problem+0.018222222222222223 been+0.03222222222222222 new+0.019555555555555555 methods+0.008888888888888889 performance+0.007555555555555556 propose+0.0071111111111111115
CLASS6: 1+0.33565459610027853 2+0.3050139275766017 3+0.17827298050139276 also+0.37952646239554316 approach+0.15598885793871867 energy+0.20473537604456823 has+0.3530640668523677 have+0.3948467966573816 it+0.3983286908077994 large+0.3864902506963788 low+0.21448467966573817 mass+0.19080779944289694 model+0.2827298050139276 not+0.33356545961002787 one+0.33774373259052926 or+0.3467966573816156 order+0.181058495821727 than+0.31824512534818944 these+0.39902506963788303 two+0.3161559888579387 while+0.26253481894150416 between+0.2757660167130919 find+0.298050139275766 may+0.13997214484679665 most+0.20403899721448468 properties+0.27019498607242337 state+0.18593314763231197 their+0.25974930362116994 analysis+0.29735376044568246 been+0.34401114206128136 but+0.27924791086350975 case+0.1789693593314763 if+0.133008356545961 present+0.3168523676880223 proposed+0.19011142061281336 such+0.3279944289693593 using+0.3683844011142061 function+0.14763231197771587 high+0.346100278551532 single+0.22632311977715877 study+0.30571030640668523 there+0.149025069637883 where+0.3168523676880223 work+0.19011142061281336 both+0.33913649025069637 data+0.3530640668523677 different+0.07103064066852367 each+0.14206128133704735 other+0.20473537604456823 particular+0.11629526462395544 results+0.36629526462395545 show+0.334958217270195 some+0.1789693593314763 then+0.17409470752089137 they+0.13370473537604458 all+0.2200557103064067 field+0.19637883008356546 method+0.15181058495821728 more+0.233983286908078 paper+0.3224233983286908 provide+0.13857938718662952 theory+0.12395543175487465 however+0.26880222841225626 new+0.24512534818941503 only+0.20403899721448468 structure+0.027855153203342618 system+0.16782729805013927 models+0.0383008356545961 space+0.1413649025069638 well+0.27506963788300837 based+0.3126740947075209 information+0.016713091922005572 set+0.14066852367688024 used+0.22562674094707522 known+0.14066852367688024 number+0.2193593314763231 propose+0.15459610027855153 through+0.13788300835654596 into+0.03064066852367688 many+0.12465181058495822 use+0.19011142061281336 demonstrate+0.10445682451253482 due+0.15250696378830084 first+0.05153203342618384 how+0.10236768802228412 three+0.011838440111420613 any+0.12186629526462396 under+0.10863509749303621 when+0.036211699164345405 given+0.10654596100278552 problem+0.20543175487465182 non+0.017409470752089137 its+0.04944289693593315 here+0.00766016713091922 network+0.09749303621169916 over+0.018802228412256268 performance+0.12813370473537605 time+0.031337047353760444 systems+0.018105849582172703 methods+0.01532033426183844
CLASS7: 1+0.3123869801084991 all+0.24954792043399637 also+0.3833634719710669 been+0.37386980108499096 between+0.3227848101265823 due+0.20931283905967452 field+0.20524412296564196 first+0.3575949367088608 have+0.391500904159132 how+0.0216998191681736 if+0.15099457504520797 large+0.3539783001808318 mass+0.1984629294755877 may+0.162748643761302 more+0.26491862567811936 not+0.34674502712477395 other+0.2423146473779385 paper+0.2988245931283906 present+0.3679927667269439 study+0.04701627486437613 such+0.33634719710669075 than+0.32459312839059673 then+0.16998191681735986 they+0.1735985533453888 time+0.352622061482821 well+0.29792043399638335 work+0.19213381555153708 2+0.2857142857142857 3+0.18128390596745028 but+0.27260397830018085 find+0.26989150090415914 has+0.37748643761301987 into+0.24095840867992765 it+0.39511754068716093 its+0.06781193490054249 model+0.3268535262206148 models+0.22875226039783003 number+0.24864376130198915 one+0.31374321880650996 or+0.3670886075949367 results+0.3693490054249548 these+0.4177215189873418 two+0.35488245931283907 any+0.1333634719710669 here+0.15280289330922242 high+0.33905967450271246 order+0.19349005424954793 their+0.2848101265822785 there+0.14014466546112117 when+0.2504520795660036 data+0.3752260397830018 function+0.13924050632911392 only+0.22694394213381555 proposed+0.15732368896925858 single+0.03571428571428571 some+0.1903254972875226 structure+0.04837251356238698 theory+0.11030741410488246 using+0.3693490054249548 different+0.385623869801085 energy+0.20343580470162748 three+0.15687160940325498 use+0.20976491862567812 provide+0.162748643761302 show+0.32459312839059673 while+0.2757685352622061 based+0.3150994575045208 each+0.18580470162748644 low+0.20976491862567812 most+0.20027124773960217 over+0.20840867992766726 set+0.1550632911392405 new+0.04837251356238698 used+0.31103074141048825 however+0.2780289330922242 problem+0.20795660036166366 state+0.045207956600361664 both+0.0759493670886076 through+0.15641952983725135 where+0.3047016274864376 known+0.15596745027124773 non+0.03571428571428571 system+0.2174502712477396 given+0.11437613019891502 propose+0.031193490054249547 approach+0.17088607594936708 many+0.12793851717902352 method+0.1735985533453888 analysis+0.060126582278481014 case+0.02667269439421338 space+0.023508137432188065 under+0.1003616636528029 properties+0.04972875226039783 methods+0.14737793851717904 demonstrate+0.1003616636528029 systems+0.19349005424954793 particular+0.010397830018083183 performance+0.1410488245931284 information+0.022151898734177215 network+0.02305605786618445
CLASS8: 1+0.2543006731488407 approach+0.18399401645474944 both+0.3825729244577412 case+0.1619296933433059 field+0.22774869109947643 find+0.25168287210172025 has+0.34741959611069556 however+0.25168287210172025 its+0.3470456245325355 large+0.25018698578908005 models+0.2131637995512341 more+0.04899027673896784 not+0.31712789827973076 paper+0.2744951383694839 single+0.18848167539267016 space+0.1525804038893044 structure+0.2281226626776365 than+0.23448017950635752 these+0.39640987284966345 using+0.3324607329842932 work+0.20643231114435304 all+0.21465968586387435 based+0.3305908750934929 been+0.31226626776364996 between+0.3100224382946896 but+0.2707554225878833 different+0.34741959611069556 energy+0.2131637995512341 have+0.36200448765893795 high+0.2715033657442034 mass+0.1525804038893044 non+0.24719521316379955 order+0.1907255048616305 present+0.3156320119670905 study+0.2943156320119671 their+0.2763649962602842 theory+0.18100224382946897 also+0.3717277486910995 data+0.0512341062079282 model+0.33507853403141363 only+0.22887060583395663 particular+0.1368735976065819 properties+0.2666417352281227 provide+0.1667913238593867 state+0.2513089005235602 there+0.10695587135377711 they+0.1275243081525804 three+0.16716529543754674 two+0.356394913986537 well+0.23859386686611816 while+0.27412116679132387 first+0.3021690351533283 it+0.3855646970830217 may+0.14472700074794315 or+0.3414360508601346 other+0.20082273747195215 propose+0.16267763649962602 when+0.2299925205684368 2+0.2670157068062827 analysis+0.23784592370979807 any+0.11219147344801796 here+0.18324607329842932 into+0.25093492894540015 new+0.28421839940164545 problem+0.19035153328347046 information+0.1525804038893044 show+0.34405385190725507 where+0.032909498878085267 such+0.3182498130142109 results+0.3754674644727001 system+0.23448017950635752 systems+0.2112939416604338 use+0.17539267015706805 3+0.14697083021690352 function+0.14023934181002243 if+0.08676140613313388 some+0.1712789827973074 due+0.18586387434554974 most+0.14285714285714285 set+0.013089005235602094 under+0.13313388182498131 how+0.12228870605833957 low+0.032535527299925204 proposed+0.1768885564697083 given+0.08788332086761406 demonstrate+0.14697083021690352 number+0.030665669409124907 methods+0.15332834704562454 through+0.16903515332834704 used+0.04338070306656694 over+0.16716529543754674 known+0.014958863126402393 one+0.057965594614809275 each+0.1350037397157816 many+0.018698578908002993 method+0.16566940912490652 then+0.024308152580403888 network+0.1342557965594615 performance+0.14584891548242335 time+0.06095736724008975
CLASS9: 3+0.16673444489629932 all+0.22163481089873932 also+0.4070760471736478 approach+0.14924766165107767 been+0.2997153314355429 between+0.3623424156161041 but+0.3098820658804392 different+0.3777958519723465 find+0.31801545343635623 first+0.07564050427002847 has+0.32370882472549817 have+0.4091093940626271 however+0.2521350142334282 information+0.02887352582350549 into+0.22041480276535177 it+0.35176901179341197 known+0.16226108174054493 many+0.15616104107360715 method+0.14721431476209842 model+0.3574623830825539 models+0.3017486783245222 new+0.28914192761285074 not+0.34404229361529076 one+0.31801545343635623 only+0.21187474583163887 or+0.37616917446116305 order+0.16876779178527856 other+0.19235461569743798 problem+0.1642944286295242 set+0.1407076047173648 some+0.18666124440829607 state+0.19967466449776333 three+0.13704758031720213 well+0.30500203334688897 analysis+0.29768198454656364 based+0.2895485969906466 data+0.39243594957299716 if+0.11630744204961366 large+0.34444896299308664 low+0.1972346482309882 non+0.23586823912159413 number+0.20211468076453842 space+0.18096787311915413 study+0.33753558357055713 such+0.3590890605937373 there+0.1321675477836519 these+0.46075640504270027 they+0.1793411956079707 through+0.13745424969499798 using+0.36966246441642947 2+0.2753151687677918 both+0.3810492069947133 energy+0.2151281008540057 function+0.15331435542903618 mass+0.22570150467669783 more+0.30378202521350145 most+0.19072793818625458 provide+0.16998779991866614 two+0.3501423342822286 use+0.2277348515656771 1+0.28710858072387146 results+0.37372915819438796 than+0.33468889792598616 methods+0.15697437982919887 properties+0.3029686864579097 show+0.34241561610410737 demonstrate+0.10573403822692151 field+0.22163481089873932 how+0.15453436356242375 may+0.17202114680764538 paper+0.041886945912972755 particular+0.16307442049613663 any+0.12200081333875559 over+0.17690117934119562 present+0.3485156567710451 structure+0.23586823912159413 then+0.02887352582350549 work+0.2379015860105734 used+0.2810085400569337 here+0.1862545750305002 due+0.1752745018300122 high+0.06628710858072387 propose+0.10858072387149248 theory+0.19520130134200894 where+0.04554697031313542 under+0.0931272875152501 single+0.024400162667751118 their+0.33468889792598616 given+0.10736071573810492 time+0.30012200081333873 proposed+0.01911346075640504 system+0.02684017893452623 while+0.054087027246848315 when+0.22732818218788126 its+0.06506710044733631 systems+0.18422122814152095 case+0.022366815778771858 performance+0.014640097600650671 each+0.02074013826758845 network+0.08702724684831233
CLASS16: also+0.36699729486023447 approach+0.2551848512173129 been+0.32642019837691616 but+0.07303877366997295 data+0.36339044183949504 energy+0.12804328223624886 field+0.1424706943192065 first+0.4138863841298467 has+0.37962128043282234 information+0.19837691614066727 method+0.20829576194770064 model+0.3381424706943192 new+0.27141568981064024 not+0.2768259693417493 one+0.454463480613165 only+0.2533814247069432 paper+0.37240757439134353 structure+0.18214607754733994 study+0.31830477908025245 theory+0.1442741208295762 through+0.18034265103697025 using+0.34445446348061315 analysis+0.32281334535617673 have+0.3462578899909829 it+0.4688908926961226 its+0.3363390441839495 may+0.1460775473399459 particular+0.1659152389540126 proposed+0.25067628494138866 results+0.3742110009017133 show+0.37781785392245265 some+0.23264201983769162 such+0.436429215509468 system+0.3237150586113616 systems+0.31920649233543735 than+0.024346257889990983 these+0.3958521190261497 under+0.16501352569882777 when+0.26330027051397653 where+0.3606853020739405 case+0.20559062218214608 large+0.26330027051397653 then+0.2560865644724977 three+0.1587015329125338 while+0.2533814247069432 between+0.2984670874661858 each+0.25247971145175835 into+0.2795311091073039 number+0.24436429215509467 present+0.25788999098286747 properties+0.24075743913435527 single+0.19657348963029755 space+0.19657348963029755 two+0.3624887285843102 1+0.1587015329125338 here+0.12533814247069433 however+0.2921550946798918 propose+0.1884580703336339 provide+0.24616771866546439 state+0.26149684400360684 all+0.24165915238954014 how+0.18304779080252478 most+0.18755635707844906 network+0.23354373309287646 performance+0.17132551848512173 their+0.29305680793507666 time+0.40937781785392247 used+0.28313796212804326 work+0.2551848512173129 any+0.18214607754733994 due+0.15689810640216412 methods+0.16050495942290352 models+0.24346257889990983 there+0.18034265103697025 well+0.027953110910730387 or+0.37240757439134353 both+0.04328223624887286 other+0.218214607754734 based+0.3579801623083859 known+0.15238954012623984 non+0.23805229936880073 they+0.14517583408476104 use+0.034265103697024346 given+0.16411181244364292 over+0.25428313796212804 find+0.025247971145175834 problem+0.33724075743913434 set+0.2164111812443643 many+0.1812443642921551 order+0.018034265103697024 if+0.1496844003606853 3+0.07123534715960325 low+0.009017132551848512 demonstrate+0.016230838593327322 different+0.05590622182146077 high+0.027953110910730387 2+0.0369702434625789 more+0.030658250676284943 function+0.02254283137962128 mass+0.004508566275924256
CLASS17: 2+0.26961981164980814 between+0.29891873038018835 both+0.34705266829438436 different+0.3658876874782002 find+0.22113707708406 have+0.3843739100104639 it+0.4290198814091385 model+0.3487966515521451 more+0.32577607254970353 non+0.21590512731077782 one+0.39553540286013256 or+0.3780955702825253 their+0.25671433554237877 while+0.286013254272759 all+0.26578304848273454 any+0.15137774677363097 been+0.34740146494593654 first+0.39483780955702824 has+0.4053017091035926 here+0.1353331008022323 high+0.3097314265783048 however+0.28566445762120685 known+0.13882106731775376 large+0.31600976630624344 low+0.18904778514126264 new+0.2964771538193233 only+0.2769445413324032 order+0.18311824206487617 other+0.23404255319148937 particular+0.13672828740844087 such+0.3501918381583537 than+0.32961283571677713 these+0.3843739100104639 time+0.35926055109870947 1+0.290896407394489 also+0.40320892919427975 analysis+0.2926403906522497 data+0.43111266131845133 field+0.13707708405999303 into+0.24625043599581445 mass+0.13603069410533658 may+0.15416811998604812 models+0.25113358911754446 over+0.22148587373561213 two+0.3903034530868504 well+0.05162190442971747 its+0.2877572375305197 single+0.21206836414370422 each+0.2009068712940356 energy+0.021625392396232995 problem+0.2752005580746425 proposed+0.25636553889082664 show+0.37949075688873385 through+0.17195674921520754 where+0.2891524241367283 case+0.18137425880711544 given+0.1269619811649808 information+0.18276944541332404 present+0.30136030694105337 provide+0.17997907220090686 study+0.27206138821067316 theory+0.10987094523892571 most+0.20753400767352634 paper+0.3753051970701081 then+0.23543773979769794 there+0.16288803627485177 use+0.22148587373561213 some+0.17509591907917685 space+0.14754098360655737 approach+0.2343913498430415 propose+0.24450645273805371 using+0.35472619462853155 when+0.2591559121032438 demonstrate+0.1430066271363795 not+0.36449250087199164 results+0.4053017091035926 due+0.16009766306243461 if+0.134635507499128 three+0.15591210324380886 but+0.2964771538193233 set+0.201953261248692 3+0.15137774677363097 under+0.12835716777118938 how+0.02511335891175445 many+0.15626089989536102 based+0.38402511335891176 structure+0.03767003836763167 systems+0.16288803627485177 used+0.057900244157656086 work+0.2305545866759679 method+0.20858039762818276 methods+0.197070108126962 state+0.05057551447506104 they+0.029298918730380187 system+0.044994768050226716 function+0.024066968957098013 number+0.05615626089989536 performance+0.19358214161144052 network+0.1771886989884897 properties+0.03139169863969306
CLASS18: also+0.3063157894736842 analysis+0.33052631578947367 any+0.13263157894736843 but+0.04894736842105263 case+0.17894736842105263 data+0.37894736842105264 energy+0.18421052631578946 have+0.23894736842105263 high+0.29 if+0.10578947368421053 it+0.4026315789473684 its+0.27631578947368424 low+0.18947368421052632 models+0.24052631578947367 most+0.1831578947368421 one+0.37 only+0.20157894736842105 present+0.29157894736842105 properties+0.22157894736842104 results+0.38842105263157894 set+0.18421052631578946 state+0.29894736842105263 study+0.2831578947368421 such+0.35 then+0.20157894736842105 there+0.10736842105263159 these+0.3636842105263158 through+0.2094736842105263 time+0.32 used+0.29736842105263156 well+0.32789473684210524 while+0.2873684210526316 work+0.23842105263157895 1+0.2094736842105263 2+0.19052631578947368 between+0.2773684210526316 each+0.1831578947368421 how+0.16210526315789472 into+0.27 known+0.15157894736842106 model+0.3668421052631579 new+0.2773684210526316 theory+0.14684210526315788 three+0.17684210526315788 using+0.35 all+0.22421052631578947 first+0.35526315789473684 here+0.12894736842105264 number+0.27157894736842103 order+0.2168421052631579 system+0.2873684210526316 when+0.26105263157894737 different+0.3873684210526316 function+0.17789473684210527 mass+0.007368421052631579 non+0.2336842105263158 not+0.2463157894736842 they+0.14157894736842105 where+0.29894736842105263 both+0.3863157894736842 field+0.15105263157894736 however+0.25473684210526315 or+0.36578947368421055 propose+0.24789473684210525 their+0.24 large+0.32105263157894737 many+0.14842105263157895 may+0.11421052631578947 single+0.22631578947368422 approach+0.30105263157894735 based+0.4131578947368421 has+0.2373684210526316 network+0.18105263157894738 paper+0.37 performance+0.22578947368421054 provide+0.02157894736842105 structure+0.23 particular+0.13105263157894737 show+0.3815789473684211 space+0.17157894736842105 two+0.41157894736842104 demonstrate+0.2026315789473684 problem+0.3136842105263158 other+0.026842105263157896 than+0.04105263157894737 under+0.14578947368421052 method+0.2394736842105263 given+0.14105263157894737 information+0.20894736842105263 methods+0.24105263157894738 more+0.21736842105263157 systems+0.26894736842105266 been+0.049473684210526316 use+0.05421052631578947 proposed+0.27473684210526317 over+0.026842105263157896 find+0.02736842105263158 due+0.02157894736842105 3+0.015263157894736841 some+0.015789473684210527
CLASS19: between+0.2934131736526946 find+0.32335329341317365 however+0.2874251497005988 if+0.1437125748502994 into+0.281437125748503 large+0.06187624750499002 mass+0.20159680638722555 may+0.1656686626746507 models+0.22954091816367264 most+0.2155688622754491 space+0.17764471057884232 study+0.3772455089820359 these+0.405189620758483 use+0.25748502994011974 well+0.29740518962075846 when+0.25948103792415167 where+0.3253493013972056 1+0.3532934131736527 2+0.35129740518962077 3+0.1996007984031936 analysis+0.405189620758483 data+0.405189620758483 model+0.3373253493013972 or+0.40119760479041916 other+0.21956087824351297 properties+0.29740518962075846 provide+0.16766467065868262 results+0.35728542914171657 structure+0.2634730538922156 such+0.35728542914171657 then+0.15568862275449102 theory+0.18163672654690619 all+0.2654690618762475 also+0.3812375249500998 approach+0.2435129740518962 energy+0.249500998003992 field+0.20958083832335328 function+0.19560878243512975 high+0.27944111776447106 one+0.3592814371257485 set+0.17365269461077845 single+0.2375249500998004 while+0.26147704590818366 been+0.4111776447105788 have+0.37325349301397204 known+0.02594810379241517 methods+0.15768463073852296 order+0.20758483033932135 some+0.19161676646706588 state+0.23552894211576847 but+0.0499001996007984 due+0.1497005988023952 has+0.4031936127744511 how+0.17964071856287425 it+0.40119760479041916 many+0.17564870259481039 non+0.2315369261477046 not+0.31736526946107785 present+0.3772455089820359 systems+0.19760479041916168 there+0.16966067864271456 using+0.3992015968063872 based+0.3013972055888224 method+0.16766467065868262 they+0.0998003992015968 time+0.2994011976047904 propose+0.0998003992015968 two+0.3273453093812375 both+0.08782435129740519 three+0.1536926147704591 used+0.3373253493013972 any+0.15768463073852296 more+0.2375249500998004 than+0.0499001996007984 different+0.09381237524950099 first+0.059880239520958084 its+0.3473053892215569 particular+0.14770459081836326 over+0.05189620758483034 under+0.11976047904191617 case+0.21157684630738524 show+0.3393213572854291 their+0.04790419161676647 work+0.2694610778443114 system+0.059880239520958084 here+0.14171656686626746 number+0.21756487025948104 problem+0.1996007984031936 information+0.16367265469061876 performance+0.09381237524950099 each+0.1536926147704591 only+0.031936127744510975 given+0.1157684630738523 paper+0.05588822355289421 proposed+0.041916167664670656 through+0.16966067864271456 new+0.0718562874251497 demonstrate+0.10578842315369262 network+0.013972055888223553 low+0.015968063872255488
CLASS2: 1+0.23500866551126517 2+0.2218370883882149 3+0.12062391681109186 but+0.24090121317157712 given+0.1119584055459272 it+0.3781629116117851 large+0.268630849220104 or+0.34280762564991335 particular+0.12235701906412479 some+0.13726169844020797 state+0.28838821490467936 two+0.32339688041594455 well+0.24332755632582323 also+0.41143847487001733 been+0.28908145580589256 both+0.3192374350086655 different+0.04748700173310225 first+0.26273830155979205 have+0.34558058925476604 how+0.13240901213171577 into+0.20797227036395147 may+0.13483535528596188 model+0.2922010398613518 more+0.27348353552859617 most+0.15875216637781628 new+0.258578856152513 non+0.18682842287694973 not+0.3275563258232236 only+0.24471403812824957 provide+0.1760831889081456 results+0.37157712305025997 their+0.26932409012131714 these+0.3466204506065858 used+0.2391681109185442 using+0.3535528596187175 analysis+0.24575389948006932 data+0.3431542461005199 number+0.22842287694974003 order+0.17261698440207973 other+0.20103986135181975 present+0.2509532062391681 function+0.12616984402079723 has+0.34003466204506066 its+0.033275563258232235 over+0.21525129982668978 time+0.2897746967071057 when+0.22010398613518198 work+0.21767764298093586 all+0.22253032928942806 method+0.21351819757365684 propose+0.23292894280762566 three+0.11334488734835356 approach+0.20623916811091855 between+0.27937608318890816 known+0.11611785095320624 paper+0.38232235701906414 while+0.24991334488734834 energy+0.13830155979202774 mass+0.0076256499133448875 system+0.24298093587521663 any+0.13830155979202774 demonstrate+0.18925476603119584 set+0.13968804159445408 based+0.37365684575389946 here+0.13067590987868286 however+0.2558058925476603 many+0.15493934142114385 methods+0.18232235701906413 they+0.15528596187175042 information+0.22045060658578855 properties+0.02391681109185442 show+0.361525129982669 due+0.15701906412478336 study+0.028422876949740036 where+0.24436741767764297 through+0.14419410745233968 low+0.141421143847487 than+0.272790294627383 structure+0.14939341421143848 if+0.09289428076256499 models+0.04714038128249567 proposed+0.24471403812824957 such+0.3487001733102253 there+0.11889081455805893 high+0.03951473136915078 systems+0.21074523396880415 each+0.16221837088388216 field+0.011438474870017331 under+0.12478336221837089 single+0.1580589254766031 performance+0.2339688041594454 case+0.01317157712305026 network+0.21525129982668978 problem+0.03396880415944541 space+0.016637781629116118 one+0.04298093587521664 then+0.021143847487001734 use+0.03154246100519931 find+0.018370883882149046 theory+0.008318890814558059
