CLASS3: 1+0.46301369863013697 between+0.2401826484018265 demonstrate+0.13059360730593608 each+0.18904109589041096 has+0.3515981735159817 have+0.4146118721461187 into+0.22557077625570776 large+0.27123287671232876 mass+0.20182648401826483 model+0.5287671232876713 most+0.2511415525114155 non+0.23926940639269406 number+0.20273972602739726 order+0.1863013698630137 other+0.20365296803652969 paper+0.3050228310502283 particular+0.15707762557077626 results+0.4 such+0.40821917808219177 than+0.23470319634703196 there+0.154337899543379 these+0.5013698630136987 through+0.17990867579908676 all+0.25844748858447486 been+0.25296803652968036 both+0.23835616438356164 different+0.26757990867579906 first+0.2328767123287671 however+0.2547945205479452 it+0.5342465753424658 may+0.16621004566210046 or+0.4931506849315068 propose+0.17625570776255708 state+0.06940639269406393 two+0.434703196347032 when+0.24292237442922374 function+0.14246575342465753 given+0.13333333333333333 how+0.06484018264840183 models+0.2237442922374429 over+0.16255707762557078 space+0.18356164383561643 used+0.16621004566210046 while+0.3424657534246575 analysis+0.1726027397260274 based+0.3680365296803653 energy+0.2045662100456621 low+0.1643835616438356 method+0.13424657534246576 properties+0.15707762557077626 system+0.20182648401826483 then+0.14429223744292238 field+0.025570776255707764 not+0.3141552511415525 structure+0.062100456621004566 study+0.2356164383561644 systems+0.2 theory+0.03287671232876712 data+0.07031963470319634 its+0.28401826484018267 new+0.28493150684931506 one+0.07945205479452055 also+0.0547945205479452 more+0.2273972602739726 present+0.2228310502283105 proposed+0.1917808219178082 some+0.15342465753424658 their+0.3105022831050228 case+0.14794520547945206 due+0.1735159817351598 2+0.14246575342465753 3+0.07853881278538813 three+0.13607305936073058 problem+0.1771689497716895 provide+0.1589041095890411 set+0.13881278538812786 well+0.2730593607305936 any+0.11963470319634703 find+0.09863013698630137 high+0.08949771689497717 under+0.1415525114155251 information+0.11598173515981736 known+0.12876712328767123 only+0.0684931506849315 they+0.12054794520547946 using+0.0319634703196347 work+0.10776255707762557 here+0.1324200913242009 single+0.11050228310502283 if+0.09771689497716896 but+0.05570776255707763 approach+0.1506849315068493 show+0.08949771689497717 time+0.28949771689497716 where+0.057534246575342465 use+0.03744292237442922 performance+0.12511415525114156 many+0.07214611872146119 methods+0.06027397260273973 network+0.136986301369863
CLASS4: 1+0.5625 2+0.4388586956521739 3+0.297554347826087 been+0.25 both+0.3179347826086957 data+0.4279891304347826 find+0.25679347826086957 first+0.18206521739130435 has+0.33967391304347827 have+0.389945652173913 if+0.10461956521739131 its+0.22010869565217392 new+0.24320652173913043 number+0.16847826086956522 one+0.3016304347826087 only+0.17391304347826086 other+0.21875 results+0.39266304347826086 study+0.15760869565217392 theory+0.05434782608695652 there+0.11820652173913043 through+0.14266304347826086 well+0.28125 when+0.1983695652173913 while+0.296195652173913 work+0.16032608695652173 analysis+0.25815217391304346 field+0.057065217391304345 low+0.22146739130434784 mass+0.20108695652173914 may+0.10597826086956522 model+0.5067934782608695 order+0.14402173913043478 single+0.13722826086956522 than+0.26222826086956524 two+0.5774456521739131 energy+0.24456521739130435 large+0.3423913043478261 models+0.21739130434782608 more+0.24728260869565216 such+0.33152173913043476 using+0.051630434782608696 also+0.3804347826086957 different+0.26766304347826086 here+0.11277173913043478 it+0.043478260869565216 not+0.06114130434782609 some+0.13179347826086957 their+0.264945652173913 however+0.18070652173913043 into+0.058423913043478264 proposed+0.19972826086956522 set+0.09510869565217392 state+0.30027173913043476 approach+0.14945652173913043 based+0.3953804347826087 due+0.17798913043478262 function+0.11820652173913043 high+0.37228260869565216 structure+0.1644021739130435 these+0.11956521739130435 many+0.16304347826086957 present+0.2595108695652174 propose+0.18342391304347827 they+0.12228260869565218 but+0.06929347826086957 case+0.08831521739130435 most+0.20244565217391305 three+0.17391304347826086 under+0.09239130434782608 all+0.23369565217391305 paper+0.264945652173913 provide+0.14130434782608695 space+0.06929347826086957 properties+0.16032608695652173 use+0.1875 any+0.07880434782608696 particular+0.11005434782608696 how+0.06657608695652174 non+0.05298913043478261 or+0.04891304347826087 over+0.08152173913043478 each+0.11684782608695653 between+0.05434782608695652 demonstrate+0.15896739130434784 methods+0.15353260869565216 where+0.025815217391304348 problem+0.13451086956521738 then+0.04755434782608696 time+0.057065217391304345 system+0.19293478260869565 used+0.17119565217391305 given+0.035326086956521736 information+0.07608695652173914 show+0.06385869565217392 known+0.08695652173913043 systems+0.16032608695652173 method+0.15353260869565216 performance+0.19701086956521738 network+0.16168478260869565
CLASS5: both+0.24344569288389514 but+0.31086142322097376 energy+0.23782771535580524 high+0.31835205992509363 how+0.06741573033707865 if+0.14606741573033707 its+0.24719101123595505 mass+0.19101123595505617 model+0.43820224719101125 or+0.5842696629213483 show+0.031835205992509365 some+0.1760299625468165 such+0.4288389513108614 theory+0.1348314606741573 through+0.14232209737827714 where+0.4419475655430712 been+0.25280898876404495 data+0.38764044943820225 have+0.46254681647940077 into+0.2303370786516854 large+0.3295880149812734 many+0.15917602996254682 models+0.24157303370786518 not+0.36142322097378277 one+0.10861423220973783 other+0.20786516853932585 particular+0.12172284644194757 properties+0.1704119850187266 proposed+0.15168539325842698 well+0.30337078651685395 analysis+0.16292134831460675 field+0.20973782771535582 first+0.1797752808988764 has+0.27902621722846443 low+0.22284644194756553 most+0.21722846441947566 paper+0.24906367041198502 provide+0.15917602996254682 their+0.35767790262172283 then+0.14232209737827714 there+0.19288389513108614 these+0.4400749063670412 use+0.16853932584269662 between+0.299625468164794 find+0.25280898876404495 however+0.2565543071161049 may+0.1760299625468165 space+0.18352059925093633 study+0.054307116104868915 when+0.27902621722846443 2+0.16104868913857678 case+0.12172284644194757 different+0.2340823970037453 due+0.20224719101123595 function+0.04681647940074907 non+0.07303370786516854 only+0.24906367041198502 more+0.20786516853932585 problem+0.13857677902621723 than+0.2546816479400749 used+0.17415730337078653 it+0.12734082397003746 demonstrate+0.10861423220973783 over+0.1760299625468165 all+0.08801498127340825 present+0.21722846441947566 state+0.3258426966292135 3+0.031835205992509365 propose+0.14794007490636704 structure+0.1797752808988764 they+0.21348314606741572 work+0.17415730337078653 1+0.026217228464419477 known+0.05056179775280899 new+0.03932584269662921 while+0.3052434456928839 given+0.10674157303370786 any+0.11235955056179775 number+0.16666666666666666 order+0.04119850187265917 single+0.13108614232209737 two+0.0299625468164794 also+0.03932584269662921 set+0.10861423220973783 three+0.09363295880149813 here+0.1647940074906367 information+0.13857677902621723 time+0.26217228464419473 systems+0.20599250936329588 each+0.15543071161048688 system+0.17790262172284643 approach+0.0599250936329588 method+0.10299625468164794 network+0.13295880149812733 methods+0.08426966292134831 performance+0.14232209737827714 under+0.09176029962546817 based+0.07865168539325842 results+0.013108614232209739 using+0.031835205992509365
CLASS6: analysis+0.16874818472262562 based+0.34708103398199247 between+0.2956723787394714 data+0.20882950914899798 if+0.1205344176590183 into+0.19924484461225675 large+0.30729015393552134 low+0.16903862910252687 model+0.43828056927098463 new+0.2756317165262852 non+0.19314551263433052 number+0.23787394713912285 or+0.4740052279988382 space+0.17920418239907057 study+0.10775486494336335 such+0.41097879756026723 there+0.15045018878884694 these+0.4998547778100494 they+0.12198663955852454 through+0.12779552715654952 using+0.3981992448446123 well+0.25849549811211153 1+0.5591054313099042 2+0.4214347952367122 also+0.402555910543131 have+0.406041243101946 it+0.07348242811501597 order+0.19517862329363928 other+0.20708684286959048 present+0.23613128085971535 provide+0.16526285216381062 results+0.3981992448446123 all+0.26169038629102526 any+0.14318907929131572 but+0.18123729305837932 each+0.17136218414173685 first+0.201858844031368 function+0.15509729886726692 its+0.22712750508277665 over+0.2012779552715655 propose+0.15742085390647692 then+0.1068835318036596 been+0.21696195178623293 different+0.2250943944234679 has+0.3029334882370026 mass+0.1614870752250944 paper+0.266047051989544 theory+0.1762997386000581 two+0.09352309032820215 used+0.2012779552715655 energy+0.060121986639558526 high+0.24455416787685158 may+0.1472553006099332 problem+0.20447284345047922 show+0.399070577984316 structure+0.14347952367121697 where+0.4292767934940459 while+0.23293639268080163 field+0.19575951205344178 find+0.12227708393842579 how+0.11966308451931455 most+0.201858844031368 one+0.29596282311937266 only+0.18297995933778682 3+0.24542550101655533 approach+0.11966308451931455 information+0.13157130409526577 models+0.198373511472553 more+0.2160906186465292 particular+0.07812953819343596 than+0.10543130990415335 use+0.18239907057798432 case+0.1495788556491432 known+0.13854196921289574 three+0.09555620098751089 here+0.13186174847516702 however+0.17049085100203312 single+0.08277664827185593 their+0.1182108626198083 under+0.12663374963694451 work+0.2393261690386291 time+0.28899215800174266 both+0.06389776357827476 due+0.13679930293348824 properties+0.08161487075225095 when+0.10136508858553588 many+0.15161196630845195 proposed+0.13621841417368574 set+0.15509729886726692 some+0.17862329363926807 not+0.05721754284054604 system+0.18966018007551555 method+0.1739761835608481 systems+0.17368573918094685 given+0.15771129828637817 state+0.11966308451931455 demonstrate+0.12169619517862329 methods+0.1478361893697357 performance+0.11850130699970955 network+0.11966308451931455
CLASS7: but+0.24633110976349304 different+0.27616737416616133 information+0.16979987871437235 it+0.5067313523347483 may+0.14469375379017588 model+0.5360824742268041 provide+0.16676773802304426 state+0.2540933899332929 such+0.3949060036385688 these+0.43844754396604 they+0.12577319587628866 through+0.1459066100667071 two+0.44184354154032746 2+0.15985445724681624 all+0.10224378411158278 any+0.129047907822923 been+0.17440873256519102 between+0.3389933292904791 both+0.29266221952698607 find+0.23529411764705882 first+0.2534869617950273 has+0.3108550636749545 here+0.14238932686476652 high+0.27992722862340813 however+0.24002425712553063 known+0.12516676773802304 large+0.28368708308065493 low+0.1779260157671316 new+0.3068526379624015 only+0.2309278350515464 order+0.17040630685263797 other+0.2209824135839903 particular+0.13086719223771984 than+0.26585809581564585 time+0.29205579138872045 also+0.4090964220739842 case+0.12916919345057612 demonstrate+0.1480897513644633 how+0.14420861127956336 its+0.24026682838083688 many+0.14675560946027896 more+0.26488781079442086 most+0.24815039417828988 one+0.3144936325045482 show+0.38981200727713766 used+0.23420254699818072 using+0.41200727713765917 1+0.07471194663432383 3+0.10612492419648271 approach+0.20375985445724681 energy+0.18872043662825955 have+0.13972104305639782 mass+0.16118859915100062 not+0.33765918738629475 or+0.4599151000606428 while+0.11873862947240751 data+0.49957550030321407 function+0.14081261370527592 models+0.26221952698605216 non+0.07944208611279563 some+0.1459066100667071 use+0.21443298969072164 due+0.16094602789569437 field+0.048271679805943 proposed+0.17659187386294725 single+0.07798665858095816 structure+0.12456033959975743 theory+0.0667070952092177 well+0.26367495451788964 present+0.24123711340206186 results+0.38872043662825956 three+0.13317161916312917 work+0.23480897513644633 study+0.23323226197695573 their+0.2682838083687083 where+0.11085506367495451 if+0.1165554881746513 method+0.2036385688295937 space+0.1827774408732565 analysis+0.20764099454214677 based+0.15306246209824137 methods+0.18023044269254093 properties+0.09630078835657975 system+0.1952698605215282 number+0.18204972710733777 systems+0.17307459066100667 under+0.11328077622801698 each+0.16931473620375986 into+0.11061249241964827 problem+0.18229229836264402 over+0.17647058823529413 propose+0.19624014554275318 when+0.10818677986658581 paper+0.28865979381443296 then+0.1689508793208005 given+0.12310491206791996 performance+0.15827774408732564 set+0.14032747119466343 there+0.08562765312310491 network+0.15306246209824137
CLASS8: 2+0.1764937106918239 also+0.1430817610062893 analysis+0.20636792452830188 but+0.20007861635220126 data+0.3938679245283019 have+0.35927672955974843 here+0.12775157232704404 if+0.09512578616352202 it+0.5224056603773585 its+0.24724842767295596 known+0.11713836477987422 large+0.29677672955974843 model+0.5125786163522013 models+0.1945754716981132 non+0.2684748427672956 set+0.14426100628930819 space+0.16745283018867924 structure+0.1831761006289308 these+0.4901729559748428 three+0.15212264150943397 time+0.2759433962264151 use+0.17413522012578617 using+0.41312893081761004 well+0.2751572327044025 where+0.40526729559748426 1+0.07586477987421383 been+0.22248427672955975 both+0.29205974842767296 different+0.27476415094339623 first+0.2645440251572327 how+0.10770440251572327 into+0.24724842767295596 may+0.125 more+0.22248427672955975 most+0.06525157232704402 new+0.27476415094339623 not+0.28223270440251574 only+0.18985849056603774 provide+0.07665094339622641 results+0.3856132075471698 state+0.3093553459119497 their+0.24724842767295596 used+0.2244496855345912 all+0.2511792452830189 find+0.12067610062893082 mass+0.08608490566037735 particular+0.14111635220125787 properties+0.17374213836477986 single+0.14897798742138366 than+0.21580188679245282 theory+0.20204402515723272 there+0.0735062893081761 they+0.11320754716981132 two+0.47955974842767296 while+0.1470125786163522 any+0.13404088050314467 approach+0.22641509433962265 between+0.33372641509433965 field+0.21108490566037735 present+0.22287735849056603 problem+0.18553459119496854 propose+0.20518867924528303 order+0.202437106918239 paper+0.3026729559748428 energy+0.09198113207547169 function+0.15644654088050314 number+0.18946540880503146 over+0.18160377358490565 system+0.2209119496855346 work+0.20479559748427673 3+0.10455974842767296 has+0.30424528301886794 other+0.20047169811320756 study+0.23977987421383648 given+0.13286163522012578 due+0.14072327044025157 information+0.15723270440251572 or+0.12185534591194969 some+0.13443396226415094 through+0.14150943396226415 case+0.14504716981132076 based+0.42727987421383645 proposed+0.22248427672955975 then+0.18867924528301888 however+0.10731132075471699 high+0.0770440251572327 network+0.16077044025157233 one+0.05817610062893082 each+0.1878930817610063 low+0.05817610062893082 show+0.020047169811320754 under+0.1360062893081761 demonstrate+0.16273584905660377 method+0.22248427672955975 methods+0.18121069182389937 when+0.07429245283018868 systems+0.16627358490566038 such+0.020440251572327043 many+0.1253930817610063 performance+0.15605345911949686
CLASS9: 3+0.1251798561151079 all+0.2211031175059952 also+0.4148681055155875 data+0.3261390887290168 method+0.20239808153477218 not+0.2949640287769784 propose+0.1707434052757794 results+0.44316546762589926 state+0.2647482014388489 these+0.47961630695443647 three+0.12661870503597122 two+0.4988009592326139 used+0.1856115107913669 using+0.3980815347721823 well+0.27002398081534773 analysis+0.1880095923261391 any+0.13956834532374102 but+0.19904076738609114 energy+0.22637889688249402 has+0.27913669064748203 high+0.2935251798561151 its+0.23932853717026378 known+0.12326139088729017 low+0.19664268585131894 mass+0.11462829736211032 other+0.18225419664268586 provide+0.17553956834532375 theory+0.1884892086330935 1+0.4513189448441247 2+0.12038369304556355 approach+0.1788968824940048 different+0.07434052757793765 field+0.22062350119904076 first+0.2657074340527578 large+0.29304556354916067 models+0.1342925659472422 most+0.16642685851318945 one+0.1170263788968825 order+0.19568345323741007 show+0.4206235011990408 single+0.13621103117505995 structure+0.16786570743405277 study+0.2820143884892086 into+0.21151079136690648 may+0.1251798561151079 particular+0.147242206235012 demonstrate+0.14532374100719425 how+0.11990407673860912 paper+0.28345323741007195 space+0.22062350119904076 such+0.42206235011990406 due+0.15731414868105514 however+0.173621103117506 number+0.21630695443645084 present+0.24364508393285372 where+0.44316546762589926 based+0.3697841726618705 case+0.16019184652278176 non+0.18081534772182253 only+0.22014388489208633 or+0.11414868105515588 then+0.18321342925659473 under+0.13860911270983214 network+0.09496402877697842 over+0.19568345323741007 properties+0.1707434052757794 set+0.1510791366906475 through+0.14580335731414867 use+0.1683453237410072 find+0.09064748201438849 here+0.14244604316546763 model+0.044124700239808155 there+0.15347721822541965 while+0.11798561151079137 each+0.173621103117506 new+0.2599520383693046 some+0.18369304556354915 more+0.05515587529976019 than+0.19808153477218227 it+0.06618705035971223 been+0.12326139088729017 work+0.09016786570743406 system+0.22589928057553957 they+0.10983213429256594 function+0.1577937649880096 have+0.055635491606714625 proposed+0.16930455635491606 time+0.2772182254196643 their+0.0671462829736211 when+0.2628297362110312 both+0.09832134292565947 many+0.10887290167865707 if+0.12470023980815348 given+0.15491606714628298 systems+0.15299760191846523 problem+0.20239808153477218 information+0.13477218225419665 methods+0.1366906474820144 between+0.06522781774580336 performance+0.12709832134292565
CLASS16: 1+0.6161197833705001 2+0.4749920356801529 3+0.2510353615801211 but+0.24912392481682064 given+0.18636508442179037 it+0.5651481363491557 large+0.244663905702453 or+0.43421471806307743 particular+0.15928639694170119 some+0.20643517043644471 state+0.2035680152914941 two+0.4941064033131571 well+0.2147180630774132 all+0.3195285122650526 analysis+0.04523733673144314 between+0.3322714240203887 both+0.23797387703090156 case+0.23797387703090156 find+0.25135393437400444 have+0.3405543166613571 here+0.15801210576616756 into+0.17139216310927047 mass+0.16788786237655304 may+0.12902198152277797 number+0.23829244982478495 one+0.3912073908888181 study+0.2841669321439949 such+0.1611978337050016 system+0.1780821917808219 systems+0.13348200063714558 their+0.24593819687798663 there+0.22809812042051608 when+0.2812997769990443 where+0.5199107996177127 due+0.059891685250079645 first+0.25995539980885635 non+0.12042051608792609 results+0.3373685887225231 single+0.12647339917171074 than+0.26314112774769033 energy+0.08792609111181905 function+0.17139216310927047 low+0.12392481682064352 many+0.11373048741637465 only+0.26505256451099074 space+0.2042051608792609 theory+0.19751513220770947 time+0.267601146862058 while+0.26186683657215676 model+0.07199745141764893 over+0.1780821917808219 present+0.1917808219178082 set+0.16884358075820324 three+0.12360624402676011 also+0.4319847085058936 how+0.10672188595093979 however+0.1621535520866518 information+0.08665179993628544 more+0.2539025167250717 not+0.38419878942338326 order+0.20707231602421153 show+0.4444090474673463 any+0.21312519910799618 been+0.18158649251353934 has+0.3443771901879579 if+0.2685568652437082 new+0.2319209939471169 other+0.22491239248168207 paper+0.2851226505256451 problem+0.2159923542529468 structure+0.15132207709461612 field+0.19241796750557502 high+0.08505893596686843 these+0.14144632048423064 different+0.08378464479133482 they+0.13348200063714558 its+0.26282255495380696 most+0.2159923542529468 data+0.05129021981522778 properties+0.14144632048423064 used+0.13857916533928002 demonstrate+0.034087288945524055 known+0.18158649251353934 under+0.13348200063714558 method+0.0933418286078369 models+0.09684612934055431 then+0.20866517999362855 work+0.10130614845492195 provide+0.14590633959859828 using+0.046511627906976744 approach+0.10385473080598917 each+0.11787193373685888 proposed+0.08028034405861739 use+0.14303918445364766 through+0.05543166613571201 based+0.044281618349792926 methods+0.0678560050971647 propose+0.04587448231920994 performance+0.051927365402994585 network+0.06052883083784645
CLASS17: 1+0.7025089605734767 all+0.35125448028673834 also+0.4068100358422939 between+0.3727598566308244 both+0.26523297491039427 but+0.2670250896057348 data+0.4103942652329749 energy+0.24372759856630824 find+0.4211469534050179 method+0.0913978494623656 model+0.489247311827957 models+0.2670250896057348 not+0.31362007168458783 only+0.24910394265232974 paper+0.1917562724014337 present+0.2885304659498208 provide+0.13978494623655913 space+0.12365591397849462 study+0.2939068100358423 these+0.5609318996415771 time+0.11827956989247312 use+0.14157706093189965 used+0.17025089605734767 well+0.2867383512544803 while+0.2992831541218638 any+0.13082437275985664 first+0.1881720430107527 here+0.13799283154121864 high+0.3046594982078853 large+0.2903225806451613 or+0.43189964157706096 order+0.15949820788530467 results+0.4336917562724014 their+0.30824372759856633 there+0.12724014336917563 when+0.22939068100358423 mass+0.3172043010752688 more+0.2616487455197133 most+0.2007168458781362 other+0.1989247311827957 propose+0.026881720430107527 single+0.1111111111111111 state+0.044802867383512544 such+0.34587813620071683 3+0.3279569892473118 field+0.2903225806451613 into+0.2078853046594982 new+0.18100358422939067 one+0.2849462365591398 then+0.14695340501792115 theory+0.17921146953405018 through+0.05197132616487455 two+0.0913978494623656 have+0.10215053763440861 2+0.4946236559139785 than+0.35304659498207885 three+0.16129032258064516 approach+0.10931899641577061 due+0.06810035842293907 known+0.13082437275985664 non+0.1003584229390681 they+0.12365591397849462 low+0.22580645161290322 different+0.2168458781362007 each+0.13261648745519714 number+0.05555555555555555 structure+0.14695340501792115 analysis+0.18996415770609318 if+0.1003584229390681 may+0.0931899641577061 properties+0.22759856630824374 it+0.08243727598566308 problem+0.08602150537634409 some+0.13978494623655913 function+0.13261648745519714 information+0.07885304659498207 many+0.06989247311827956 set+0.12724014336917563 given+0.09498207885304659 work+0.043010752688172046 its+0.023297491039426525 show+0.03942652329749104 system+0.13261648745519714 case+0.13978494623655913 over+0.06810035842293907 how+0.08422939068100359 however+0.044802867383512544 particular+0.07347670250896057 using+0.08064516129032258 under+0.07526881720430108 demonstrate+0.044802867383512544 proposed+0.06451612903225806 where+0.01971326164874552 has+0.023297491039426525 methods+0.06989247311827956 network+0.06272401433691756 based+0.05197132616487455 systems+0.0985663082437276 performance+0.03225806451612903 been+0.005376344086021506
CLASS18: 1+0.6007067137809188 2+0.43392226148409896 3+0.272791519434629 data+0.4614840989399293 field+0.21696113074204948 function+0.15618374558303888 its+0.22120141342756183 low+0.22897526501766785 mass+0.26360424028268553 non+0.25017667844522967 number+0.18021201413427562 problem+0.10600706713780919 results+0.3710247349823322 study+0.280565371024735 their+0.2706713780918728 theory+0.1392226148409894 three+0.13427561837455831 using+0.5180212014134276 approach+0.15053003533568904 both+0.2840989399293286 case+0.111660777385159 find+0.31590106007067137 has+0.29823321554770316 however+0.19081272084805653 large+0.31307420494699645 models+0.15901060070671377 more+0.23674911660777384 not+0.3067137809187279 paper+0.2303886925795053 single+0.14275618374558305 space+0.17385159010600706 structure+0.1717314487632509 than+0.3300353356890459 these+0.10671378091872792 work+0.10318021201413427 also+0.3893992932862191 analysis+0.22614840989399293 energy+0.2381625441696113 only+0.17526501766784452 or+0.4480565371024735 particular+0.1215547703180212 present+0.27985865724381626 system+0.14770318021201415 where+0.0812720848056537 all+0.26501766784452296 demonstrate+0.10247349823321555 how+0.07137809187279152 into+0.16890459363957597 may+0.07703180212014134 show+0.35406360424028266 well+0.254416961130742 other+0.1773851590106007 through+0.07420494699646643 use+0.18445229681978798 have+0.4042402826855124 known+0.11943462897526502 such+0.04169611307420495 between+0.3512367491166078 different+0.06713780918727916 time+0.2480565371024735 given+0.10742049469964664 under+0.10318021201413427 based+0.3568904593639576 been+0.18657243816254418 high+0.34558303886925795 used+0.19363957597173145 first+0.22614840989399293 most+0.2381625441696113 order+0.18515901060070672 set+0.1088339222614841 when+0.08551236749116607 one+0.2275618374558304 some+0.12438162544169612 then+0.12932862190812722 while+0.10954063604240283 any+0.11590106007067137 many+0.0911660777385159 model+0.025441696113074206 due+0.1823321554770318 if+0.11943462897526502 new+0.26996466431095406 but+0.0812720848056537 over+0.19646643109540637 method+0.16537102473498233 methods+0.1010600706713781 here+0.12791519434628976 provide+0.058657243816254416 two+0.01342756183745583 state+0.0685512367491166 properties+0.17526501766784452 they+0.0480565371024735 it+0.05017667844522968 propose+0.10247349823321555 there+0.13286219081272085 information+0.052296819787985865 each+0.12932862190812722 proposed+0.10671378091872792 systems+0.12862190812720847 network+0.0734982332155477 performance+0.0989399293286219
CLASS19: analysis+0.1996306245802552 based+0.41302887844190733 data+0.38801208865010073 demonstrate+0.15614506380120888 different+0.24966420416386836 due+0.1734385493619879 each+0.16571524513096036 energy+0.1922431161853593 high+0.26846877098723976 model+0.4529885829415715 non+0.24042981867024849 or+0.15815983881799867 propose+0.20483546004029551 such+0.3866689053055742 these+0.43636668905305576 through+0.14758226997985224 field+0.1764607118871726 find+0.2154130288784419 large+0.1145063801208865 low+0.17730020147750167 mass+0.12038280725319006 not+0.2730020147750168 order+0.17528542646071188 properties+0.16420416386836803 set+0.12541974479516454 show+0.3997649429147079 structure+0.16672263263935527 theory+0.1586635325721961 all+0.21507723304231027 approach+0.2187709872397582 been+0.23522498321020818 between+0.31548018804566824 but+0.08965748824714574 have+0.3774345198119543 however+0.23018804566823373 its+0.22112155809267964 present+0.21994627266621894 single+0.13599731363331094 space+0.15278710543989255 study+0.25990597716588315 their+0.2850906648757555 using+0.41051040967092006 also+0.3653458697112156 if+0.0819341840161182 may+0.1356615177971793 number+0.17612491605104097 one+0.2562122229684352 results+0.40614506380120885 state+0.13851578240429818 there+0.12978509066487576 used+0.23707186030893218 function+0.14237743451981194 models+0.21675621222296843 new+0.2686366689053056 three+0.12088650100738751 work+0.17293485560779046 first+0.22364002686366688 has+0.28122901276024176 information+0.166051040967092 method+0.2060107454667562 only+0.18955674949630624 paper+0.3055742108797851 more+0.251846877098724 most+0.19543317662860982 over+0.18116185359301545 time+0.28122901276024176 use+0.19895903290799194 case+0.12021490933512424 provide+0.18401611820013433 some+0.058260577568838144 than+0.23270651443922094 they+0.12558764271323036 when+0.2364002686366689 other+0.18989254533243788 particular+0.07001343183344527 where+0.3347884486232371 into+0.23136333109469442 under+0.1229012760241773 3+0.02384150436534587 any+0.09704499664204164 both+0.2971793149764943 it+0.062458025520483546 then+0.15950302216252518 how+0.13196776359973136 well+0.08848220282068503 while+0.2568838146406985 here+0.14573539288112827 many+0.14321692411014103 methods+0.16470785762256548 system+0.20785762256548018 proposed+0.21574882471457354 two+0.06279382135661518 1+0.014439220953660174 known+0.0871390194761585 network+0.17360644728005373 performance+0.18754197447951645 problem+0.1836803223640027 systems+0.18418401611820012 given+0.04801880456682337 2+0.011920752182672936
