CLASS19: 1+0.6668642560758743 2+0.5050385299347955 3+0.27860106698280973 but+0.2883817427385892 given+0.1819798458802608 it+0.5758743331357439 large+0.22495554238292828 or+0.34825133372851214 particular+0.15530527563722585 some+0.2154712507409603 state+0.2033195020746888 two+0.5186721991701245 well+0.24244220509780676 also+0.44931831653823356 approach+0.1052163604030824 energy+0.08950800237107291 has+0.32809721398933017 have+0.31920569057498516 low+0.1087729697688204 mass+0.17397747480735032 model+0.20687611144042678 not+0.36959098992294015 one+0.37225844694724364 order+0.21310017783046828 than+0.25429756965026673 these+0.14226437462951985 while+0.22910491997628926 all+0.3064611736810907 been+0.1751630112625963 between+0.3515115589804386 due+0.06639004149377593 field+0.21339656194427978 first+0.26318909306461175 how+0.1001778304682869 if+0.2732661529342027 may+0.14493183165382337 more+0.2237700059276823 other+0.20657972732661528 paper+0.26437462951985774 present+0.2021339656194428 study+0.3147599288678127 such+0.15975103734439833 then+0.20598695909899228 they+0.13900414937759337 time+0.26289270895080025 work+0.14700652045050386 its+0.31713100177830467 known+0.1953171310017783 non+0.13337285121517486 only+0.24748073503260226 data+0.04001185536455246 properties+0.14522821576763487 space+0.1950207468879668 when+0.25785417901600477 where+0.5174866627148785 function+0.18553645524599882 many+0.1040308239478364 number+0.2563722584469472 results+0.3965619442797866 single+0.11321873147599289 system+0.18524007113218732 theory+0.21873147599288678 analysis+0.04860699466508595 find+0.23029045643153526 over+0.15856550088915233 set+0.16241849436870184 three+0.13900414937759337 however+0.14582098399525786 information+0.08446947243627742 show+0.42768227622999405 their+0.24896265560165975 there+0.2160640189685833 any+0.2024303497332543 both+0.26348547717842324 case+0.24155305275637226 into+0.16982809721398934 new+0.21932424422050978 problem+0.2113218731475993 structure+0.13515115589804386 high+0.06609365737996444 different+0.09662122110254891 here+0.15649081209247184 most+0.1813870776526378 models+0.11855364552459988 systems+0.11440426793123888 under+0.14611736810906936 use+0.13248369887374037 provide+0.14789567279193835 used+0.14967397747480735 method+0.09336099585062241 using+0.1025489033787789 demonstrate+0.03052756372258447 proposed+0.07113218731475993 propose+0.02874925903971547 each+0.1075874333135744 based+0.035269709543568464 through+0.06372258446947243 performance+0.04742145820983995 methods+0.06224066390041494 network+0.05186721991701245
CLASS2: 1+0.3175355450236967 all+0.10900473933649289 energy+0.3459715639810427 find+0.33175355450236965 high+0.33175355450236965 large+0.2985781990521327 mass+0.3696682464454976 more+0.22274881516587677 most+0.2037914691943128 or+0.5355450236966824 other+0.13270142180094788 propose+0.10900473933649289 single+0.11848341232227488 space+0.17061611374407584 state+0.2796208530805687 such+0.3886255924170616 these+0.5829383886255924 while+0.35071090047393366 data+0.44549763033175355 field+0.2559241706161137 have+0.4218009478672986 here+0.14691943127962084 model+0.6682464454976303 not+0.3459715639810427 well+0.11848341232227488 2+0.46445497630331756 any+0.14218009478672985 into+0.2037914691943128 set+0.10900473933649289 than+0.14218009478672985 theory+0.13744075829383887 there+0.11374407582938388 they+0.13270142180094788 using+0.5687203791469194 analysis+0.2890995260663507 both+0.24644549763033174 but+0.25118483412322273 how+0.037914691943127965 models+0.2796208530805687 only+0.14218009478672985 properties+0.14691943127962084 structure+0.17535545023696683 used+0.20853080568720378 work+0.06635071090047394 first+0.17535545023696683 may+0.1943127962085308 new+0.06635071090047394 number+0.14691943127962084 some+0.12796208530805686 demonstrate+0.10426540284360189 different+0.16587677725118483 it+0.037914691943127965 under+0.061611374407582936 use+0.20853080568720378 been+0.16587677725118483 however+0.17061611374407584 low+0.2890995260663507 provide+0.13270142180094788 their+0.14691943127962084 then+0.12322274881516587 has+0.1895734597156398 its+0.1943127962085308 present+0.24644549763033174 results+0.04739336492890995 between+0.3080568720379147 problem+0.07109004739336493 proposed+0.11374407582938388 particular+0.04265402843601896 systems+0.13270142180094788 through+0.12796208530805686 3+0.13270142180094788 also+0.08056872037914692 three+0.11848341232227488 where+0.08530805687203792 due+0.20853080568720378 paper+0.14691943127962084 if+0.12796208530805686 two+0.04739336492890995 information+0.06635071090047394 each+0.11374407582938388 function+0.052132701421800945 over+0.12796208530805686 network+0.05687203791469194 given+0.0995260663507109 method+0.10900473933649289 based+0.023696682464454975 performance+0.07582938388625593 system+0.13744075829383887 known+0.037914691943127965 time+0.04265402843601896 many+0.061611374407582936 study+0.04265402843601896 methods+0.03317535545023697 approach+0.02843601895734597 one+0.018957345971563982 order+0.061611374407582936 when+0.02843601895734597 non+0.04265402843601896 case+0.07109004739336493 show+0.014218009478672985
CLASS3: 2+0.28888888888888886 all+0.22666666666666666 also+0.3466666666666667 both+0.27555555555555555 data+0.4177777777777778 field+0.24888888888888888 find+0.2 high+0.21777777777777776 information+0.14666666666666667 it+0.5288888888888889 its+0.29777777777777775 large+0.04888888888888889 mass+0.06222222222222222 may+0.17333333333333334 model+0.06222222222222222 models+0.09333333333333334 new+0.3244444444444444 non+0.05333333333333334 or+0.43555555555555553 present+0.36 show+0.3333333333333333 single+0.14666666666666667 structure+0.18666666666666668 their+0.24444444444444444 well+0.29777777777777775 where+0.37333333333333335 analysis+0.25333333333333335 between+0.1288888888888889 energy+0.2222222222222222 given+0.13777777777777778 space+0.18666666666666668 under+0.14222222222222222 using+0.5688888888888889 3+0.1111111111111111 but+0.2 how+0.09333333333333334 if+0.1111111111111111 many+0.04888888888888889 methods+0.1511111111111111 one+0.27111111111111114 only+0.20444444444444446 state+0.2222222222222222 theory+0.2222222222222222 two+0.04888888888888889 use+0.2311111111111111 work+0.21333333333333335 approach+0.18222222222222223 different+0.3022222222222222 function+0.1688888888888889 known+0.12444444444444444 not+0.28444444444444444 than+0.06666666666666667 three+0.13777777777777778 used+0.2311111111111111 any+0.16 case+0.16444444444444445 however+0.17777777777777778 method+0.17777777777777778 number+0.04 order+0.06222222222222222 particular+0.06666666666666667 they+0.08888888888888889 through+0.04 then+0.10222222222222223 due+0.18222222222222223 each+0.04 first+0.18666666666666668 more+0.1511111111111111 properties+0.1288888888888889 there+0.044444444444444446 low+0.17777777777777778 system+0.2311111111111111 over+0.21333333333333335 propose+0.11555555555555555 proposed+0.13777777777777778 problem+0.17777777777777778 provide+0.13333333333333333 set+0.13333333333333333 time+0.30666666666666664 based+0.2577777777777778 have+0.013333333333333334 here+0.11555555555555555 network+0.08444444444444445 while+0.044444444444444446 demonstrate+0.044444444444444446 into+0.035555555555555556 performance+0.06666666666666667 some+0.08444444444444445 study+0.2 systems+0.16 paper+0.035555555555555556 has+0.022222222222222223 other+0.044444444444444446 when+0.044444444444444446 results+0.035555555555555556 been+0.017777777777777778 these+0.013333333333333334 most+0.03111111111111111 1+0.044444444444444446 such+0.022222222222222223
CLASS4: also+0.4200913242009132 approach+0.19360730593607306 based+0.3187214611872146 energy+0.24292237442922374 field+0.273972602739726 have+0.034703196347031964 into+0.2219178082191781 known+0.09406392694063927 low+0.17168949771689498 model+0.6045662100456621 other+0.048401826484018265 properties+0.18538812785388128 provide+0.14703196347031963 state+0.2602739726027397 such+0.37534246575342467 theory+0.1954337899543379 these+0.3917808219178082 they+0.09954337899543379 three+0.11689497716894977 two+0.4246575342465753 used+0.20730593607305936 using+0.5616438356164384 between+0.410958904109589 but+0.2 given+0.13515981735159818 information+0.12968036529680366 it+0.4840182648401826 non+0.33059360730593607 not+0.3105022831050228 or+0.4648401826484018 over+0.1689497716894977 show+0.3515981735159817 space+0.2365296803652968 study+0.1643835616438356 then+0.17990867579908676 time+0.291324200913242 where+0.4018264840182648 analysis+0.17442922374429223 first+0.1004566210045662 how+0.1589041095890411 mass+0.16164383561643836 method+0.1954337899543379 system+0.21552511415525114 case+0.14246575342465753 different+0.23378995433789954 models+0.2091324200913242 more+0.21095890410958903 present+0.2146118721461187 structure+0.14794520547945206 all+0.1771689497716895 may+0.15159817351598173 particular+0.1415525114155251 large+0.2447488584474886 propose+0.14885844748858448 proposed+0.15342465753424658 than+0.1917808219178082 use+0.1552511415525114 when+0.09497716894977169 1+0.042922374429223746 any+0.12602739726027398 both+0.05662100456621005 only+0.10776255707762557 paper+0.25388127853881276 their+0.28036529680365296 under+0.16986301369863013 find+0.06301369863013699 function+0.1680365296803653 here+0.13424657534246576 however+0.15799086757990868 order+0.18995433789954339 due+0.1689497716894977 each+0.12968036529680366 if+0.0502283105022831 some+0.13424657534246576 work+0.13424657534246576 2+0.0228310502283105 its+0.07579908675799087 systems+0.19360730593607306 high+0.19452054794520549 many+0.11141552511415526 new+0.07214611872146119 single+0.12420091324200913 most+0.1141552511415525 results+0.07488584474885844 number+0.09223744292237443 methods+0.12146118721461187 well+0.08949771689497717 while+0.0593607305936073 problem+0.1689497716894977 demonstrate+0.1415525114155251 one+0.05662100456621005 data+0.052054794520547946 there+0.049315068493150684 set+0.13881278538812786 3+0.01643835616438356 performance+0.10410958904109589 network+0.1141552511415525 through+0.0593607305936073 has+0.03287671232876712 been+0.0009132420091324201
CLASS5: 1+0.5283354922279793 3+0.22781735751295337 all+0.24303756476683938 also+0.41240284974093266 approach+0.18960492227979275 based+0.3481217616580311 function+0.147830310880829 how+0.08937823834196891 it+0.4647020725388601 known+0.13471502590673576 methods+0.16045984455958548 new+0.28125 non+0.23186528497409326 one+0.30650906735751293 order+0.19365284974093264 particular+0.1248380829015544 results+0.44656735751295334 show+0.32626295336787564 study+0.27801165803108807 2+0.42389896373056996 analysis+0.210330310880829 any+0.125 data+0.3913536269430052 field+0.19834844559585493 first+0.2616580310880829 has+0.30391839378238344 high+0.09553108808290156 into+0.18847150259067358 low+0.15398316062176165 mass+0.09310233160621761 may+0.12143782383419689 model+0.24400906735751296 models+0.17373704663212436 over+0.19834844559585493 than+0.25971502590673573 their+0.26262953367875647 time+0.266839378238342 two+0.452720207253886 well+0.24724740932642486 been+0.22328367875647667 between+0.3626943005181347 due+0.1567357512953368 have+0.3539507772020725 large+0.25680051813471505 only+0.18329015544041452 proposed+0.18215673575129535 single+0.11900906735751296 some+0.07367227979274611 structure+0.15786917098445596 such+0.08549222797927461 theory+0.1329339378238342 using+0.4852655440414508 both+0.1254857512953368 case+0.13422927461139897 find+0.21518782383419688 however+0.19689119170984457 its+0.10411269430051813 more+0.23364637305699482 not+0.2611722797927461 paper+0.2971178756476684 space+0.17713730569948186 these+0.4797603626943005 work+0.16580310880829016 but+0.07253886010362694 different+0.2772020725388601 most+0.20563471502590674 provide+0.15835492227979275 state+0.227169689119171 used+0.22053108808290156 number+0.1954339378238342 or+0.060718911917098446 other+0.1949481865284974 present+0.23801813471502592 energy+0.0856541450777202 properties+0.14766839378238342 method+0.19964378238341968 three+0.1635362694300518 each+0.17454663212435234 while+0.2543717616580311 here+0.12435233160621761 propose+0.16191709844559585 where+0.09213082901554404 under+0.1092940414507772 use+0.19251943005181346 problem+0.18150906735751296 information+0.13746761658031087 set+0.14523963730569947 through+0.07593911917098446 demonstrate+0.13115284974093264 system+0.19057642487046633 many+0.11366580310880829 if+0.06541450777202072 they+0.12030440414507772 then+0.15301165803108807 there+0.12856217616580312 systems+0.15009715025906736 when+0.22393134715025906 given+0.12143782383419689 performance+0.14604922279792745 network+0.12402849740932642
CLASS6: 1+0.6440677966101694 2+0.46440677966101696 also+0.34915254237288135 due+0.20677966101694914 energy+0.25084745762711863 field+0.28135593220338984 it+0.5186440677966102 number+0.010169491525423728 state+0.24067796610169492 their+0.18305084745762712 theory+0.2677966101694915 when+0.23389830508474577 all+0.2305084745762712 approach+0.0847457627118644 but+0.288135593220339 first+0.3016949152542373 its+0.34576271186440677 mass+0.25084745762711863 model+0.16610169491525423 models+0.15254237288135594 not+0.3593220338983051 one+0.33220338983050846 only+0.19322033898305085 present+0.21016949152542372 results+0.3389830508474576 time+0.27796610169491526 two+0.4847457627118644 use+0.13559322033898305 been+0.17966101694915254 both+0.2983050847457627 case+0.1694915254237288 different+0.2847457627118644 given+0.0711864406779661 have+0.3254237288135593 most+0.15254237288135594 non+0.10508474576271186 order+0.22372881355932203 some+0.1288135593220339 well+0.023728813559322035 how+0.1152542372881356 may+0.1152542372881356 methods+0.0711864406779661 show+0.33220338983050846 then+0.09830508474576272 these+0.030508474576271188 used+0.12542372881355932 function+0.17627118644067796 other+0.19322033898305085 paper+0.2033898305084746 three+0.10847457627118644 3+0.25084745762711863 demonstrate+0.10508474576271186 high+0.4 low+0.09491525423728814 space+0.04745762711864407 each+0.12203389830508475 particular+0.13898305084745763 set+0.0847457627118644 there+0.03389830508474576 more+0.18983050847457628 systems+0.1152542372881356 than+0.2271186440677966 properties+0.13898305084745763 many+0.09491525423728814 system+0.21694915254237288 while+0.05423728813559322 however+0.1423728813559322 propose+0.12203389830508475 single+0.1016949152542373 such+0.04406779661016949 work+0.04745762711864407 data+0.10508474576271186 or+0.030508474576271188 performance+0.061016949152542375 find+0.1864406779661017 information+0.0847457627118644 has+0.2711864406779661 here+0.17966101694915254 any+0.09491525423728814 proposed+0.0847457627118644 provide+0.10847457627118644 structure+0.14915254237288136 study+0.1152542372881356 over+0.17627118644067796 analysis+0.03728813559322034 they+0.061016949152542375 under+0.13559322033898305 method+0.12203389830508475 network+0.03728813559322034 between+0.030508474576271188 into+0.030508474576271188 through+0.04406779661016949 problem+0.09152542372881356 if+0.0711864406779661 known+0.0711864406779661 based+0.006779661016949152 large+0.030508474576271188 where+0.010169491525423728 using+0.02711864406779661 new+0.006779661016949152
CLASS7: 1+0.6162927981109799 2+0.4750098386462023 3+0.25934671389216846 been+0.14561196379378197 both+0.27194018103109013 data+0.3282172373081464 find+0.2833530106257379 first+0.21645021645021645 has+0.2664305391578119 have+0.32388823297914204 if+0.16214088941361668 its+0.2396694214876033 new+0.23061786698150336 number+0.2097599370326643 one+0.25737898465171194 only+0.18968909878000786 other+0.17158598976780795 results+0.3876426603699331 study+0.25934671389216846 theory+0.16056670602125148 there+0.14482487209759937 through+0.0739866194411649 well+0.2581660763478945 when+0.2235340417158599 while+0.16017316017316016 work+0.10310901219992129 field+0.21251475796930341 function+0.17276662731208187 low+0.20464384100747737 mass+0.21881149153876425 non+0.2837465564738292 problem+0.1770956316410862 their+0.24360487996851632 three+0.1200314836678473 using+0.12868949232585597 all+0.2680047225501771 based+0.3026367571822117 into+0.1648957103502558 properties+0.14010232192050373 single+0.12121212121212122 structure+0.1345926800472255 any+0.16646989374262103 but+0.08146399055489964 here+0.12317985045257772 high+0.30735930735930733 large+0.2534435261707989 not+0.2841401023219205 or+0.48563557654466744 order+0.19637937819756002 paper+0.26249508067689886 also+0.42424242424242425 analysis+0.19008264462809918 case+0.17119244391971664 energy+0.22589531680440772 particular+0.12593467138921685 present+0.23022432113341204 system+0.16725698543880363 than+0.256198347107438 where+0.4592680047225502 demonstrate+0.09641873278236915 how+0.09130263675718221 however+0.14167650531286896 may+0.07713498622589532 models+0.136560409287682 show+0.39433293978748524 space+0.17119244391971664 due+0.17394726485635575 two+0.07005116096025187 use+0.15230224321133412 between+0.3321526957890594 provide+0.07123179850452578 some+0.15269578905942544 they+0.06257378984651712 it+0.05273514364423455 known+0.12081857536402991 model+0.12790240062967337 each+0.14561196379378197 given+0.14167650531286896 propose+0.11294765840220386 different+0.07713498622589532 time+0.25895316804407714 more+0.22786304604486424 such+0.1188508461235734 set+0.13931523022432113 state+0.05548996458087367 then+0.15977961432506887 under+0.1184573002754821 approach+0.12711530893349074 used+0.05588351042896497 proposed+0.10861865407319952 these+0.1373475009838646 most+0.19086973632428178 over+0.17394726485635575 many+0.09799291617473435 information+0.04132231404958678 method+0.1322314049586777 methods+0.08421881149153876 systems+0.12121212121212122 performance+0.09287682014954743 network+0.0759543486816214
CLASS8: also+0.21991701244813278 case+0.1991701244813278 due+0.17842323651452283 find+0.17427385892116182 mass+0.1037344398340249 new+0.2946058091286307 only+0.18672199170124482 order+0.13692946058091288 other+0.2033195020746888 over+0.17012448132780084 results+0.3983402489626556 state+0.2987551867219917 when+0.23651452282157676 1+0.6099585062240664 3+0.16182572614107885 all+0.26141078838174275 based+0.3775933609958506 been+0.1078838174273859 both+0.3153526970954357 energy+0.24066390041493776 first+0.2074688796680498 has+0.24066390041493776 have+0.03734439834024896 however+0.13692946058091288 into+0.2946058091286307 its+0.029045643153526972 model+0.03734439834024896 or+0.4730290456431535 provide+0.14937759336099585 single+0.23236514522821577 some+0.12863070539419086 study+0.2033195020746888 such+0.47717842323651455 their+0.1950207468879668 two+0.5560165975103735 different+0.3029045643153527 most+0.17012448132780084 paper+0.24896265560165975 then+0.14107883817427386 there+0.13692946058091288 any+0.16597510373443983 properties+0.16182572614107885 show+0.42323651452282157 system+0.1908713692946058 theory+0.22406639004149378 three+0.04564315352697095 used+0.1908713692946058 2+0.2572614107883817 each+0.18672199170124482 field+0.17842323651452283 here+0.05394190871369295 high+0.3153526970954357 how+0.07053941908713693 not+0.22406639004149378 number+0.1825726141078838 one+0.2572614107883817 through+0.14522821576763487 where+0.04564315352697095 but+0.0995850622406639 between+0.4107883817427386 low+0.15352697095435686 present+0.21991701244813278 propose+0.21161825726141079 space+0.04564315352697095 method+0.22821576763485477 than+0.21161825726141079 while+0.14107883817427386 given+0.06639004149377593 information+0.14107883817427386 proposed+0.12863070539419086 systems+0.16182572614107885 particular+0.11203319502074689 structure+0.029045643153526972 many+0.0995850622406639 more+0.23236514522821577 network+0.0954356846473029 problem+0.13692946058091288 approach+0.1991701244813278 known+0.05394190871369295 time+0.06224066390041494 methods+0.0995850622406639 function+0.12448132780082988 these+0.03734439834024896 they+0.1037344398340249 performance+0.13278008298755187 under+0.0912863070539419 work+0.0954356846473029 set+0.05394190871369295 analysis+0.016597510373443983 demonstrate+0.11618257261410789 models+0.029045643153526972 large+0.012448132780082987 using+0.03734439834024896 well+0.03319502074688797 if+0.06639004149377593 non+0.04979253112033195 data+0.008298755186721992 use+0.03319502074688797 may+0.08298755186721991 it+0.024896265560165973
CLASS9: 2+0.4147940074906367 between+0.35580524344569286 both+0.24344569288389514 different+0.23174157303370788 find+0.2542134831460674 have+0.31413857677902624 it+0.5299625468164794 model+0.5781835205992509 more+0.23314606741573032 non+0.2804307116104869 one+0.2808988764044944 or+0.40168539325842695 their+0.2762172284644195 while+0.1853932584269663 1+0.572565543071161 all+0.09737827715355805 case+0.1446629213483146 energy+0.2546816479400749 given+0.11095505617977527 how+0.11891385767790262 however+0.16853932584269662 large+0.25702247191011235 models+0.1952247191011236 not+0.12172284644194757 only+0.1849250936329588 other+0.16900749063670412 present+0.21769662921348315 provide+0.13155430711610486 set+0.125 space+0.18117977528089887 under+0.12265917602996254 demonstrate+0.10112359550561797 field+0.27902621722846443 first+0.23174157303370788 order+0.20037453183520598 paper+0.21395131086142322 properties+0.16619850187265917 study+0.2546816479400749 through+0.1704119850187266 two+0.07584269662921349 where+0.08707865168539326 but+0.1891385767790262 high+0.2916666666666667 its+0.31647940074906367 low+0.19803370786516855 mass+0.25187265917602997 new+0.22191011235955055 problem+0.1446629213483146 show+0.31273408239700373 structure+0.16385767790262173 such+0.4288389513108614 theory+0.22893258426966293 well+0.09644194756554307 3+0.18820224719101122 may+0.17649812734082396 most+0.18679775280898878 state+0.07631086142322098 than+0.27902621722846443 also+0.10065543071161048 analysis+0.17462546816479402 any+0.12687265917602997 approach+0.12968164794007492 here+0.16900749063670412 into+0.19335205992509363 propose+0.05664794007490637 three+0.06554307116104868 if+0.15870786516853932 some+0.15730337078651685 based+0.28277153558052437 data+0.0997191011235955 due+0.20177902621722846 has+0.323501872659176 proposed+0.1100187265917603 function+0.14887640449438203 over+0.15215355805243447 particular+0.13576779026217228 there+0.13951310861423222 used+0.07397003745318352 then+0.14934456928838952 when+0.22612359550561797 these+0.09597378277153558 time+0.273876404494382 system+0.18211610486891386 information+0.10299625468164794 single+0.10861423220973783 work+0.21161048689138576 number+0.19850187265917604 systems+0.14840823970037453 many+0.12359550561797752 they+0.12640449438202248 been+0.20833333333333334 use+0.12921348314606743 using+0.11891385767790262 known+0.11189138576779026 results+0.054775280898876406 each+0.12827715355805244 method+0.05758426966292135 methods+0.06367041198501873 performance+0.07397003745318352 network+0.07677902621722846
CLASS13: between+0.3643045608744817 demonstrate+0.16396532227666794 each+0.17433094609875613 has+0.287598944591029 have+0.3744817188088956 into+0.20995099886920468 large+0.2757255936675462 mass+0.14832265359969846 model+0.6045985676592537 most+0.21277798718431964 non+0.2278552581982661 number+0.16302299283829627 order+0.17923105917828874 other+0.22031662269129287 paper+0.31285337353938936 particular+0.131549189596683 results+0.4542027892951376 such+0.38220882020354313 than+0.2491519035054655 there+0.13418771202412363 these+0.4494911421032793 through+0.14643799472295516 analysis+0.24142480211081793 based+0.3844704108556351 data+0.48190727478326423 if+0.08933283075763288 low+0.18431963814549568 new+0.2794949114210328 or+0.4803995476818696 space+0.16471918582736525 study+0.24330946098756126 they+0.13211458725970598 using+0.5065963060686016 well+0.3077647945721824 2+0.04862419901997738 both+0.3234074632491519 but+0.22314361100640784 energy+0.05672823218997362 function+0.15020731247644176 models+0.2819449679607991 more+0.26630229928382965 not+0.3034300791556728 provide+0.17866566151526575 some+0.14172634753109686 two+0.49057670561628347 use+0.2125895212966453 field+0.061062947606483224 its+0.23049378062570675 may+0.14474180173388618 one+0.2936298529966076 only+0.1954391255182812 single+0.11741424802110818 1+0.0870712401055409 all+0.22427440633245382 case+0.12532981530343007 find+0.2278552581982661 over+0.18055032039200905 present+0.2521673577082548 set+0.14266867696946853 show+0.34376177911797967 time+0.27308707124010556 when+0.16660384470410855 high+0.25782133433848475 however+0.23840934790802865 propose+0.2009046362608368 under+0.11967583867320016 work+0.2529212212589521 any+0.1176027139087825 different+0.28156803618545045 first+0.2612137203166227 properties+0.15454202789295138 system+0.20203543158688278 systems+0.18413117225782133 given+0.11892197512250283 information+0.1760271390878251 structure+0.17037316245759518 3+0.08631737655484358 been+0.22823218997361477 used+0.25160196004523183 then+0.16528458349038824 many+0.16415378816434226 their+0.16566151526573691 it+0.07877874104787033 method+0.22446287222012815 here+0.13211458725970598 how+0.14059555220505088 approach+0.20655861289106672 theory+0.0810403316999623 proposed+0.20241236336223142 three+0.15642668676969468 where+0.07840180927252167 while+0.10949868073878628 known+0.11364493026762156 problem+0.19449679607990952 due+0.08499811534112325 also+0.07142857142857142 methods+0.20071617037316244 network+0.1692423671315492 state+0.09856765925367508 performance+0.1711270260082925
CLASS14: 2+0.25882352941176473 data+0.38823529411764707 different+0.2374331550802139 energy+0.2716577540106952 first+0.11336898395721925 has+0.23101604278074866 high+0.27807486631016043 it+0.5390374331550802 model+0.6844919786096256 one+0.29197860962566846 order+0.19679144385026737 present+0.09197860962566845 results+0.45454545454545453 these+0.3967914438502674 three+0.15508021390374332 use+0.17433155080213902 well+0.13368983957219252 work+0.1497326203208556 also+0.10267379679144385 find+0.19786096256684493 its+0.30267379679144385 number+0.2021390374331551 only+0.22566844919786097 some+0.09946524064171124 state+0.3037433155080214 study+0.15080213903743314 systems+0.16149732620320856 their+0.253475935828877 two+0.48128342245989303 using+0.5037433155080214 3+0.11871657754010695 analysis+0.2053475935828877 but+0.13689839572192514 or+0.39893048128342246 other+0.09411764705882353 properties+0.1572192513368984 under+0.12834224598930483 into+0.2053475935828877 show+0.37219251336898396 where+0.4374331550802139 while+0.32620320855614976 based+0.3251336898395722 function+0.16684491978609625 known+0.10374331550802139 large+0.10053475935828877 non+0.332620320855615 between+0.12727272727272726 both+0.3593582887700535 field+0.09090909090909091 however+0.16684491978609625 models+0.24064171122994651 new+0.24171122994652405 propose+0.21497326203208555 set+0.12513368983957218 theory+0.20641711229946524 through+0.16898395721925133 all+0.06844919786096257 information+0.17005347593582887 provide+0.11122994652406418 any+0.09411764705882353 due+0.07593582887700535 mass+0.07058823529411765 most+0.1572192513368984 may+0.045989304812834225 than+0.047058823529411764 then+0.08342245989304813 there+0.09304812834224599 here+0.14759358288770053 structure+0.17967914438502675 have+0.03636363636363636 paper+0.15508021390374332 space+0.15935828877005348 case+0.1754010695187166 method+0.24598930481283424 methods+0.1657754010695187 not+0.034224598930481284 used+0.21283422459893048 when+0.23957219251336898 if+0.053475935828877004 over+0.15828877005347594 given+0.12834224598930483 proposed+0.22459893048128343 how+0.058823529411764705 low+0.19893048128342247 system+0.23101604278074866 particular+0.11978609625668449 each+0.16042780748663102 problem+0.20748663101604278 approach+0.21711229946524063 1+0.07807486631016043 been+0.057754010695187166 they+0.0427807486631016 single+0.1304812834224599 time+0.12727272727272726 demonstrate+0.13368983957219252 many+0.11978609625668449 more+0.05454545454545454 network+0.1497326203208556 such+0.026737967914438502 performance+0.1711229946524064
