CLASS19: 1+0.6040901940220241 2+0.4490473693410243 3+0.23841985666841461 but+0.1943716133543087 given+0.12952281069743052 it+0.4876769795490299 large+0.19996504107673482 or+0.4369865408145429 particular+0.12445376682398182 some+0.16570529627687466 state+0.23142807201538193 two+0.48837615801433315 well+0.22845656353784302 also+0.4102429645166929 approach+0.17671735710540115 energy+0.06729592728543961 has+0.33053661947212026 have+0.362349239643419 low+0.08739730816290858 mass+0.11379129522810698 model+0.15032337004020277 not+0.17199790246460409 one+0.3321097710190526 order+0.10190526131795141 than+0.2564237021499738 these+0.48348190875721025 while+0.30221989162733787 been+0.21167628037056457 both+0.2765250830274428 different+0.27757385072539764 first+0.26726096836217444 how+0.10277923439958049 into+0.1882538017829051 may+0.1447299423177766 more+0.23981821359902114 most+0.20136339800734138 new+0.2800209753539591 non+0.10749868904037756 only+0.22653382275825903 provide+0.154868030064674 results+0.41601118685544486 their+0.28246809998252054 used+0.09893375284041252 using+0.41321447299423175 analysis+0.09071840587309911 data+0.33927635028841113 number+0.21412340499912602 other+0.21639573501136164 present+0.2251354658276525 all+0.27547631532948785 any+0.14595350463205733 high+0.22163957350113617 proposed+0.16622968012585213 space+0.17549379479112043 study+0.2445376682398182 paper+0.32546757559867157 theory+0.08092990735885335 between+0.3665443104352386 known+0.1475266561789897 time+0.27739905610907184 models+0.14840062926061878 three+0.1515469323544835 through+0.12952281069743052 field+0.08425100506904387 where+0.37406047893724875 here+0.13599021150148574 single+0.1344170599545534 structure+0.0854745673833246 they+0.13878692536269882 case+0.16797762628911028 each+0.19734312183184757 however+0.17986366019926586 its+0.24506205208879567 such+0.14193322845656353 there+0.12095787449746548 if+0.1506729592728544 under+0.12078307988113966 due+0.13511623841985668 find+0.10872225135465828 properties+0.07463730117112392 demonstrate+0.12794965915049816 set+0.10942142981996154 when+0.23876944590106625 based+0.3102604439783255 system+0.19734312183184757 systems+0.156790770844258 use+0.17689215172172698 propose+0.16518091242789723 information+0.1475266561789897 methods+0.1464778884810348 method+0.17584338402377206 work+0.1557420031463031 function+0.14420555846879915 problem+0.20643244188079007 over+0.18685544485229855 then+0.171123929382975 show+0.11868554448522986 many+0.12200664219542039 performance+0.14333158538717009 network+0.12620171298724
CLASS2: 1+0.525679758308157 3+0.2598187311178248 approach+0.030211480362537766 data+0.3474320241691843 energy+0.34441087613293053 find+0.41389728096676737 high+0.2990936555891239 if+0.13595166163141995 its+0.2054380664652568 method+0.09063444108761329 model+0.5921450151057401 present+0.24471299093655588 space+0.15709969788519637 state+0.2809667673716012 these+0.6706948640483383 they+0.14501510574018128 time+0.2688821752265861 but+0.25075528700906347 case+0.1268882175226586 different+0.22658610271903323 first+0.21450151057401812 mass+0.38972809667673713 non+0.05740181268882175 single+0.09969788519637462 such+0.4259818731117825 theory+0.1510574018126888 all+0.1691842900302115 large+0.2809667673716012 more+0.2084592145015106 most+0.2084592145015106 or+0.5287009063444109 other+0.1540785498489426 propose+0.09667673716012085 while+0.3021148036253776 2+0.459214501510574 between+0.3323262839879154 both+0.26586102719033233 field+0.26586102719033233 has+0.22658610271903323 not+0.3564954682779456 one+0.0513595166163142 results+0.05740181268882175 through+0.11178247734138973 two+0.10574018126888217 well+0.29607250755287007 have+0.3867069486404834 here+0.2084592145015106 into+0.20241691842900303 low+0.28700906344410876 than+0.3595166163141994 their+0.12084592145015106 each+0.09667673716012085 number+0.15709969788519637 order+0.1027190332326284 structure+0.17522658610271905 may+0.19637462235649547 only+0.21148036253776434 particular+0.04229607250755287 used+0.13293051359516617 analysis+0.18731117824773413 known+0.03625377643504532 models+0.2537764350453172 where+0.13897280966767372 any+0.1268882175226586 due+0.21450151057401812 use+0.19637462235649547 given+0.08761329305135952 properties+0.1299093655589124 however+0.1782477341389728 some+0.14803625377643503 problem+0.07250755287009064 under+0.08761329305135952 when+0.1661631419939577 demonstrate+0.07250755287009064 then+0.08761329305135952 there+0.14803625377643503 show+0.02416918429003021 new+0.030211480362537766 using+0.09969788519637462 been+0.18731117824773413 study+0.0755287009063444 over+0.1419939577039275 also+0.04229607250755287 many+0.09667673716012085 paper+0.11782477341389729 set+0.08157099697885196 three+0.054380664652567974 provide+0.1027190332326284 systems+0.06042296072507553 proposed+0.06948640483383686 function+0.03927492447129909 network+0.06042296072507553 information+0.054380664652567974 system+0.10876132930513595 methods+0.03323262839879154 performance+0.04833836858006042 how+0.021148036253776436 work+0.045317220543806644 based+0.015105740181268883 it+0.015105740181268883
CLASS3: also+0.4354953670705631 between+0.37633642195295797 data+0.36065573770491804 each+0.15217391304347827 energy+0.1849607982893799 have+0.29436920883820383 if+0.12722736992159658 its+0.26977904490377763 may+0.14754098360655737 model+0.5823235923022095 number+0.22131147540983606 one+0.24839629365645047 results+0.42266571632216676 show+0.4144689950106914 state+0.2936564504632929 there+0.11903064861012116 used+0.09693513898788311 2+0.25374198146828225 analysis+0.22380612972202424 any+0.1293656450463293 approach+0.18531717747683535 field+0.18389166072701355 here+0.13542409123307197 into+0.2045616535994298 it+0.533856022808268 mass+0.13578047042052743 models+0.21596578759800428 new+0.26870990734141126 present+0.2391304347826087 problem+0.23093371347113328 propose+0.2006414825374198 provide+0.150392017106201 space+0.16749821810406273 their+0.2459016393442623 theory+0.07804704205274413 three+0.10477548111190306 3+0.14682822523164646 based+0.35780470420527444 properties+0.1322166785459729 than+0.26407697790449036 while+0.11261582323592302 all+0.2359230220955096 both+0.285816108339273 demonstrate+0.12972202423378476 find+0.2255880256593015 how+0.1158232359230221 however+0.2127583749109052 large+0.31290092658588736 low+0.18638631503920172 or+0.39059158945117606 paper+0.31004989308624376 particular+0.1525302922309337 well+0.33357091945830364 high+0.26585887384176765 information+0.16429080541696364 non+0.12081254454739843 single+0.08374910905203137 structure+0.16714183891660728 where+0.38595866001425516 1+0.0962223806129722 been+0.20171062009978616 different+0.08161083392729865 more+0.248039914468995 not+0.33856022808268 order+0.2270135424091233 other+0.17498218104062724 some+0.14183891660727013 two+0.07947255880256593 only+0.22309337134711332 over+0.18389166072701355 set+0.14861012116892375 first+0.06521739130434782 has+0.31397006414825374 study+0.23556664290805418 then+0.14611546685673557 using+0.08161083392729865 work+0.2106200997861725 due+0.17284390591589452 most+0.18139700641482537 system+0.2120456165359943 when+0.2434069850320741 but+0.1511047754811119 given+0.13186029935851745 function+0.16892373485388454 known+0.1361368496079829 these+0.020669992872416252 proposed+0.20099786172487527 such+0.06806842480399145 they+0.10263720598717035 time+0.2765502494654312 under+0.14647184604419103 use+0.16429080541696364 through+0.14647184604419103 network+0.1457590876692801 performance+0.15823235923022094 many+0.1158232359230221 method+0.17854597291518176 case+0.045972915181753386 methods+0.13292943692088383 systems+0.14540270848182466
CLASS4: 3+0.020463847203274217 analysis+0.15688949522510232 energy+0.23465211459754434 field+0.2783083219645293 given+0.12414733969986358 here+0.12551159618008187 large+0.26875852660300137 low+0.17598908594815826 mass+0.17735334242837653 models+0.23328785811732605 not+0.2933151432469304 some+0.12278308321964529 their+0.2946793997271487 these+0.4256480218281037 used+0.21691678035470668 using+0.572987721691678 also+0.39017735334242837 approach+0.19508867667121418 based+0.3246930422919509 have+0.06002728512960437 into+0.24010914051841747 known+0.09140518417462483 model+0.6371077762619373 other+0.07094133697135062 properties+0.19099590723055934 provide+0.15143246930422918 state+0.27694406548431105 such+0.3765347885402456 theory+0.208731241473397 they+0.0941336971350614 three+0.14188267394270124 two+0.45702592087312416 between+0.41882673942701226 but+0.208731241473397 information+0.12005457025920874 it+0.5129604365620737 non+0.3424283765347885 or+0.47885402455661663 over+0.1800818553888131 show+0.35470668485675305 space+0.24420190995907232 study+0.10231923601637108 then+0.17462482946793997 time+0.2810368349249659 where+0.36971350613915416 first+0.09004092769440655 how+0.1582537517053206 method+0.20600272851296045 system+0.19781718963165076 case+0.11732605729877217 different+0.2646657571623465 more+0.2073669849931787 present+0.21964529331514324 structure+0.15688949522510232 find+0.06412005457025921 function+0.17871759890859482 however+0.16234652114597545 order+0.18417462482946795 use+0.15143246930422918 all+0.17462482946793997 each+0.13915416098226466 paper+0.23601637107776263 results+0.0572987721691678 both+0.09686221009549795 most+0.14051841746248295 number+0.06548431105047749 there+0.034106412005457026 due+0.19099590723055934 may+0.13369713506139155 particular+0.14870395634379263 work+0.12414733969986358 1+0.019099590723055934 its+0.02592087312414734 systems+0.19918144611186903 propose+0.15143246930422918 than+0.18417462482946795 only+0.06957708049113233 under+0.13506139154160982 any+0.12278308321964529 methods+0.12414733969986358 demonstrate+0.15279672578444747 well+0.14188267394270124 while+0.12278308321964529 one+0.04365620736698499 proposed+0.16234652114597545 high+0.2073669849931787 problem+0.16916780354706684 single+0.12414733969986358 many+0.11596180081855388 when+0.03137789904502047 new+0.0504774897680764 data+0.054570259208731244 set+0.1364256480218281 performance+0.09959072305593451 network+0.11186903137789904 if+0.02455661664392906 through+0.05184174624829468 has+0.020463847203274217 been+0.004092769440654843 2+0.01227830832196453
CLASS5: 1+0.5994397759103641 3+0.26330532212885155 all+0.24836601307189543 also+0.3930905695611578 approach+0.1568627450980392 based+0.2969187675070028 function+0.16339869281045752 how+0.10084033613445378 it+0.37441643323996265 known+0.12324929971988796 methods+0.14939309056956115 new+0.26143790849673204 non+0.24556489262371614 one+0.29225023342670403 order+0.22408963585434175 particular+0.1223155929038282 results+0.49019607843137253 show+0.42016806722689076 study+0.2969187675070028 2+0.450046685340803 analysis+0.21755368814192344 any+0.10644257703081232 data+0.33800186741363214 field+0.07936507936507936 first+0.27637721755368816 has+0.06349206349206349 high+0.3277310924369748 into+0.18674136321195145 low+0.2605042016806723 mass+0.24836601307189543 may+0.12511671335200747 model+0.10270774976657329 models+0.1419234360410831 over+0.1746031746031746 than+0.3099906629318394 their+0.2623716153127918 time+0.2698412698412698 two+0.49206349206349204 well+0.2661064425770308 between+0.07096171802054155 both+0.28664799253034545 find+0.3183940242763772 theory+0.21288515406162464 using+0.5182072829131653 while+0.3099906629318394 due+0.16713352007469653 three+0.14939309056956115 work+0.21008403361344538 case+0.07563025210084033 have+0.33986928104575165 more+0.24089635854341737 space+0.17740429505135388 such+0.05042016806722689 demonstrate+0.12885154061624648 each+0.13352007469654528 given+0.08590102707749767 propose+0.11764705882352941 structure+0.16433239962651727 where+0.12885154061624648 here+0.13352007469654528 most+0.20074696545284781 not+0.28104575163398693 only+0.06162464985994398 there+0.1092436974789916 different+0.11484593837535013 energy+0.226890756302521 number+0.15219421101774042 present+0.28664799253034545 they+0.12791783380018673 information+0.0896358543417367 provide+0.1465919701213819 state+0.2138188608776844 been+0.1437908496732026 other+0.21008403361344538 through+0.12605042016806722 used+0.24089635854341737 method+0.19607843137254902 or+0.03454715219421102 however+0.15873015873015872 under+0.10457516339869281 if+0.08590102707749767 proposed+0.12511671335200747 single+0.12324929971988796 but+0.20448179271708683 paper+0.04668534080298786 these+0.07936507936507936 many+0.08123249299719888 properties+0.18207282913165265 some+0.03828197945845005 use+0.16806722689075632 problem+0.12324929971988796 large+0.0700280112044818 system+0.16619981325863678 set+0.13352007469654528 then+0.06442577030812324 systems+0.14752567693744165 network+0.08590102707749767 its+0.06069094304388422 performance+0.10550887021475257 when+0.018674136321195144
CLASS6: 1+0.6464646464646465 2+0.5252525252525253 also+0.4494949494949495 due+0.1717171717171717 energy+0.21212121212121213 field+0.43434343434343436 it+0.5555555555555556 number+0.06565656565656566 state+0.26262626262626265 their+0.25252525252525254 theory+0.3383838383838384 when+0.26262626262626265 all+0.36363636363636365 approach+0.13636363636363635 but+0.2727272727272727 first+0.25252525252525254 its+0.2676767676767677 mass+0.14646464646464646 model+0.09595959595959595 models+0.08080808080808081 not+0.41414141414141414 one+0.29797979797979796 only+0.2828282828282828 present+0.18686868686868688 results+0.03535353535353535 time+0.3181818181818182 two+0.6060606060606061 use+0.21717171717171718 show+0.3838383838383838 high+0.23232323232323232 may+0.13636363636363635 new+0.32323232323232326 or+0.4898989898989899 properties+0.1111111111111111 propose+0.0707070707070707 single+0.17676767676767677 some+0.09595959595959595 structure+0.16666666666666666 such+0.050505050505050504 where+0.13131313131313133 3+0.21212121212121213 case+0.2676767676767677 find+0.18686868686868688 information+0.10101010101010101 performance+0.050505050505050504 study+0.26262626262626265 while+0.09595959595959595 based+0.25757575757575757 both+0.3181818181818182 however+0.11616161616161616 low+0.20707070707070707 through+0.045454545454545456 under+0.14646464646464646 if+0.16161616161616163 known+0.10101010101010101 problem+0.13636363636363635 there+0.0707070707070707 used+0.23232323232323232 work+0.0707070707070707 given+0.12626262626262627 method+0.14646464646464646 order+0.12626262626262627 space+0.16666666666666666 system+0.20707070707070707 more+0.13131313131313133 non+0.11616161616161616 then+0.13131313131313133 any+0.16666666666666666 how+0.06565656565656566 proposed+0.07575757575757576 provide+0.2222222222222222 systems+0.18686868686868688 many+0.10101010101010101 set+0.11616161616161616 well+0.08080808080808081 between+0.0707070707070707 analysis+0.19696969696969696 been+0.010101010101010102 demonstrate+0.015151515151515152 different+0.31313131313131315 has+0.025252525252525252 three+0.17676767676767677 they+0.12121212121212122 data+0.21212121212121213 network+0.030303030303030304 each+0.020202020202020204 methods+0.09090909090909091 over+0.10606060606060606 paper+0.020202020202020204 here+0.15656565656565657 large+0.03535353535353535 function+0.13131313131313133 most+0.050505050505050504 particular+0.03535353535353535 these+0.025252525252525252 have+0.010101010101010102 into+0.020202020202020204 using+0.050505050505050504 than+0.030303030303030304 other+0.010101010101010102
CLASS7: 1+0.5980975029726516 2+0.4357907253269917 3+0.2544589774078478 been+0.1634958382877527 both+0.2253269916765755 data+0.24851367419738407 find+0.2990487514863258 first+0.24673008323424495 has+0.28953626634958385 have+0.34898929845422116 if+0.14803804994054698 its+0.22413793103448276 new+0.2431629013079667 number+0.14863258026159334 one+0.27051129607609986 only+0.1985731272294887 other+0.1694411414982164 results+0.40725326991676575 study+0.25980975029726516 theory+0.1848989298454221 there+0.13555291319857313 through+0.06361474435196195 well+0.24019024970273484 when+0.21343638525564804 while+0.2633769322235434 work+0.0980975029726516 all+0.25921521997621877 based+0.25921521997621877 field+0.24613555291319858 into+0.17538644470868014 non+0.25148632580261593 properties+0.16409036860879905 single+0.1206896551724138 structure+0.15279429250891796 any+0.1450653983353151 but+0.09215219976218787 here+0.13733650416171225 high+0.26872770511296074 large+0.28299643281807374 not+0.3151010701545779 or+0.40071343638525564 order+0.21581450653983353 paper+0.26040428061831156 their+0.27051129607609986 also+0.3995243757431629 analysis+0.18192627824019025 case+0.16765755053507728 energy+0.2080856123662307 mass+0.25862068965517243 particular+0.10523186682520809 present+0.2621878715814506 system+0.1724137931034483 than+0.28418549346016647 using+0.07907253269916766 where+0.10225921521997622 different+0.0850178359096314 time+0.2473246135552913 due+0.1605231866825208 two+0.12009512485136742 space+0.1492271105826397 use+0.14090368608799048 function+0.15101070154577884 it+0.01248513674197384 low+0.21938168846611178 many+0.0850178359096314 how+0.0802615933412604 however+0.1581450653983353 information+0.02794292508917955 more+0.21284185493460167 show+0.4054696789536266 between+0.3501783590963139 may+0.04518430439952437 model+0.04399524375743163 approach+0.12663495838287753 propose+0.09571938168846611 proposed+0.11890606420927467 set+0.12009512485136742 these+0.09869203329369798 method+0.12306777645659929 three+0.11890606420927467 most+0.19262782401902498 then+0.14209274673008324 given+0.13198573127229488 some+0.13436385255648037 over+0.18311533888228299 each+0.12128418549346016 problem+0.12841854934601665 such+0.05648038049940547 they+0.061236623067776455 systems+0.12425683709869204 used+0.06302021403091558 models+0.12128418549346016 provide+0.048156956004756245 under+0.12425683709869204 methods+0.07312722948870393 known+0.1206896551724138 demonstrate+0.09155766944114149 performance+0.0802615933412604 network+0.06004756242568371 state+0.010107015457788348
CLASS8: all+0.22748815165876776 into+0.26066350710900477 mass+0.17535545023696683 may+0.11374407582938388 particular+0.11848341232227488 show+0.47393364928909953 different+0.2796208530805687 first+0.22274881516587677 most+0.12322274881516587 new+0.24170616113744076 only+0.18009478672985782 over+0.16113744075829384 paper+0.21800947867298578 single+0.23222748815165878 such+0.43601895734597157 then+0.11848341232227488 there+0.17061611374407584 two+0.5687203791469194 any+0.14691943127962084 case+0.14218009478672985 find+0.20853080568720378 has+0.22274881516587677 properties+0.17061611374407584 results+0.4218009478672986 system+0.15639810426540285 theory+0.23696682464454977 three+0.05687203791469194 used+0.1990521327014218 1+0.4834123222748815 2+0.052132701421800945 each+0.11374407582938388 field+0.22748815165876776 here+0.08530805687203792 high+0.2938388625592417 how+0.08530805687203792 however+0.17061611374407584 not+0.26540284360189575 number+0.14691943127962084 one+0.3033175355450237 or+0.41232227488151657 order+0.20853080568720378 state+0.26066350710900477 through+0.12796208530805686 where+0.10426540284360189 3+0.08530805687203792 between+0.45023696682464454 systems+0.14218009478672985 while+0.15165876777251186 low+0.17061611374407584 present+0.2037914691943128 propose+0.17061611374407584 space+0.03317535545023697 when+0.2037914691943128 if+0.05687203791469194 other+0.18009478672985782 well+0.014218009478672985 given+0.11374407582938388 set+0.04739336492890995 these+0.061611374407582936 under+0.11848341232227488 both+0.33175355450236965 energy+0.1848341232227488 method+0.1895734597156398 than+0.1990521327014218 structure+0.06635071090047394 study+0.16113744075829384 their+0.24170616113744076 been+0.10900473933649289 due+0.14691943127962084 information+0.11374407582938388 many+0.10900473933649289 more+0.20853080568720378 network+0.061611374407582936 problem+0.15639810426540285 provide+0.16587677725118483 based+0.26540284360189575 but+0.037914691943127965 methods+0.0947867298578199 approach+0.14691943127962084 function+0.11374407582938388 performance+0.14218009478672985 proposed+0.13270142180094788 large+0.018957345971563982 some+0.12796208530805686 analysis+0.03317535545023697 demonstrate+0.09004739336492891 its+0.037914691943127965 data+0.018957345971563982 also+0.06635071090047394 model+0.04739336492890995 use+0.04739336492890995 have+0.018957345971563982 they+0.08530805687203792 work+0.05687203791469194 non+0.07109004739336493 time+0.023696682464454975 using+0.023696682464454975 it+0.018957345971563982 known+0.004739336492890996 models+0.009478672985781991
CLASS9: 2+0.39112177564487105 between+0.35032993401319734 both+0.250749850029994 different+0.24415116976604678 find+0.2585482903419316 have+0.3209358128374325 it+0.52249550089982 model+0.4913017396520696 more+0.21415716856628675 non+0.30293941211757647 one+0.29514097180563886 or+0.4133173365326935 their+0.265746850629874 while+0.1895620875824835 1+0.5632873425314937 case+0.15236952609478105 demonstrate+0.08698260347930414 field+0.29454109178164367 first+0.22795440911817635 order+0.2531493701259748 paper+0.23155368926214756 properties+0.17156568686262746 study+0.2543491301739652 through+0.14697060587882424 two+0.14757048590281943 where+0.14337132573485303 but+0.17156568686262746 energy+0.22615476904619075 high+0.23335332933413316 its+0.29214157168566285 low+0.19556088782243553 mass+0.28314337132573486 new+0.2495500899820036 problem+0.15056988602279545 provide+0.13377324535092983 show+0.3629274145170966 structure+0.17336532693461307 such+0.41631673665266944 theory+0.2633473305338932 well+0.07318536292741452 3+0.16136772645470907 may+0.1847630473905219 most+0.16556688662267546 state+0.04979004199160168 than+0.27474505098980206 how+0.122375524895021 if+0.16316736652669467 some+0.15476904619076184 all+0.10017996400719856 each+0.1265746850629874 into+0.21415716856628675 number+0.1793641271745651 other+0.20035992801439712 these+0.07918416316736653 has+0.3395320935812837 however+0.17336532693461307 large+0.23275344931013797 not+0.11217756448710257 proposed+0.11577684463107378 function+0.14337132573485303 given+0.11397720455908818 models+0.1841631673665267 over+0.14577084583083383 particular+0.12837432513497302 space+0.18056388722255548 there+0.15356928614277143 used+0.05878824235152969 then+0.16496700659868027 when+0.21175764847030593 time+0.28074385122975404 any+0.131373725254949 been+0.21295740851829634 only+0.17456508698260348 present+0.20095980803839233 based+0.262747450509898 information+0.09058188362327535 single+0.10737852429514097 work+0.17816436712657469 systems+0.13917216556688664 approach+0.1235752849430114 use+0.1247750449910018 due+0.19796040791841632 data+0.04019196160767846 also+0.032993401319736056 many+0.12117576484703059 under+0.1295740851829634 set+0.11997600479904019 known+0.10977804439112178 analysis+0.15596880623875226 using+0.08278344331133773 they+0.122375524895021 here+0.20155968806238753 propose+0.04619076184763048 results+0.029994001199760048 method+0.03839232153569286 performance+0.07018596280743851 three+0.0629874025194961 methods+0.05398920215956809 system+0.1757648470305939 network+0.07678464307138572
CLASS13: between+0.36387173869747064 demonstrate+0.1563433578968333 each+0.17486556462856004 has+0.29416450906193986 have+0.367257518422625 into+0.20952001593308106 large+0.28719378609838675 mass+0.16191993626767576 model+0.5755825532762398 most+0.2061342362079267 non+0.22485560645289782 number+0.16849233220474008 order+0.18621788488348934 other+0.21947819159529974 paper+0.3045210117506473 particular+0.13662617008564032 results+0.45727942640908187 such+0.3951404102768373 than+0.2477594104760008 there+0.14220274845648279 these+0.4662417845050787 through+0.14021111332403904 analysis+0.24138617805218085 based+0.3732324238199562 data+0.4431388169687313 if+0.09121688906592312 low+0.1814379605656244 new+0.27066321449910374 or+0.4662417845050787 space+0.16331408086038637 study+0.25194184425413263 they+0.1352320254929297 using+0.48974307906791475 well+0.3027285401314479 2+0.03644692292372038 both+0.3007369049990042 but+0.21549492133041226 energy+0.05118502290380402 function+0.15196176060545707 models+0.27126070503883687 more+0.2638916550487951 not+0.3057159928301135 provide+0.16849233220474008 some+0.143397729535949 two+0.5126468830910177 use+0.21111332403903604 field+0.06512646883091018 its+0.2152957578171679 may+0.1344353714399522 one+0.2907787293367855 only+0.19279028082055366 single+0.11750647281418045 1+0.07827126070503884 all+0.2220673172674766 case+0.1306512646883091 find+0.2320254929296953 over+0.18064130651264687 present+0.25034853614817765 set+0.1495717984465246 show+0.35351523600876317 time+0.2748456482772356 when+0.1601274646484764 high+0.24457279426409081 however+0.23561043616809402 propose+0.19139613622784307 under+0.12507468631746663 work+0.2842063333997212 any+0.12626966739693288 different+0.29635530770762797 first+0.2644891455885282 properties+0.1661023700458076 system+0.20035849432383987 systems+0.18103963353913563 given+0.12786297550288786 information+0.16709818761202946 structure+0.16669986058554073 3+0.08783110934076876 been+0.22744473212507468 used+0.26090420235012945 then+0.16430989842660826 many+0.16032662816172077 their+0.16291575383389764 it+0.09500099581756623 method+0.21469826727743477 approach+0.2093208524198367 while+0.14260107548297152 here+0.13324039036048596 how+0.144991037641904 three+0.15435172276438958 where+0.09181437960565625 theory+0.07847042421828321 proposed+0.19856602270464052 due+0.06552479585739893 problem+0.19677355108544115 known+0.11471818362875921 also+0.0400318661621191 methods+0.19438358892650867 network+0.16152160924118703 state+0.05835490938060147 performance+0.16430989842660826
CLASS14: 2+0.2876543209876543 data+0.33209876543209876 different+0.25555555555555554 energy+0.27283950617283953 first+0.18888888888888888 has+0.2518518518518518 high+0.2716049382716049 it+0.5185185185185185 model+0.7012345679012346 one+0.2765432098765432 order+0.2382716049382716 present+0.13580246913580246 results+0.4666666666666667 these+0.4345679012345679 three+0.12962962962962962 use+0.16296296296296298 well+0.2037037037037037 work+0.16913580246913582 also+0.030864197530864196 find+0.20864197530864198 its+0.26049382716049385 number+0.19135802469135801 only+0.19506172839506172 some+0.08518518518518518 state+0.29259259259259257 study+0.06049382716049383 systems+0.14444444444444443 their+0.24814814814814815 two+0.49876543209876545 using+0.5246913580246914 3+0.12962962962962962 analysis+0.22469135802469137 but+0.09259259259259259 or+0.3530864197530864 other+0.06790123456790123 properties+0.14938271604938272 under+0.12098765432098765 into+0.20123456790123456 show+0.4111111111111111 where+0.32839506172839505 while+0.3691358024691358 between+0.09259259259259259 both+0.2975308641975309 field+0.10123456790123457 however+0.1728395061728395 models+0.24074074074074073 new+0.26296296296296295 non+0.3308641975308642 propose+0.19753086419753085 set+0.11851851851851852 theory+0.24691358024691357 through+0.14938271604938272 any+0.0962962962962963 due+0.06049382716049383 information+0.1506172839506173 mass+0.08641975308641975 most+0.1469135802469136 based+0.3111111111111111 have+0.0345679012345679 they+0.043209876543209874 when+0.20123456790123456 1+0.11728395061728394 particular+0.12098765432098765 approach+0.21728395061728395 been+0.0654320987654321 case+0.16049382716049382 how+0.07160493827160494 large+0.12345679012345678 low+0.20246913580246914 methods+0.1617283950617284 all+0.08148148148148149 function+0.14444444444444443 here+0.1654320987654321 structure+0.18641975308641975 each+0.1419753086419753 given+0.1308641975308642 over+0.1617283950617284 used+0.2419753086419753 provide+0.10740740740740741 space+0.12469135802469136 may+0.03827160493827161 method+0.22592592592592592 not+0.05185185185185185 if+0.050617283950617285 proposed+0.2 known+0.11481481481481481 system+0.2037037037037037 problem+0.19135802469135801 then+0.07160493827160494 there+0.09012345679012346 demonstrate+0.13209876543209875 many+0.09259259259259259 paper+0.11234567901234568 single+0.1308641975308642 more+0.043209876543209874 than+0.05555555555555555 time+0.08641975308641975 network+0.12345679012345678 performance+0.1617283950617284 such+0.013580246913580247
