CLASS5: both+0.2184873949579832 but+0.226890756302521 energy+0.23529411764705882 high+0.24369747899159663 how+0.09243697478991597 if+0.20168067226890757 its+0.226890756302521 mass+0.21008403361344538 model+0.5714285714285714 or+0.5378151260504201 show+0.09243697478991597 some+0.17647058823529413 such+0.6134453781512605 theory+0.17647058823529413 through+0.13445378151260504 where+0.2689075630252101 2+0.31092436974789917 3+0.025210084033613446 between+0.35294117647058826 field+0.2857142857142857 given+0.12605042016806722 have+0.36134453781512604 large+0.31932773109243695 many+0.12605042016806722 non+0.06722689075630252 paper+0.2857142857142857 propose+0.15126050420168066 proposed+0.2184873949579832 their+0.07563025210084033 there+0.21008403361344538 they+0.15966386554621848 under+0.14285714285714285 case+0.07563025210084033 different+0.17647058823529413 has+0.25210084033613445 it+0.15126050420168066 only+0.21008403361344538 then+0.05042016806722689 these+0.453781512605042 when+0.29411764705882354 any+0.14285714285714285 into+0.21008403361344538 not+0.2773109243697479 set+0.1092436974789916 state+0.31092436974789917 than+0.04201680672268908 using+0.42857142857142855 here+0.17647058823529413 space+0.17647058823529413 system+0.20168067226890757 1+0.025210084033613446 due+0.21008403361344538 find+0.21008403361344538 low+0.20168067226890757 use+0.2857142857142857 however+0.24369747899159663 well+0.03361344537815126 information+0.16806722689075632 single+0.13445378151260504 analysis+0.19327731092436976 based+0.01680672268907563 data+0.29411764705882354 demonstrate+0.04201680672268908 may+0.11764705882352941 most+0.17647058823529413 number+0.12605042016806722 present+0.2689075630252101 systems+0.23529411764705882 used+0.23529411764705882 network+0.15126050420168066 over+0.13445378151260504 models+0.2184873949579832 new+0.025210084033613446 other+0.19327731092436976 structure+0.13445378151260504 three+0.12605042016806722 performance+0.1092436974789916 approach+0.04201680672268908 each+0.07563025210084033 more+0.10084033613445378 particular+0.05042016806722689 been+0.15966386554621848 first+0.1092436974789916 work+0.10084033613445378 method+0.06722689075630252 while+0.008403361344537815 problem+0.058823529411764705 also+0.03361344537815126 study+0.008403361344537815 provide+0.09243697478991597 properties+0.11764705882352941 time+0.025210084033613446 all+0.058823529411764705 methods+0.008403361344537815 two+0.03361344537815126 one+0.025210084033613446 order+0.01680672268907563 function+0.008403361344537815 results+0.008403361344537815 known+0.008403361344537815
CLASS6: between+0.3193688792165397 demonstrate+0.16666666666666666 each+0.1795429815016322 has+0.3101196953210011 have+0.3636198766775481 into+0.2410228509249184 large+0.29452303228146537 mass+0.1307580703663402 model+0.5754443235400798 most+0.2049328980776206 non+0.19241929633659774 number+0.15832426550598477 order+0.16340224882118246 other+0.2192600652883569 paper+0.3320638375045339 particular+0.13746826260428002 results+0.42709466811751906 such+0.4002538991657599 than+0.23286180631120784 there+0.13674283641639462 these+0.4626405513239028 through+0.14871236851650343 analysis+0.22941603191875226 based+0.3982589771490751 data+0.44541167936162496 if+0.08940877765687341 low+0.18534639100471528 new+0.2676822633297062 or+0.44922016684802324 space+0.16340224882118246 study+0.22016684802321365 they+0.127493652520856 using+0.44214726151614075 well+0.28454842219804133 2+0.020311933260790716 both+0.29397896264055134 but+0.20438882843670655 energy+0.0774392455567646 function+0.1361987667754806 models+0.28726877040261156 more+0.2593398621690243 not+0.2999637286906057 provide+0.1672107363075807 some+0.1441784548422198 two+0.5041712005803409 use+0.20420747188973523 field+0.02013057671381937 its+0.21563293434893 may+0.1461733768589046 one+0.28690605730866886 only+0.19568371418208197 single+0.132208922742111 approach+0.22615161407326803 known+0.10990206746463548 present+0.23957199854914762 proposed+0.225607544432354 system+0.20674646354733406 where+0.20239390642002175 while+0.20620239390642003 work+0.22977874501269496 also+0.0754443235400798 find+0.20402611534276388 high+0.24682626042800146 problem+0.20184983677910773 show+0.38538266231410956 been+0.23340587595212187 many+0.16104461371055495 properties+0.14671744649981863 however+0.235038084874864 propose+0.21835328255350017 time+0.28200943054044253 under+0.12803772216177003 any+0.12187159956474429 first+0.26713819368879216 given+0.1307580703663402 information+0.1779107725788901 structure+0.15796155241204207 3+0.06365614798694233 over+0.18298875589408778 used+0.2800145085237577 when+0.07653246282190787 all+0.21653971708378672 then+0.17500906782734857 different+0.28926369241929634 their+0.13891911498005077 state+0.11062749365252085 it+0.08451215088864708 method+0.22306855277475518 1+0.02085600290170475 how+0.1318462096481683 here+0.1378309756982227 case+0.12821907870874139 three+0.1445411679361625 due+0.0854189336235038 methods+0.20203119332607908 set+0.14526659412404788 systems+0.18480232136380123 network+0.1855277475516866 theory+0.03355096118969895 performance+0.18879216539717084
CLASS7: but+0.1875 different+0.25 information+0.1474056603773585 it+0.5825471698113207 may+0.12382075471698113 model+0.7405660377358491 provide+0.1179245283018868 state+0.3231132075471698 such+0.5047169811320755 these+0.455188679245283 they+0.1214622641509434 through+0.10377358490566038 two+0.44693396226415094 analysis+0.1650943396226415 based+0.357311320754717 data+0.18985849056603774 demonstrate+0.1792452830188679 due+0.17452830188679244 each+0.13561320754716982 energy+0.25 high+0.2205188679245283 non+0.24056603773584906 or+0.4693396226415094 propose+0.18396226415094338 all+0.20754716981132076 mass+0.1544811320754717 not+0.3018867924528302 one+0.08726415094339622 study+0.0589622641509434 their+0.2818396226415094 three+0.10377358490566038 where+0.31839622641509435 also+0.44575471698113206 case+0.11674528301886793 models+0.3113207547169811 more+0.2417452830188679 present+0.20636792452830188 space+0.21108490566037735 structure+0.16273584905660377 order+0.1792452830188679 than+0.20754716981132076 function+0.15330188679245282 have+0.04834905660377359 however+0.1945754716981132 into+0.24056603773584906 low+0.16745283018867924 paper+0.24764150943396226 results+0.08136792452830188 show+0.4209905660377358 some+0.1544811320754717 approach+0.22995283018867924 any+0.11910377358490566 both+0.08372641509433962 first+0.07783018867924528 its+0.06367924528301887 large+0.30306603773584906 number+0.09905660377358491 properties+0.14976415094339623 proposed+0.1957547169811321 system+0.19811320754716982 systems+0.20400943396226415 work+0.17688679245283018 between+0.33372641509433965 field+0.20754716981132076 how+0.14268867924528303 particular+0.13797169811320756 most+0.1544811320754717 only+0.07547169811320754 theory+0.09080188679245282 under+0.14150943396226415 used+0.27358490566037735 using+0.4858490566037736 other+0.07547169811320754 3+0.024764150943396228 known+0.09080188679245282 use+0.16863207547169812 when+0.07900943396226415 method+0.22641509433962265 methods+0.15566037735849056 has+0.05660377358490566 well+0.10731132075471699 while+0.07665094339622641 here+0.14622641509433962 problem+0.17688679245283018 single+0.12028301886792453 over+0.17806603773584906 2+0.020047169811320754 find+0.041273584905660375 new+0.08372641509433962 1+0.008254716981132075 many+0.12853773584905662 time+0.2759433962264151 given+0.13679245283018868 then+0.16981132075471697 there+0.05660377358490566 set+0.12853773584905662 performance+0.1403301886792453 network+0.15330188679245282 if+0.03537735849056604 been+0.007075471698113208
CLASS8: 2+0.3369082439605677 between+0.3280251327050157 both+0.24374390640233995 different+0.23594410139746505 find+0.2477521395298451 have+0.349691257718557 it+0.4883544578052215 model+0.5197703390748565 more+0.24027732640017332 non+0.21926118513703824 one+0.26183512078864696 or+0.37168237460730147 their+0.2646517170404073 while+0.15242118947026323 also+0.4088397790055249 analysis+0.21514462138446538 but+0.2447188820279493 data+0.3723323583577077 here+0.1432130863395082 if+0.11461380132163362 its+0.26443505579027193 known+0.1256635250785397 large+0.3050590401906619 models+0.24027732640017332 set+0.12685516195428448 space+0.1697540894810963 structure+0.1550211244718882 these+0.4540136496587585 three+0.1270718232044199 time+0.27440147329650094 use+0.1877369732423356 using+0.43278084714548803 well+0.27158487704474055 where+0.23128588451955367 3+0.21146138013216337 all+0.11439714007149822 approach+0.17636225761022642 been+0.2265193370165746 first+0.21926118513703824 has+0.31935868269959916 however+0.21146138013216337 information+0.12631350882894593 into+0.0847145488029466 many+0.12198028382623768 method+0.18307875636442422 new+0.25381865453363667 not+0.3325750189578594 only+0.21817787888636117 order+0.1847037157404398 other+0.1922868594951793 problem+0.15837937384898712 some+0.1486296175928935 state+0.24092731015057958 1+0.4253060340158163 case+0.13942151446213844 energy+0.23182753764489222 given+0.1223052757014408 how+0.11493879319683675 present+0.24536886577835554 provide+0.15534611634709133 under+0.11656375257285234 low+0.1940201494962626 mass+0.1368215794605135 than+0.25891019391181885 two+0.09305600693316 any+0.11602209944751381 field+0.21904452388690282 high+0.26876828079298015 may+0.1158054381973784 over+0.1829704257393565 results+0.38619867836637417 work+0.20831979200519987 paper+0.24526053515328783 single+0.05286534503304084 most+0.18947026324341892 used+0.13422164445888854 they+0.12913010508070633 number+0.19499512512187195 based+0.32488354457805224 properties+0.15902935759939335 methods+0.1432130863395082 show+0.10161412631350883 study+0.24569385765355867 theory+0.16076264760047665 through+0.14072148196295092 systems+0.158054381973784 due+0.17495395948434622 function+0.14895460946809663 when+0.21330300075831438 propose+0.13660491821037807 then+0.10074748131296718 proposed+0.15512945509695591 particular+0.09381432130863394 performance+0.11808038132380023 such+0.10388906943993066 there+0.07745639692341025 each+0.1481962950926227 demonstrate+0.12317192070198245 system+0.1810204744881378 network+0.11558877694724298
CLASS9: 3+0.12965425531914893 all+0.22539893617021275 also+0.4541223404255319 data+0.35438829787234044 method+0.20412234042553193 not+0.2765957446808511 propose+0.15425531914893617 results+0.49933510638297873 state+0.269281914893617 these+0.4940159574468085 three+0.11236702127659574 two+0.47938829787234044 used+0.22007978723404256 using+0.4148936170212766 well+0.27992021276595747 find+0.041223404255319146 first+0.2666223404255319 mass+0.12632978723404256 then+0.17819148936170212 theory+0.18550531914893617 analysis+0.19614361702127658 any+0.13031914893617022 but+0.1761968085106383 energy+0.22739361702127658 has+0.3098404255319149 high+0.3011968085106383 its+0.2526595744680851 known+0.1276595744680851 low+0.1901595744680851 other+0.16821808510638298 provide+0.18085106382978725 demonstrate+0.14295212765957446 field+0.22074468085106383 how+0.12034574468085106 large+0.2945478723404255 models+0.13430851063829788 paper+0.28324468085106386 single+0.12101063829787234 space+0.2074468085106383 study+0.25398936170212766 such+0.4009308510638298 due+0.17154255319148937 however+0.16422872340425532 number+0.23470744680851063 particular+0.14694148936170212 present+0.2599734042553192 where+0.394281914893617 based+0.3304521276595745 network+0.10305851063829788 over+0.20079787234042554 properties+0.1595744680851064 set+0.1735372340425532 show+0.47007978723404253 through+0.13497340425531915 use+0.16954787234042554 more+0.0625 some+0.1841755319148936 than+0.19148936170212766 while+0.11037234042553191 1+0.4660904255319149 2+0.11303191489361702 function+0.15159574468085107 model+0.07845744680851063 work+0.11702127659574468 have+0.07313829787234043 it+0.045877659574468085 may+0.13364361702127658 there+0.1589095744680851 each+0.16156914893617022 into+0.2047872340425532 many+0.11369680851063829 one+0.08643617021276596 order+0.18218085106382978 system+0.22340425531914893 case+0.15625 non+0.04521276595744681 only+0.21742021276595744 they+0.10837765957446809 under+0.14694148936170212 been+0.13962765957446807 different+0.07247340425531915 information+0.12433510638297872 time+0.2785904255319149 here+0.14893617021276595 most+0.15425531914893617 new+0.2566489361702128 structure+0.15757978723404256 their+0.08643617021276596 approach+0.16289893617021275 both+0.0797872340425532 when+0.22872340425531915 or+0.0511968085106383 if+0.11502659574468085 systems+0.13497340425531915 proposed+0.15691489361702127 problem+0.1875 given+0.1422872340425532 performance+0.12566489361702127 methods+0.12699468085106383 between+0.05452127659574468
CLASS16: 1+0.6859710434348477 2+0.5596605092361457 3+0.291063404892661 but+0.24862705941088367 given+0.21018472291562657 it+0.5536694957563655 large+0.28107838242636046 or+0.3050424363454818 particular+0.15327009485771342 some+0.2276585122316525 state+0.19221168247628556 two+0.4872690963554668 well+0.14378432351472792 all+0.33899151273090367 both+0.2216674987518722 demonstrate+0.029955067398901646 field+0.21168247628557163 find+0.21168247628557163 how+0.10933599600599102 however+0.1527708437343984 into+0.17523714428357465 low+0.12031952071892162 mass+0.19620569146280578 may+0.14428357463804292 models+0.12631053419870195 paper+0.2860708936595107 problem+0.2091862206689965 results+0.3729405891163255 show+0.5132301547678483 space+0.19570644033949075 energy+0.09785322016974538 function+0.1672491263105342 many+0.11183225162256615 non+0.08736894658012981 number+0.25162256615077383 only+0.25761357963055415 single+0.11732401397903146 system+0.16674987518721918 theory+0.1907139291063405 time+0.2895656515227159 while+0.21917124313529707 between+0.3434847728407389 have+0.32800798801797304 model+0.09435846230654019 most+0.20119820269595606 order+0.20868696954568147 over+0.18222666000998503 there+0.23115327009485773 used+0.1692461308037943 also+0.4338492261607589 analysis+0.036445332001997004 information+0.08886669995007489 more+0.2236645032451323 not+0.4033949076385422 than+0.25012481278082876 their+0.2835746380429356 any+0.21417873190214679 data+0.03394907638542187 here+0.1707438841737394 its+0.26859710434348477 such+0.127309036445332 where+0.510234648027958 been+0.18522216674987518 has+0.3574638042935597 if+0.2950574138791812 new+0.20668996505242138 present+0.21018472291562657 three+0.12231652521218173 case+0.22965551672491263 high+0.07338991512730904 structure+0.15177234148776836 then+0.20569146280579131 work+0.1308037943085372 approach+0.09785322016974538 first+0.25961058412381427 one+0.3844233649525711 use+0.14078881677483773 properties+0.14028956565152273 systems+0.10933599600599102 these+0.13330004992511232 other+0.200199700449326 they+0.12581128307538691 under+0.13479780329505742 known+0.17723414877683474 method+0.07588617074388418 study+0.254618072890664 provide+0.13729405891163254 set+0.17423864203694459 when+0.24663005491762358 different+0.06290564153769346 proposed+0.06490264603095357 each+0.1053419870194708 based+0.03394907638542187 using+0.04193709435846231 through+0.05292061907139291 due+0.03544682975536695 methods+0.0454318522216675 propose+0.018971542685971045 network+0.05941088367448827 performance+0.0454318522216675
CLASS17: 1+0.5978456014362658 all+0.38420107719928187 also+0.4129263913824057 between+0.33213644524236985 both+0.24236983842010773 but+0.24775583482944344 data+0.3303411131059246 energy+0.27289048473967686 find+0.3608617594254937 method+0.10771992818671454 model+0.5116696588868941 models+0.2710951526032316 not+0.3123877917414722 only+0.1992818671454219 paper+0.1687612208258528 present+0.289048473967684 provide+0.13644524236983843 space+0.13285457809694792 study+0.25493716337522443 these+0.5834829443447038 time+0.1561938958707361 use+0.16696588868940754 used+0.19569120287253142 well+0.2710951526032316 while+0.28186714542190305 any+0.12926391382405744 first+0.21005385996409337 here+0.1561938958707361 high+0.27827648114901254 large+0.31597845601436264 or+0.4129263913824057 order+0.1490125673249551 results+0.42190305206463197 their+0.3464991023339318 there+0.15439856373429084 when+0.19569120287253142 2+0.4991023339317774 different+0.20107719928186715 mass+0.40933572710951527 system+0.12387791741472172 3+0.3087971274685817 field+0.289048473967684 into+0.2639138240574506 new+0.18850987432675045 one+0.2980251346499102 then+0.15978456014362658 theory+0.17594254937163376 through+0.06463195691202872 two+0.118491921005386 have+0.07001795332136446 most+0.1867145421903052 such+0.43087971274685816 approach+0.1059245960502693 known+0.08797127468581688 show+0.11310592459605028 single+0.12746858168761221 structure+0.12567324955116696 function+0.14721723518850988 low+0.22082585278276481 than+0.2998204667863555 however+0.05385996409335727 many+0.10233393177737882 analysis+0.20466786355475763 may+0.11310592459605028 other+0.17773788150807898 some+0.15978456014362658 each+0.12926391382405744 number+0.08617594254937164 they+0.1490125673249551 if+0.14542190305206462 properties+0.19748653500897667 more+0.22980251346499103 systems+0.10771992818671454 three+0.15080789946140036 set+0.12387791741472172 where+0.010771992818671455 non+0.08797127468581688 problem+0.08258527827648116 due+0.05745062836624776 its+0.03770197486535009 it+0.05385996409335727 given+0.118491921005386 work+0.04847396768402154 information+0.08617594254937164 case+0.15080789946140036 how+0.1059245960502693 under+0.07719928186714542 proposed+0.04308797127468582 particular+0.05745062836624776 demonstrate+0.03411131059245961 propose+0.01615798922800718 state+0.03770197486535009 been+0.00718132854578097 has+0.02872531418312388 over+0.06463195691202872 methods+0.06642728904847396 network+0.05026929982046679 performance+0.03231597845601436 using+0.04488330341113106 based+0.019748653500897665
CLASS18: 1+0.6689138576779026 2+0.5355805243445693 3+0.2966292134831461 data+0.3333333333333333 field+0.20749063670411985 function+0.19101123595505617 its+0.22397003745318353 low+0.2254681647940075 mass+0.2531835205992509 non+0.27640449438202247 number+0.20973782771535582 problem+0.19325842696629214 results+0.41722846441947564 study+0.2554307116104869 their+0.23670411985018727 theory+0.15131086142322098 three+0.11235955056179775 using+0.46367041198501874 analysis+0.20074906367041198 been+0.17677902621722846 energy+0.2157303370786517 has+0.2883895131086142 large+0.27640449438202247 models+0.13183520599250936 more+0.22621722846441947 new+0.21722846441947566 one+0.2546816479400749 such+0.08913857677902622 than+0.2898876404494382 through+0.07191011235955057 also+0.41123595505617977 case+0.17752808988764046 only+0.1805243445692884 or+0.40973782771535583 particular+0.1647940074906367 present+0.25617977528089886 system+0.15205992509363295 where+0.41273408239700377 work+0.10337078651685393 find+0.2711610486891386 have+0.35655430711610486 into+0.19101123595505617 known+0.10936329588014981 space+0.1662921348314607 all+0.30112359550561796 approach+0.12659176029962546 based+0.32134831460674157 high+0.30262172284644195 paper+0.25617977528089886 show+0.5430711610486891 used+0.23220973782771537 well+0.06142322097378277 between+0.2966292134831461 model+0.06591760299625468 time+0.27640449438202247 under+0.11310861423220973 due+0.15880149812734082 however+0.16179775280898875 use+0.18202247191011237 both+0.22621722846441947 demonstrate+0.08314606741573034 if+0.15205992509363295 it+0.033707865168539325 may+0.08464419475655431 there+0.16179775280898875 first+0.2389513108614232 order+0.20524344569288389 provide+0.062172284644194754 two+0.0651685393258427 most+0.20449438202247192 single+0.15280898876404495 when+0.21123595505617979 other+0.15655430711610488 some+0.17303370786516853 then+0.19625468164794008 while+0.03146067415730337 they+0.04644194756554307 given+0.14681647940074907 how+0.08689138576779026 not+0.2786516853932584 method+0.16329588014981272 structure+0.1303370786516854 methods+0.10112359550561797 properties+0.13782771535580524 propose+0.10337078651685393 set+0.13632958801498127 these+0.11385767790262172 over+0.19550561797752808 any+0.18277153558052434 many+0.08014981273408239 here+0.11535580524344569 proposed+0.10861423220973783 different+0.06741573033707865 systems+0.11610486891385768 information+0.04644194756554307 performance+0.09213483146067415 but+0.06741573033707865 each+0.17303370786516853 state+0.03895131086142322 network+0.05393258426966292
CLASS19: analysis+0.19610507246376813 energy+0.21240942028985507 field+0.21444746376811594 find+0.2056159420289855 large+0.12364130434782608 low+0.16644021739130435 mass+0.1453804347826087 model+0.5464221014492754 non+0.223731884057971 not+0.2513586956521739 order+0.18455615942028986 properties+0.16281702898550723 set+0.12567934782608695 show+0.448143115942029 structure+0.15625 such+0.4071557971014493 theory+0.19610507246376813 all+0.20244565217391305 approach+0.1933876811594203 based+0.35122282608695654 been+0.23120471014492755 between+0.32472826086956524 but+0.10144927536231885 different+0.2509057971014493 have+0.3423913043478261 high+0.250679347826087 however+0.2212409420289855 its+0.23143115942028986 present+0.22214673913043478 single+0.13451086956521738 space+0.1465126811594203 study+0.24682971014492755 their+0.3125 using+0.4209692028985507 also+0.42595108695652173 data+0.3530344202898551 each+0.16281702898550723 if+0.09171195652173914 may+0.15217391304347827 number+0.1850090579710145 one+0.24569746376811594 results+0.421195652173913 state+0.11163949275362318 there+0.11503623188405797 used+0.26856884057971014 due+0.19089673913043478 function+0.1490036231884058 models+0.25430253623188404 new+0.2538496376811594 three+0.1129981884057971 work+0.14741847826086957 particular+0.07721920289855072 these+0.43432971014492755 they+0.12341485507246377 first+0.22780797101449277 more+0.23120471014492755 most+0.1610054347826087 over+0.17504528985507245 time+0.2817028985507246 use+0.19451992753623187 into+0.23256340579710144 known+0.0926177536231884 other+0.1827445652173913 provide+0.17323369565217392 two+0.06544384057971014 has+0.2864583333333333 where+0.2774003623188406 paper+0.29506340579710144 under+0.12228260869565218 any+0.0926177536231884 both+0.26788949275362317 here+0.16055253623188406 it+0.09533514492753623 some+0.057065217391304345 then+0.17323369565217392 through+0.14583333333333334 method+0.19180253623188406 than+0.21557971014492755 how+0.13722826086956522 well+0.09646739130434782 or+0.04053442028985507 proposed+0.19678442028985507 many+0.13903985507246377 only+0.17730978260869565 when+0.223731884057971 propose+0.18885869565217392 demonstrate+0.14968297101449277 methods+0.1381340579710145 1+0.017889492753623188 case+0.11707427536231885 system+0.19701086956521738 while+0.0636322463768116 information+0.1560235507246377 2+0.018568840579710144 network+0.15896739130434784 performance+0.16485507246376813 3+0.019021739130434784 systems+0.17119565217391305 problem+0.16983695652173914 given+0.06182065217391304
CLASS2: 2+0.16373333333333334 also+0.4421333333333333 been+0.24266666666666667 between+0.30133333333333334 data+0.09653333333333333 due+0.1584 field+0.16426666666666667 first+0.24906666666666666 function+0.17013333333333333 has+0.344 have+0.3290666666666667 it+0.5093333333333333 large+0.22986666666666666 mass+0.0944 model+0.0816 models+0.13013333333333332 one+0.3274666666666667 only+0.23786666666666667 proposed+0.19786666666666666 single+0.1248 some+0.1744 structure+0.16373333333333334 such+0.4474666666666667 theory+0.24106666666666668 two+0.4096 using+0.36906666666666665 well+0.2544 all+0.24693333333333334 any+0.14826666666666666 given+0.14133333333333334 here+0.17013333333333333 most+0.1808 new+0.2826666666666667 non+0.256 number+0.20853333333333332 or+0.39253333333333335 other+0.21013333333333334 set+0.13653333333333334 into+0.21386666666666668 over+0.19253333333333333 provide+0.1728 results+0.40213333333333334 state+0.04 study+0.22826666666666667 under+0.16853333333333334 use+0.17866666666666667 work+0.2464 may+0.16373333333333334 particular+0.15946666666666667 show+0.4325333333333333 but+0.2432 demonstrate+0.1344 how+0.1248 order+0.17493333333333333 there+0.1824 through+0.1168 when+0.2384 case+0.18186666666666668 its+0.0912 known+0.14453333333333335 not+0.3642666666666667 present+0.048 system+0.18613333333333335 their+0.2608 three+0.09866666666666667 space+0.0656 used+0.23946666666666666 where+0.40426666666666666 both+0.2368 properties+0.12693333333333334 time+0.04426666666666667 propose+0.17066666666666666 if+0.08 method+0.13013333333333332 1+0.06186666666666667 different+0.23946666666666666 approach+0.152 more+0.24 problem+0.22773333333333334 than+0.2224 however+0.2032 low+0.11786666666666666 paper+0.336 then+0.1968 energy+0.018666666666666668 many+0.1456 based+0.30506666666666665 information+0.168 each+0.1936 high+0.015466666666666667 analysis+0.1712 3+0.016 methods+0.1248 systems+0.1856 they+0.056 network+0.1328 while+0.032 performance+0.14826666666666666 find+0.004266666666666667 these+0.0016
CLASS3: 1+0.6159527326440177 2+0.45420974889217136 3+0.25997045790251105 all+0.2695716395864106 analysis+0.1602658788774003 any+0.1307237813884786 both+0.2326440177252585 high+0.27695716395864106 it+0.5007385524372231 large+0.2725258493353028 mass+0.259231905465288 model+0.05096011816838995 more+0.22451994091580502 most+0.1935007385524372 not+0.2636632200886263 particular+0.14623338257016247 proposed+0.1085672082717873 space+0.21122599704579026 state+0.05096011816838995 study+0.25258493353028066 these+0.4859675036927622 two+0.465288035450517 well+0.23042836041358936 but+0.16986706056129985 case+0.16322008862629248 different+0.22821270310192024 first+0.23412112259970458 non+0.22156573116691286 single+0.14771048744460857 such+0.4224519940915805 theory+0.21935007385524372 energy+0.09084194977843427 find+0.23855243722304284 or+0.41432791728212703 other+0.17872968980797638 propose+0.11152141802067947 while+0.1447562776957164 field+0.2466765140324963 how+0.086410635155096 into+0.1883308714918759 new+0.22525849335302806 one+0.10709010339734121 only+0.17208271787296897 structure+0.16174298375184637 there+0.09748892171344166 where+0.33899556868537667 been+0.138109305760709 function+0.15214180206794684 has+0.26440177252584934 if+0.08345642540620384 may+0.0827178729689808 order+0.18980797636632202 paper+0.23042836041358936 present+0.23485967503692762 problem+0.1499261447562777 some+0.14697193500738553 have+0.1255539143279173 here+0.1587887740029542 properties+0.15214180206794684 systems+0.15435745937961595 than+0.2673559822747415 also+0.03914327917282127 approach+0.13884785819793205 due+0.14918759231905465 known+0.12259970457902511 their+0.2813884785819793 they+0.1240768094534712 three+0.1484490398818316 through+0.12186115214180207 use+0.1536189069423929 using+0.38330871491875923 when+0.18168389955686853 given+0.11521418020679468 system+0.19940915805022155 used+0.12629246676514033 then+0.14697193500738553 low+0.18906942392909898 over+0.16469719350073855 its+0.059084194977843424 method+0.15583456425406203 work+0.0930576070901034 show+0.06646971935007386 each+0.08567208271787297 set+0.12333825701624815 based+0.25627769571639586 time+0.2621861152141802 models+0.13663220088626293 demonstrate+0.08714918759231906 under+0.1085672082717873 many+0.11669128508124077 however+0.15805022156573117 number+0.07607090103397342 between+0.04579025110782865 provide+0.10044313146233383 data+0.060561299852289516 results+0.04062038404726736 methods+0.09896602658788774 information+0.11521418020679468 network+0.06351550960118169 performance+0.0827178729689808
