CLASS4: 1+0.534965034965035 3+0.15967365967365968 all+0.2913752913752914 also+0.42074592074592077 approach+0.13752913752913754 based+0.2913752913752914 function+0.12237762237762238 how+0.11421911421911422 it+0.6095571095571095 known+0.17832167832167833 methods+0.11305361305361306 new+0.2773892773892774 non+0.18997668997668998 one+0.32517482517482516 order+0.19813519813519814 particular+0.19463869463869463 results+0.42424242424242425 show+0.43123543123543123 study+0.24708624708624707 but+0.04312354312354312 case+0.20862470862470864 energy+0.05827505827505827 find+0.16666666666666666 high+0.16083916083916083 its+0.30303030303030304 low+0.12354312354312354 such+0.47202797202797203 than+0.20163170163170163 these+0.4825174825174825 time+0.2703962703962704 2+0.19463869463869463 between+0.0337995337995338 each+0.21794871794871795 if+0.20279720279720279 may+0.12354312354312354 model+0.046620046620046623 number+0.22144522144522144 other+0.16317016317016317 space+0.2097902097902098 structure+0.1445221445221445 there+0.2097902097902098 through+0.13286713286713286 under+0.14219114219114218 where+0.4289044289044289 been+0.23776223776223776 different+0.22843822843822845 due+0.11072261072261072 field+0.21212121212121213 first+0.22494172494172493 has+0.34382284382284384 have+0.337995337995338 however+0.16783216783216784 mass+0.019813519813519812 present+0.20396270396270397 work+0.18298368298368298 data+0.0641025641025641 into+0.1958041958041958 problem+0.2191142191142191 well+0.22377622377622378 theory+0.23776223776223776 analysis+0.1585081585081585 any+0.17365967365967366 given+0.20163170163170163 properties+0.15384615384615385 single+0.09324009324009325 systems+0.18997668997668998 then+0.20279720279720279 not+0.05827505827505827 only+0.15967365967365968 they+0.11421911421911422 when+0.22494172494172493 models+0.008158508158508158 method+0.14219114219114218 system+0.1864801864801865 over+0.20745920745920746 their+0.24125874125874125 using+0.029137529137529136 use+0.0780885780885781 while+0.1864801864801865 here+0.15034965034965034 proposed+0.14335664335664336 some+0.14685314685314685 provide+0.0944055944055944 paper+0.27972027972027974 demonstrate+0.10722610722610723 information+0.1048951048951049 state+0.17832167832167833 used+0.054778554778554776 many+0.10839160839160839 set+0.18298368298368298 propose+0.1048951048951049 more+0.06293706293706294 network+0.08041958041958042 large+0.026806526806526808 both+0.027972027972027972 three+0.10722610722610723 or+0.0337995337995338 performance+0.10139860139860139 most+0.07692307692307693 two+0.006993006993006993
CLASS5: both+0.22660098522167488 but+0.2019704433497537 energy+0.2832512315270936 high+0.3251231527093596 how+0.07142857142857142 if+0.1206896551724138 its+0.3103448275862069 mass+0.23645320197044334 model+0.7044334975369458 or+0.43349753694581283 show+0.09113300492610837 some+0.15270935960591134 such+0.3842364532019704 theory+0.1625615763546798 through+0.14532019704433496 where+0.3275862068965517 2+0.35960591133004927 3+0.10837438423645321 between+0.3866995073891626 field+0.2536945812807882 given+0.09852216748768473 have+0.3669950738916256 large+0.24876847290640394 many+0.11330049261083744 non+0.03694581280788178 paper+0.22167487684729065 propose+0.1354679802955665 proposed+0.1330049261083744 their+0.3226600985221675 there+0.11576354679802955 they+0.14039408866995073 under+0.10837438423645321 all+0.0665024630541872 been+0.1921182266009852 models+0.22167487684729065 present+0.27832512315270935 state+0.2857142857142857 well+0.2832512315270936 when+0.2733990147783251 approach+0.04187192118226601 case+0.1354679802955665 due+0.1896551724137931 each+0.15270935960591134 find+0.22413793103448276 number+0.18719211822660098 only+0.2019704433497537 order+0.06896551724137931 time+0.30295566502463056 two+0.07142857142857142 using+0.42857142857142855 work+0.13054187192118227 not+0.229064039408867 one+0.04433497536945813 particular+0.07881773399014778 structure+0.1354679802955665 here+0.13793103448275862 space+0.1921182266009852 system+0.2019704433497537 1+0.1625615763546798 any+0.1354679802955665 has+0.2438423645320197 into+0.1921182266009852 low+0.1748768472906404 use+0.2044334975369458 data+0.35467980295566504 problem+0.1354679802955665 demonstrate+0.10344827586206896 first+0.2438423645320197 may+0.1724137931034483 most+0.13054187192118227 other+0.1477832512315271 than+0.06157635467980296 then+0.1477832512315271 analysis+0.18719211822660098 information+0.10344827586206896 more+0.1896551724137931 provide+0.11330049261083744 systems+0.16009852216748768 used+0.18472906403940886 while+0.06157635467980296 different+0.1921182266009852 also+0.07142857142857142 however+0.2019704433497537 new+0.027093596059113302 three+0.11576354679802955 single+0.08620689655172414 results+0.019704433497536946 based+0.05172413793103448 properties+0.13793103448275862 it+0.07142857142857142 method+0.13054187192118227 set+0.09852216748768473 network+0.12807881773399016 function+0.05665024630541872 performance+0.09359605911330049 over+0.15024630541871922 methods+0.04433497536945813 known+0.05172413793103448 study+0.03694581280788178 these+0.046798029556650245
CLASS6: analysis+0.21879699248120302 based+0.3994987468671679 data+0.43972431077694235 demonstrate+0.16528822055137846 different+0.2789473684210526 due+0.08320802005012531 each+0.187593984962406 energy+0.07293233082706767 high+0.2462406015037594 model+0.6101503759398497 non+0.200125313283208 or+0.443734335839599 propose+0.22180451127819548 such+0.37393483709273184 these+0.47042606516290725 through+0.1506265664160401 between+0.3276942355889724 has+0.32030075187969925 have+0.3645363408521303 into+0.21716791979949876 large+0.26378446115288223 mass+0.1261904761904762 most+0.19661654135338347 number+0.15413533834586465 order+0.1713032581453634 other+0.21553884711779447 paper+0.32343358395989974 particular+0.131203007518797 results+0.4334586466165414 than+0.24147869674185463 there+0.13032581453634084 if+0.09824561403508772 low+0.168671679197995 new+0.27844611528822055 space+0.1600250626566416 study+0.22142857142857142 they+0.12982456140350876 using+0.4406015037593985 well+0.2807017543859649 2+0.0443609022556391 both+0.3051378446115288 but+0.21152882205513784 function+0.1418546365914787 models+0.2774436090225564 more+0.2636591478696742 not+0.29210526315789476 provide+0.16967418546365914 some+0.1368421052631579 two+0.48909774436090225 use+0.21015037593984962 field+0.038972431077694235 its+0.23784461152882205 may+0.13383458646616542 one+0.306265664160401 only+0.21453634085213033 single+0.12669172932330827 approach+0.22293233082706768 known+0.11315789473684211 present+0.23771929824561402 proposed+0.22167919799498748 system+0.21265664160401002 where+0.16892230576441103 while+0.243734335839599 work+0.2362155388471178 also+0.12117794486215538 been+0.23784461152882205 first+0.2786967418546366 it+0.12343358395989974 show+0.36215538847117795 structure+0.1593984962406015 1+0.06441102756892231 all+0.21090225563909776 case+0.13007518796992482 find+0.2051378446115288 over+0.18283208020050126 set+0.1493734335839599 time+0.30162907268170425 when+0.1355889724310777 problem+0.20789473684210527 many+0.1537593984962406 properties+0.14586466165413534 however+0.22982456140350876 under+0.12794486215538847 any+0.12042606516290727 systems+0.1931077694235589 given+0.12092731829573934 information+0.17656641604010026 3+0.07506265664160401 used+0.2513784461152882 then+0.16817042606516291 their+0.1362155388471178 state+0.13784461152882205 method+0.23483709273182957 how+0.12982456140350876 here+0.13295739348370927 three+0.1418546365914787 methods+0.1993734335839599 network+0.18571428571428572 theory+0.04974937343358396 performance+0.18847117794486215
CLASS7: but+0.19660014781966 different+0.2261640798226164 information+0.1426459719142646 it+0.6319290465631929 may+0.13821138211382114 model+0.7664449371766445 provide+0.12490761271249076 state+0.31263858093126384 such+0.3924611973392461 these+0.45602365114560234 they+0.11677753141167775 through+0.11160384331116038 two+0.4530672579453067 all+0.19881744271988175 data+0.11012564671101256 high+0.19955654101995565 mass+0.15077605321507762 non+0.24242424242424243 not+0.30524759793052475 one+0.11529933481152993 study+0.08721359940872137 their+0.2535107169253511 three+0.11456023651145603 where+0.3976348854397635 2+0.04730229120473023 also+0.49815225424981524 analysis+0.16186252771618626 any+0.12638580931263857 approach+0.2254249815225425 between+0.3828529194382853 field+0.22320768662232077 here+0.15151515151515152 into+0.20694752402069475 models+0.27420546932742057 new+0.090169992609017 present+0.22025129342202512 problem+0.188470066518847 propose+0.17590539541759054 space+0.22025129342202512 theory+0.13008130081300814 based+0.3466371027346637 energy+0.24907612712490762 have+0.058388765705838876 known+0.08795269770879527 low+0.1581670362158167 other+0.07834441980783444 properties+0.1574279379157428 used+0.22394678492239467 using+0.4759793052475979 given+0.15151515151515152 or+0.4441980783444198 over+0.19290465631929046 show+0.3946784922394678 then+0.17442719881744273 time+0.34220251293422027 first+0.11751662971175167 how+0.1419068736141907 method+0.21359940872135993 system+0.21359940872135993 case+0.1352549889135255 more+0.25277161862527714 structure+0.15077605321507762 paper+0.2535107169253511 use+0.16851441241685144 1+0.057649667405764965 both+0.07908351810790835 only+0.10790835181079084 than+0.21877309682187732 under+0.14634146341463414 find+0.051736881005173686 function+0.1574279379157428 however+0.18699186991869918 order+0.1714708056171471 has+0.09386548410938655 its+0.09312638580931264 large+0.2764227642276423 some+0.1271249076127125 when+0.13821138211382114 each+0.15521064301552107 results+0.09238728750923873 due+0.17960088691796008 particular+0.1359940872135994 work+0.16777531411677754 if+0.057649667405764965 many+0.1286031042128603 single+0.11456023651145603 most+0.15668883961566887 while+0.1271249076127125 proposed+0.18477457501847747 methods+0.1419068736141907 systems+0.21507760532150777 demonstrate+0.16038433111603842 well+0.09903917220990392 number+0.1049519586104952 3+0.028824833702882482 there+0.06356245380635625 set+0.13968957871396895 performance+0.1278640059127864 network+0.14781966001478197 been+0.019216555801921657
CLASS8: 2+0.18245264207377868 between+0.3293452974410103 both+0.2662013958125623 different+0.27085410435360585 find+0.1914257228315055 have+0.3516118311731472 it+0.6596876038551014 model+0.6839481555333998 more+0.23363243602525757 non+0.21136590229312063 one+0.29411764705882354 or+0.39980059820538383 their+0.28481222997673644 while+0.3233632436025258 1+0.14124293785310735 all+0.22399468261881023 case+0.14589564639415087 energy+0.20505151213027584 given+0.12695247590561648 how+0.1309405117979395 however+0.25822532402791626 large+0.3084081090063144 models+0.2705217680292456 not+0.33366566965769356 only+0.11332668660684612 other+0.2040545031571951 present+0.19541375872382852 provide+0.14822200066467264 set+0.0897308075772682 space+0.13891658358258557 under+0.1345962113659023 due+0.18477899634430042 field+0.07809903622465936 mass+0.08241940844134264 may+0.16051844466600199 most+0.1997341309405118 results+0.3944832170156198 state+0.2794948487869724 study+0.23961448986374212 system+0.18976404120970422 there+0.13559322033898305 when+0.2944499833831838 data+0.42206713193752077 first+0.07809903622465936 has+0.33665669657693587 high+0.28148886673313395 order+0.17912927883017613 these+0.08873379860418744 three+0.10269192422731804 use+0.17746759720837488 well+0.2914589564639415 work+0.2047191758059156 but+0.20106347623795282 its+0.12994350282485875 low+0.1744765702891326 new+0.09637753406447325 problem+0.20571618477899634 show+0.384180790960452 structure+0.1575274177467597 such+0.422399468261881 theory+0.08507809903622465 through+0.1465603190428714 3+0.08640744433366566 properties+0.12097042206713193 than+0.25955466932535726 analysis+0.2130275839149219 approach+0.18743768693918245 into+0.20837487537387836 particular+0.1478896643403124 time+0.12529079428381523 also+0.11897640412097042 information+0.1688268527750083 single+0.11598537720172815 where+0.352608840146228 based+0.36390827517447655 if+0.12495845795945497 paper+0.3153871718178797 been+0.2549019607843137 many+0.10468594217347957 proposed+0.22166832834828848 function+0.1465603190428714 over+0.18544366899302095 used+0.21967431040212695 then+0.14888667331339314 demonstrate+0.1415752741774676 each+0.1738118976404121 propose+0.19474908607510802 two+0.0707876370887338 using+0.08640744433366566 number+0.23363243602525757 known+0.1100033233632436 any+0.12296444001329346 they+0.1345962113659023 here+0.13293452974410103 some+0.15387171817879694 network+0.17480890661349285 performance+0.18411432369557992 methods+0.14888667331339314 method+0.08673978065802593 systems+0.10103024260551678
CLASS9: 1+0.5099909173478656 3+0.16575840145322435 approach+0.17302452316076294 data+0.4064486830154405 energy+0.23478655767484105 find+0.0522252497729337 high+0.2924613987284287 if+0.11398728428701181 its+0.25522252497729336 method+0.19981834695731154 model+0.13215258855585832 present+0.2511353315168029 space+0.2111716621253406 state+0.26067211625794734 these+0.4818346957311535 they+0.11262488646684832 time+0.2888283378746594 2+0.2125340599455041 also+0.48319709355131696 field+0.20708446866485014 first+0.25885558583106266 many+0.12352406902815623 mass+0.12352406902815623 new+0.27111716621253407 only+0.2184377838328792 set+0.1530426884650318 systems+0.13669391462306993 theory+0.19936421435059037 two+0.45958219800181654 using+0.42915531335149865 work+0.14350590372388738 all+0.21662125340599456 not+0.276566757493188 propose+0.15985467756584923 results+0.4786557674841054 three+0.12806539509536785 used+0.2125340599455041 well+0.2924613987284287 then+0.15349682107175294 analysis+0.20799273387829245 any+0.12851952770208902 but+0.19255222524977295 has+0.3106267029972752 known+0.13533151680290645 low+0.18619436875567666 other+0.17438692098092642 provide+0.18664850136239783 demonstrate+0.13260672116257946 how+0.11489554950045414 large+0.273841961852861 models+0.14350590372388738 paper+0.273841961852861 single+0.10990009082652134 study+0.24341507720254316 such+0.37783832879200724 due+0.1639418710263397 however+0.15849227974568575 number+0.2393278837420527 particular+0.13396911898274297 where+0.354677565849228 based+0.3469573115349682 function+0.1503178928247048 structure+0.1566757493188011 network+0.10853769300635786 over+0.18755676657584014 properties+0.14486830154405086 show+0.4232515894641235 through+0.14168937329700274 use+0.16712079927338783 information+0.13805631244323344 it+0.06085376930063579 some+0.16530426884650318 than+0.19754768392370572 more+0.07538601271571299 while+0.14032697547683923 may+0.12851952770208902 methods+0.1362397820163488 proposed+0.1639418710263397 order+0.18664850136239783 been+0.14168937329700274 there+0.13805631244323344 system+0.20572207084468666 case+0.13760217983651227 one+0.10762942779291552 into+0.17938237965485923 each+0.16621253405994552 non+0.062216167120799276 under+0.13578564940962762 different+0.06039963669391462 when+0.23841961852861035 here+0.13169845594913715 most+0.14713896457765668 their+0.07856494096276112 both+0.07584014532243415 between+0.05858310626702997 or+0.049954586739327886 given+0.12670299727520437 have+0.08446866485013624 problem+0.18483197093551318 performance+0.13487738419618528
CLASS16: 1+0.6900606980273141 2+0.5569044006069803 3+0.26669195751138086 been+0.19347496206373294 both+0.22154779969650987 data+0.054628224582701064 find+0.21396054628224584 first+0.2727617602427921 has+0.37670713201820943 have+0.328907435508346 if+0.2742792109256449 its+0.2943854324734446 new+0.2279969650986343 number+0.25986342943854324 one+0.3952959028831563 only+0.26783004552352047 other+0.20257966616084977 results+0.37556904400606983 study+0.2746585735963581 theory+0.22230652503793627 there+0.2071320182094082 through+0.05955993930197269 well+0.24317147192716237 when+0.2526555386949924 while+0.2746585735963581 work+0.1464339908952959 but+0.2701062215477997 given+0.18664643399089528 it+0.6460546282245827 large+0.2469650986342944 or+0.26251896813353565 particular+0.15857359635811835 some+0.2116843702579666 state+0.17564491654021244 two+0.33687405159332323 also+0.46851289833080423 approach+0.11153262518968134 energy+0.09104704097116843 low+0.11342943854324734 mass+0.17261001517450683 model+0.15933232169954475 not+0.3607738998482549 order+0.21320182094081944 than+0.2723823975720789 these+0.11949924127465858 all+0.30690440060698027 between+0.3524279210925645 due+0.06600910470409711 field+0.19499241274658574 how+0.1050834597875569 may+0.1418816388467375 more+0.2268588770864947 paper+0.2928679817905918 present+0.208649468892261 such+0.1286039453717754 then+0.20675265553869498 they+0.13277693474962063 time+0.289453717754173 their+0.22382397572078908 non+0.11001517450682853 properties+0.13846737481031868 space+0.19840667678300455 where+0.4620637329286798 function+0.1676783004552352 many+0.11570561456752655 single+0.09863429438543247 system+0.16881638846737482 known+0.19878603945371776 analysis+0.03945371775417299 over+0.18930197268588772 set+0.16198786039453716 three+0.11646433990895295 based+0.041350531107739 case+0.22610015174506828 however+0.1468133535660091 information+0.07928679817905918 show+0.454855842185129 any+0.2071320182094082 high+0.08004552352048558 different+0.07359635811836115 here+0.1631259484066768 into+0.1627465857359636 structure+0.1422610015174507 most+0.19764795144157815 used+0.1437784522003035 demonstrate+0.03452200303490137 models+0.1058421851289833 use+0.13505311077389984 systems+0.11949924127465858 under+0.14074355083459789 provide+0.1479514415781487 method+0.08118361153262518 problem+0.208649468892261 each+0.11153262518968134 using+0.036418816388467376 performance+0.051593323216995446 methods+0.061077389984825495 propose+0.03414264036418816 proposed+0.07928679817905918 network+0.04666160849772382
CLASS17: 1+0.6574585635359116 all+0.2825572217837411 also+0.4996053670086819 between+0.39068666140489344 both+0.24388318863456984 but+0.27466456195737965 data+0.39384372533543804 energy+0.2517758484609313 find+0.35516969218626676 method+0.11838989739542226 model+0.6235201262825573 models+0.2565114443567482 not+0.31018153117600633 only+0.22888713496448304 paper+0.17995264404104183 present+0.26835043409629045 provide+0.15706393054459353 space+0.1404893449092344 study+0.2565114443567482 these+0.5564325177584846 time+0.18468823993685873 use+0.1420678768745067 used+0.16022099447513813 well+0.2801894238358327 while+0.2691397000789266 any+0.11838989739542226 first+0.21625887924230466 here+0.13180741910023677 high+0.2809786898184688 large+0.2880820836621942 or+0.4230465666929755 order+0.17521704814522493 results+0.4206787687450671 their+0.2943962115232833 there+0.11365430149960537 when+0.23046566692975531 2+0.5548539857932123 different+0.21152328334648776 mass+0.31728492501973166 system+0.1286503551696922 analysis+0.21862667719021311 case+0.14127861089187055 other+0.20126282557221783 through+0.08681925808997633 more+0.2541436464088398 most+0.18389897395422258 propose+0.042620363062352014 single+0.0978689818468824 state+0.06156274664561957 such+0.3228097868981847 3+0.34806629834254144 field+0.24388318863456984 into+0.1681136543014996 new+0.2265193370165746 one+0.2825572217837411 then+0.13575374901341752 theory+0.1633780584056827 two+0.0947119179163378 has+0.06156274664561957 each+0.13338595106550907 how+0.09865824782951854 known+0.11128650355169692 three+0.17363851617995266 using+0.13654301499605367 approach+0.12075769534333071 demonstrate+0.05761641673243883 properties+0.1925808997632202 show+0.07576953433307025 than+0.2975532754538279 have+0.10655090765588003 low+0.22415153906866614 where+0.03946329913180742 if+0.122336227308603 many+0.08760852407261246 may+0.11049723756906077 number+0.10497237569060773 they+0.1420678768745067 function+0.143646408839779 however+0.05998421468034728 based+0.07892659826361484 problem+0.10891870560378848 set+0.12786108918705605 some+0.15548539857932123 work+0.07103393843725335 structure+0.15706393054459353 it+0.13417521704814522 its+0.07813733228097869 under+0.08445146014206788 proposed+0.0718232044198895 systems+0.11838989739542226 given+0.10734017363851618 over+0.08839779005524862 non+0.11049723756906077 particular+0.07576953433307025 due+0.07734806629834254 information+0.08760852407261246 been+0.01973164956590371 methods+0.07103393843725335 network+0.062352012628255724 performance+0.042620363062352014
CLASS18: 1+0.6711465770684586 2+0.5354892902141957 3+0.2927341453170937 data+0.41873162536749264 field+0.19067618647627047 function+0.16631667366652667 its+0.23435531289374212 low+0.2015959680806384 mass+0.2137757244855103 non+0.2650146997060059 number+0.21545569088618227 problem+0.17093658126837463 results+0.40571188576228473 study+0.2599748005039899 their+0.252414951700966 theory+0.15959680806383872 three+0.12305753884922302 using+0.4754304913901722 analysis+0.2015959680806384 been+0.1889962200755985 energy+0.20999580008399832 has+0.30701385972280554 large+0.26795464090718185 models+0.1377572448551029 more+0.2372952540949181 new+0.25493490130197394 one+0.26711465770684584 such+0.08231835363292735 than+0.30785384292314155 through+0.07013859722805543 also+0.43049139017219656 case+0.14405711885762285 only+0.1873162536749265 or+0.40991180176396474 particular+0.11675766484670307 present+0.2708945821083578 system+0.14909701805963882 where+0.3607727845443091 work+0.12809743805123897 all+0.2603947921041579 due+0.18437631247375053 first+0.25955480890382193 single+0.123897522049559 there+0.13145737085258294 two+0.03275934481310374 when+0.21881562368752625 find+0.26543469130617386 have+0.3658126837463251 into+0.14741705165896682 known+0.11759764804703907 space+0.15329693406131878 different+0.07937841243175137 propose+0.1125577488450231 time+0.28349433011339775 given+0.13229735405291895 order+0.19823603527929443 these+0.15581688366232677 used+0.1881562368752625 approach+0.12851742965140697 based+0.3351532969340613 between+0.33179336413271737 model+0.10205795884082318 show+0.39647207055858885 under+0.10289794204115918 if+0.13817723645527089 then+0.16127677446451072 both+0.2381352372952541 may+0.07853842923141537 other+0.16925661486770266 however+0.1738765224695506 it+0.10751784964300715 method+0.16967660646787064 not+0.27635447291054177 state+0.06761864762704746 provide+0.07307853842923141 structure+0.15749685006299874 high+0.3242335153296934 most+0.20201595968080638 some+0.1524569508609828 while+0.08105837883242335 they+0.0503989920201596 use+0.1864762704745905 well+0.0621587568248635 any+0.15791684166316675 information+0.054598908021839566 paper+0.24485510289794205 how+0.08063838723225536 but+0.08147837043259135 many+0.09617807643847123 over+0.1881562368752625 methods+0.11045779084418311 properties+0.14531709365812684 systems+0.12599748005039899 proposed+0.12599748005039899 set+0.13355732885342292 here+0.12011759764804704 demonstrate+0.10163796724065519 each+0.1629567408651827 performance+0.09827803443931121 network+0.07517849643007139
CLASS19: 2+0.05207203297895422 also+0.5205033629854632 analysis+0.20373182903015838 but+0.12193534389238446 data+0.3924929485788674 have+0.37166413538728577 here+0.14862226079409852 if+0.09069212410501193 it+0.19049685398134086 its+0.2558038620091126 known+0.1054458667823823 large+0.17162074202646996 model+0.6702104577999566 models+0.27424604035582556 non+0.22738121067476677 set+0.13712302017791278 space+0.15903666738988934 structure+0.15339553048383597 these+0.47949663701453676 three+0.1162942069863311 time+0.30223475808201344 use+0.20047732696897375 using+0.46257322629637665 well+0.13365155131264916 where+0.3137339986981992 energy+0.23649381644608375 field+0.22673031026252982 find+0.23584291603384683 low+0.1757431113039705 mass+0.1577348665654155 not+0.2594922976784552 order+0.188978086352788 properties+0.1640269038837058 show+0.369060533738338 such+0.360598828379258 theory+0.22043827294423954 all+0.1881102191364721 approach+0.20763723150357996 based+0.37253200260360164 been+0.24755912345411152 between+0.33326101106530703 different+0.2597092644825342 high+0.26448253417227163 however+0.22087220655239748 present+0.2360598828379258 single+0.1154263397700152 study+0.26730310262529833 their+0.3198090692124105 each+0.15795183336949448 may+0.14449989151659795 number+0.19982642655673682 one+0.2694727706660881 results+0.4241701019743979 state+0.15925363419396832 there+0.11520937296593621 used+0.23822955087871556 due+0.20394879583423736 function+0.14949012801041442 new+0.28813191581688 work+0.18268604903449773 3+0.03558255586895205 both+0.27815144282924714 method+0.19895855934042092 methods+0.152961596875678 most+0.1757431113039705 provide+0.17791277934476024 first+0.23844651768279454 has+0.3115643306574094 information+0.15708396615317857 only+0.20047732696897375 paper+0.279453243653721 through+0.15903666738988934 some+0.06682577565632458 systems+0.17812974614883922 two+0.0603167715339553 particular+0.08092861792145802 they+0.12085050987198959 more+0.24907789108266434 over+0.1785636797569972 case+0.12041657626383163 than+0.2223909741809503 when+0.11954870904751573 network+0.15556519852462572 while+0.09937079626817097 into+0.2108917335647646 under+0.1197656758515947 any+0.0963332610110653 other+0.1974397917118681 problem+0.16988500759383815 then+0.1594706009980473 how+0.1395096550227815 or+0.04664786287697982 proposed+0.19331742243436753 many+0.15448036450423086 propose+0.18680841831199826 demonstrate+0.1431980906921241 1+0.06725970926448253 given+0.07268387936645693 system+0.1926665220221306 performance+0.15534823172054676
CLASS2: 2+0.1375176304654443 also+0.4802538787023977 been+0.2644569816643159 between+0.32792665726375175 data+0.231311706629055 due+0.15867418899858957 field+0.19605077574047955 first+0.2545839210155148 function+0.1530324400564175 has+0.35825105782792666 have+0.3533145275035261 it+0.5684062059238364 large+0.22073342736248236 mass+0.1234132581100141 model+0.19746121297602257 models+0.18335684062059238 one+0.31805359661495064 only+0.22849083215796898 proposed+0.19746121297602257 single+0.12693935119887165 some+0.17207334273624825 structure+0.18265162200282087 such+0.4026798307475317 theory+0.3131170662905501 two+0.41607898448519043 using+0.3829337094499295 well+0.18335684062059238 1+0.03737658674188998 analysis+0.1763046544428773 based+0.33568406205923834 both+0.2750352609308886 energy+0.027503526093088856 may+0.14315937940761636 most+0.2016925246826516 number+0.17912552891396333 order+0.1692524682651622 properties+0.17348377997179126 all+0.22143864598025387 any+0.12552891396332863 given+0.12623413258110014 here+0.16854724964739068 new+0.32933709449929477 non+0.23413258110014104 or+0.3723554301833568 other+0.20239774330042312 set+0.1234132581100141 into+0.2009873060648801 over+0.16643159379407615 provide+0.18194640338504936 results+0.3913963328631876 state+0.05007052186177715 study+0.22566995768688294 under+0.153737658674189 use+0.1770098730606488 work+0.1692524682651622 particular+0.16008462623413258 show+0.37729196050775743 but+0.27221438645980256 demonstrate+0.12552891396332863 how+0.13610719322990128 there+0.17842031029619182 through+0.12411847672778561 when+0.23272214386459802 case+0.1530324400564175 its+0.10860366713681241 known+0.1318758815232722 not+0.33638928067700985 present+0.03455571227080395 system+0.18053596614950634 their+0.2849083215796897 three+0.10860366713681241 space+0.05923836389280677 time+0.022566995768688293 used+0.22566995768688294 different+0.27080394922425954 each+0.1473906911142454 however+0.20944992947813823 3+0.009873060648801129 if+0.03737658674188998 more+0.24259520451339917 than+0.2143864598025388 find+0.022566995768688293 low+0.11847672778561354 paper+0.33638928067700985 then+0.15796897038081806 many+0.16572637517630465 information+0.15937940761636107 method+0.08039492242595205 methods+0.1375176304654443 systems+0.18265162200282087 they+0.06629055007052186 propose+0.18124118476727785 where+0.021156558533145273 while+0.0923836389280677 problem+0.17912552891396333 network+0.13610719322990128 approach+0.07334273624823695 performance+0.14950634696755993 high+0.014809590973201692 these+0.004231311706629055
