CLASS19: 1+0.6937119675456389 2+0.5233265720081136 both+0.2738336713995943 case+0.16227180527383367 demonstrate+0.12170385395537525 different+0.2799188640973631 field+0.21703853955375255 first+0.2535496957403651 model+0.056795131845841784 one+0.385395537525355 order+0.2535496957403651 paper+0.2778904665314402 properties+0.15010141987829614 study+0.2231237322515213 through+0.12170385395537525 two+0.7221095334685599 where+0.35496957403651114 3+0.2880324543610548 all+0.2657200811359026 due+0.13793103448275862 mass+0.1643002028397566 non+0.1845841784989858 or+0.4543610547667343 results+0.35699797160243407 single+0.16227180527383367 than+0.2332657200811359 there+0.1926977687626775 when+0.20689655172413793 find+0.23935091277890466 given+0.13184584178498987 information+0.0973630831643002 present+0.16835699797160245 provide+0.12981744421906694 show+0.4158215010141988 their+0.2616632860040568 theory+0.1947261663286004 been+0.0973630831643002 has+0.24543610547667344 number+0.19878296146044624 however+0.13793103448275862 method+0.15415821501014199 most+0.19066937119675456 some+0.10953346855983773 use+0.0486815415821501 between+0.4178498985801217 but+0.06896551724137931 energy+0.20081135902636918 low+0.1643002028397566 each+0.20081135902636918 if+0.11561866125760649 it+0.05070993914807302 known+0.05070993914807302 many+0.0872210953346856 then+0.1744421906693712 only+0.19878296146044624 such+0.40162271805273836 while+0.3103448275862069 more+0.19878296146044624 proposed+0.13793103448275862 using+0.05476673427991886 any+0.17647058823529413 into+0.21095334685598377 system+0.20081135902636918 three+0.10547667342799188 used+0.12170385395537525 here+0.0486815415821501 high+0.24949290060851928 how+0.06490872210953347 not+0.26369168356997974 state+0.2129817444219067 approach+0.12778904665314403 large+0.07099391480730223 data+0.036511156186612576 other+0.21095334685598377 systems+0.10953346855983773 well+0.04462474645030426 problem+0.18255578093306288 structure+0.06693711967545639 these+0.09127789046653144 new+0.2515212981744422 they+0.09127789046653144 based+0.2535496957403651 its+0.058823529411764705 particular+0.14198782961460446 models+0.030425963488843813 work+0.08113590263691683 time+0.06896551724137931 set+0.0973630831643002 under+0.10141987829614604 space+0.07505070993914807 may+0.10953346855983773 function+0.13387423935091278 performance+0.09330628803245436 network+0.07302231237322515 over+0.1440162271805274 propose+0.15010141987829614 methods+0.10344827586206896 analysis+0.034482758620689655 have+0.04462474645030426 also+0.010141987829614604
CLASS2: different+0.25735294117647056 energy+0.20588235294117646 mass+0.0661764705882353 method+0.16911764705882354 model+0.08823529411764706 more+0.2867647058823529 present+0.15441176470588236 study+0.22794117647058823 than+0.2647058823529412 these+0.6470588235294118 three+0.10294117647058823 through+0.21323529411764705 when+0.18382352941176472 where+0.5 while+0.27205882352941174 1+0.5073529411764706 3+0.21323529411764705 also+0.014705882352941176 analysis+0.18382352941176472 both+0.40441176470588236 due+0.029411764705882353 field+0.058823529411764705 first+0.051470588235294115 high+0.29411764705882354 if+0.17647058823529413 new+0.27941176470588236 or+0.5294117647058824 order+0.19117647058823528 results+0.47058823529411764 state+0.19117647058823528 2+0.25 find+0.22058823529411764 however+0.08088235294117647 most+0.16911764705882354 paper+0.25 provide+0.18382352941176472 single+0.051470588235294115 space+0.22058823529411764 based+0.2647058823529412 demonstrate+0.14705882352941177 how+0.125 models+0.029411764705882353 non+0.3014705882352941 over+0.20588235294117646 system+0.2867647058823529 time+0.3602941176470588 used+0.11029411764705882 well+0.029411764705882353 here+0.16911764705882354 its+0.20588235294117646 many+0.11764705882352941 number+0.19852941176470587 they+0.11764705882352941 under+0.19852941176470587 use+0.21323529411764705 any+0.23529411764705882 into+0.19117647058823528 may+0.14705882352941177 other+0.27205882352941174 properties+0.14705882352941177 show+0.4338235294117647 work+0.17647058823529413 each+0.19852941176470587 then+0.19117647058823528 case+0.22058823529411764 given+0.13970588235294118 set+0.18382352941176472 using+0.08088235294117647 all+0.2647058823529412 low+0.16176470588235295 network+0.08088235294117647 performance+0.1323529411764706 problem+0.1323529411764706 propose+0.125 approach+0.09558823529411764 but+0.21323529411764705 not+0.3235294117647059 theory+0.058823529411764705 there+0.10294117647058823 information+0.11029411764705882 known+0.11029411764705882 particular+0.07352941176470588 their+0.27205882352941174 systems+0.125 between+0.03676470588235294 only+0.058823529411764705 proposed+0.029411764705882353 function+0.04411764705882353 large+0.08823529411764706 some+0.03676470588235294 structure+0.058823529411764705 such+0.022058823529411766 methods+0.029411764705882353 data+0.04411764705882353 one+0.007352941176470588 have+0.022058823529411766 two+0.03676470588235294 it+0.014705882352941176
CLASS3: analysis+0.22535211267605634 energy+0.2035211267605634 field+0.19131455399061034 find+0.25610328638497654 large+0.17676056338028168 low+0.18873239436619718 mass+0.1643192488262911 model+0.572300469483568 non+0.2380281690140845 not+0.27816901408450706 order+0.2176056338028169 properties+0.157981220657277 set+0.13215962441314555 show+0.3589201877934272 structure+0.15352112676056337 such+0.336150234741784 theory+0.17887323943661973 all+0.19929577464788734 approach+0.20023474178403755 based+0.3755868544600939 been+0.2244131455399061 between+0.37816901408450704 but+0.10821596244131455 different+0.27230046948356806 have+0.3539906103286385 high+0.273943661971831 however+0.2187793427230047 its+0.23145539906103285 present+0.24530516431924881 single+0.12276995305164319 space+0.1568075117370892 study+0.2744131455399061 their+0.315962441314554 using+0.5338028169014084 also+0.4032863849765258 data+0.4345070422535211 each+0.1647887323943662 if+0.08098591549295775 may+0.1368544600938967 number+0.17629107981220657 one+0.2535211267605634 results+0.49389671361502346 state+0.08591549295774648 there+0.1272300469483568 used+0.2368544600938967 due+0.17582159624413146 function+0.15774647887323945 models+0.25704225352112675 new+0.30633802816901406 three+0.13661971830985917 work+0.18098591549295776 first+0.2652582159624413 has+0.27863849765258214 information+0.15328638497652583 method+0.20469483568075117 only+0.17910798122065727 paper+0.3032863849765258 through+0.14929577464788732 more+0.25234741784037557 most+0.1807511737089202 over+0.17629107981220657 time+0.28098591549295776 use+0.20610328638497652 propose+0.18145539906103286 than+0.22981220657276996 these+0.4596244131455399 two+0.1284037558685446 under+0.1119718309859155 1+0.04835680751173709 case+0.11338028169014085 into+0.21384976525821597 known+0.0931924882629108 where+0.2546948356807512 then+0.15845070422535212 both+0.3107981220657277 how+0.1335680751173709 well+0.10774647887323943 it+0.035211267605633804 provide+0.18145539906103286 they+0.11502347417840375 other+0.20234741784037558 2+0.027934272300469482 when+0.0903755868544601 demonstrate+0.14624413145539905 here+0.15704225352112677 methods+0.1596244131455399 or+0.07816901408450705 while+0.09366197183098592 given+0.0676056338028169 any+0.09765258215962441 many+0.142018779342723 some+0.07206572769953051 system+0.20023474178403755 particular+0.06830985915492958 problem+0.1676056338028169 3+0.028873239436619718 systems+0.1807511737089202 network+0.15305164319248826 performance+0.16690140845070423 proposed+0.19788732394366196
CLASS4: 2+0.20703125 between+0.44921875 both+0.3203125 but+0.28125 data+0.3984375 energy+0.20703125 function+0.11328125 large+0.26953125 mass+0.1875 model+0.63671875 models+0.23046875 more+0.19140625 most+0.22265625 non+0.1484375 not+0.41015625 or+0.45703125 provide+0.10546875 some+0.09765625 two+0.640625 use+0.14453125 different+0.3046875 field+0.20703125 find+0.27734375 first+0.2734375 has+0.25 one+0.0546875 other+0.140625 results+0.04296875 state+0.20703125 theory+0.1328125 these+0.05078125 through+0.1484375 well+0.25 while+0.1796875 high+0.28515625 number+0.15625 study+0.0703125 system+0.171875 systems+0.12109375 1+0.03515625 3+0.05078125 all+0.03515625 due+0.20703125 however+0.171875 order+0.078125 over+0.16015625 problem+0.09765625 proposed+0.17578125 space+0.125 structure+0.203125 used+0.18359375 work+0.125 have+0.2890625 into+0.171875 show+0.03125 three+0.19140625 case+0.12890625 only+0.25 its+0.1953125 their+0.30078125 there+0.125 they+0.09375 time+0.0703125 under+0.0625 than+0.0546875 using+0.484375 when+0.26171875 information+0.11328125 properties+0.17578125 analysis+0.1796875 here+0.171875 it+0.015625 present+0.20703125 given+0.08984375 propose+0.125 also+0.04296875 been+0.1875 demonstrate+0.09765625 if+0.08984375 low+0.17578125 single+0.12109375 method+0.15625 how+0.046875 each+0.140625 paper+0.20703125 performance+0.12109375 particular+0.0390625 may+0.1171875 then+0.10546875 any+0.0859375 many+0.08203125 methods+0.05078125 new+0.0234375 approach+0.0703125 network+0.09765625 based+0.04296875 set+0.07421875 such+0.01953125 known+0.0390625 where+0.015625
CLASS5: 1+0.4650602409638554 3+0.13012048192771083 all+0.24457831325301205 also+0.40602409638554215 approach+0.1927710843373494 based+0.3132530120481928 function+0.09397590361445783 how+0.11566265060240964 it+0.5963855421686747 known+0.16265060240963855 methods+0.12409638554216867 new+0.3530120481927711 non+0.1614457831325301 one+0.2783132530120482 order+0.20481927710843373 particular+0.19879518072289157 results+0.42168674698795183 show+0.39518072289156625 study+0.26385542168674697 but+0.03734939759036145 case+0.18313253012048192 energy+0.02289156626506024 find+0.1614457831325301 high+0.20963855421686747 its+0.25903614457831325 low+0.14819277108433734 such+0.3783132530120482 than+0.19518072289156627 these+0.43493975903614457 time+0.2385542168674699 2+0.09036144578313253 due+0.14457831325301204 large+0.04578313253012048 their+0.2855421686746988 theory+0.25903614457831325 they+0.12289156626506025 three+0.1180722891566265 through+0.11325301204819277 while+0.1855421686746988 any+0.163855421686747 if+0.13373493975903614 mass+0.03975903614457831 model+0.016867469879518072 some+0.06987951807228916 there+0.13734939759036144 well+0.25301204819277107 analysis+0.1578313253012048 demonstrate+0.11686746987951807 different+0.23373493975903614 field+0.20602409638554217 into+0.17710843373493976 set+0.16265060240963855 used+0.2036144578313253 when+0.2 first+0.22048192771084338 have+0.336144578313253 here+0.163855421686747 number+0.1963855421686747 only+0.1493975903614458 other+0.1710843373493976 using+0.4457831325301205 given+0.14819277108433734 has+0.3349397590361446 present+0.23493975903614459 properties+0.1686746987951807 single+0.12650602409638553 systems+0.1710843373493976 then+0.16626506024096385 provide+0.05903614457831325 structure+0.13975903614457832 been+0.2289156626506024 each+0.1614457831325301 over+0.17951807228915662 problem+0.19879518072289157 where+0.11566265060240964 use+0.05060240963855422 work+0.1674698795180723 both+0.043373493975903614 between+0.02530120481927711 paper+0.3204819277108434 system+0.16987951807228915 however+0.13614457831325302 information+0.12771084337349398 method+0.17590361445783131 state+0.1674698795180723 under+0.11686746987951807 many+0.10481927710843374 performance+0.14457831325301204 most+0.06265060240963856 propose+0.13132530120481928 not+0.043373493975903614 space+0.19156626506024096 may+0.10481927710843374 proposed+0.16987951807228915 data+0.05903614457831325 or+0.02530120481927711 network+0.1 two+0.03493975903614458 more+0.03132530120481928 models+0.014457831325301205
CLASS6: 1+0.7153179190751445 3+0.24783236994219654 also+0.45375722543352603 been+0.16257225433526012 data+0.03251445086705202 different+0.08236994219653179 energy+0.09826589595375723 have+0.29696531791907516 here+0.17341040462427745 it+0.6098265895953757 its+0.2565028901734104 large+0.23121387283236994 low+0.10621387283236994 model+0.10621387283236994 more+0.21893063583815028 new+0.28395953757225434 not+0.3439306358381503 one+0.3684971098265896 order+0.23410404624277456 other+0.18858381502890173 some+0.20447976878612717 their+0.26372832369942195 two+0.5664739884393064 2+0.5426300578034682 due+0.06719653179190752 field+0.2239884393063584 number+0.20086705202312138 state+0.16040462427745664 theory+0.27890173410404623 when+0.2203757225433526 function+0.17052023121387283 many+0.0953757225433526 mass+0.1813583815028902 non+0.11560693641618497 only+0.2384393063583815 results+0.37283236994219654 single+0.11416184971098266 space+0.18786127167630057 system+0.1726878612716763 time+0.273121387283237 while+0.11849710982658959 all+0.29552023121387283 approach+0.1199421965317919 between+0.3627167630057804 known+0.1416184971098266 paper+0.29263005780346824 any+0.18352601156069365 both+0.2550578034682081 case+0.21459537572254336 find+0.2153179190751445 has+0.31141618497109824 if+0.25 into+0.16835260115606937 may+0.12066473988439307 or+0.08164739884393063 present+0.19653179190751446 problem+0.19147398843930635 structure+0.15390173410404626 study+0.282514450867052 particular+0.1596820809248555 show+0.40173410404624277 but+0.25722543352601157 given+0.1813583815028902 most+0.19147398843930635 three+0.12716763005780346 first+0.2861271676300578 models+0.1069364161849711 use+0.13800578034682082 properties+0.13367052023121387 systems+0.11271676300578035 these+0.08309248554913294 where+0.21893063583815028 method+0.09104046242774566 however+0.1315028901734104 provide+0.14450867052023122 set+0.15895953757225434 then+0.19508670520231214 work+0.09826589595375723 such+0.07514450867052024 than+0.2398843930635838 over+0.1611271676300578 there+0.19147398843930635 how+0.11343930635838151 analysis+0.03757225433526012 methods+0.05202312138728324 used+0.12138728323699421 they+0.125 through+0.04046242774566474 under+0.14089595375722544 information+0.08309248554913294 performance+0.04335260115606936 high+0.06141618497109826 well+0.0657514450867052 using+0.0657514450867052 demonstrate+0.03106936416184971 each+0.0708092485549133 proposed+0.06864161849710983 based+0.02167630057803468 network+0.03540462427745665 propose+0.015895953757225433
CLASS7: 1+0.5447409733124019 2+0.40240711669283097 3+0.23547880690737832 been+0.19309262166405022 both+0.28100470957613816 data+0.3741496598639456 find+0.27106227106227104 first+0.2522239665096808 has+0.29199372056514916 have+0.3819989534275249 if+0.1292517006802721 its+0.23390894819466249 new+0.3092621664050236 number+0.17111459968602827 one+0.24280481423338565 only+0.18733647305075876 other+0.18210361067503925 results+0.3825222396650968 study+0.2585034013605442 theory+0.1575091575091575 there+0.12768184196755625 through+0.08791208791208792 well+0.2616431187859759 when+0.19518576661433804 while+0.2867608581894296 work+0.14076399790685504 all+0.24803767660910517 based+0.3076923076923077 field+0.20722135007849293 into+0.17896389324960754 non+0.21768707482993196 properties+0.16012558869701726 single+0.1151229722658294 structure+0.15907901622187337 any+0.1371009942438514 but+0.12349555206698064 here+0.15070643642072212 high+0.31030873888016747 large+0.27577184720041864 not+0.31187859759288333 or+0.4170591313448456 order+0.20146520146520147 paper+0.25902668759811615 their+0.2893772893772894 demonstrate+0.10936682365253794 how+0.08163265306122448 however+0.16692830978545264 low+0.21821036106750394 mass+0.21454735740450026 may+0.06174777603349032 models+0.13867085295656725 particular+0.1140763997906855 problem+0.141287284144427 show+0.38566195709052853 space+0.15175300889586604 also+0.424385138670853 analysis+0.1978021978021978 case+0.141287284144427 use+0.17582417582417584 between+0.3469387755102041 model+0.02773417059131345 where+0.08791208791208792 approach+0.1423338566195709 energy+0.18942961800104657 present+0.2789115646258503 used+0.16797488226059654 given+0.1151229722658294 method+0.13343799058084774 provide+0.07744636316064887 time+0.25798011512297225 two+0.09000523286237572 propose+0.1271585557299843 proposed+0.13134484563055993 set+0.11826268969126112 these+0.11145996860282574 different+0.10256410256410256 most+0.19727891156462585 then+0.1261119832548404 due+0.16902145473574046 some+0.12872841444270017 over+0.19309262166405022 than+0.2778649921507064 each+0.1391941391941392 three+0.11930926216640503 more+0.24489795918367346 function+0.15698587127158556 information+0.0423861852433281 such+0.043432757718472007 systems+0.14285714285714285 many+0.09942438513867086 under+0.0968079539508111 methods+0.0989010989010989 using+0.07535321821036106 known+0.1271585557299843 state+0.03506017791732077 it+0.027210884353741496 system+0.16483516483516483 they+0.06907378335949764 performance+0.10989010989010989 network+0.08424908424908426
CLASS8: 1+0.5928263035536366 2+0.3975423447359681 3+0.2241780139488542 also+0.4363998671537695 analysis+0.1946197276652275 case+0.1667220192627034 energy+0.18963799402191964 mass+0.1381600797077383 non+0.12055795416805049 only+0.20856858186648955 or+0.08435735636001329 particular+0.13085353703088676 present+0.2454334108269678 study+0.2537363002324809 system+0.18465626037861177 than+0.18465626037861177 using+0.43839256061109266 where+0.4214546662238459 work+0.11026237130521421 field+0.20890069744271006 first+0.28694785785453336 its+0.2391232148787778 many+0.09299236134174693 method+0.17967452673530387 new+0.2809697774825639 set+0.16838259714380605 systems+0.12022583859182996 theory+0.19096645632680173 these+0.45034872135503157 time+0.2686815011624045 two+0.5161076054466954 all+0.23978744603121888 data+0.3503819329126536 not+0.2846230488209897 propose+0.13583527067419462 results+0.44735968116904684 state+0.19030222517436068 three+0.12653603454001994 used+0.17270009963467287 well+0.24775821986051147 find+0.13882431086017935 then+0.16572567253404186 any+0.1477914314181335 but+0.20192627034207905 has+0.27731650614413816 high+0.2696778478910661 known+0.14148123546994354 low+0.1756891398206576 other+0.1680504815675855 provide+0.17901029558286283 based+0.295582862836267 between+0.09033543673198273 due+0.1451345068083693 large+0.262039189637994 show+0.39920292261707074 approach+0.15509797409498505 different+0.07074061773497177 models+0.13583527067419462 most+0.1531052806376619 one+0.09332447691796746 order+0.19561607439388906 single+0.12255064762537363 structure+0.15742278312852873 demonstrate+0.1182331451345068 how+0.09432082364662903 paper+0.2600464961806709 space+0.19295914978412487 such+0.3430753902358021 however+0.13716373297907672 number+0.2092328130189306 through+0.11989372301560944 function+0.18199933576884755 model+0.09465293922284955 network+0.08900697442710064 over+0.1893058784456991 properties+0.1421454666223846 use+0.17701760212553969 here+0.13450680836931253 there+0.13683161740285618 while+0.08203254732646961 if+0.13184988375954831 may+0.12354699435403521 they+0.10660909996678844 each+0.17236798405845233 some+0.15941547658585187 been+0.12321487877781467 have+0.09365659249418798 it+0.030222517436067752 into+0.167718365991365 more+0.06741946197276652 under+0.13052142145466622 their+0.08170043175024909 when+0.21819993357688475 both+0.10561275323812687 methods+0.10760544669545001 given+0.14546662238458985 problem+0.19428761208900697 proposed+0.13649950182663567 information+0.11358352706741946 performance+0.09830621056127532
CLASS9: 2+0.06166868198307134 between+0.41233373639661425 both+0.3264812575574365 different+0.30290205562273276 find+0.218863361547763 have+0.31257557436517536 it+0.5060459492140266 model+0.5725513905683193 more+0.22067714631197097 non+0.23760580411124546 one+0.26118500604594924 or+0.4467956469165659 their+0.3047158403869408 while+0.34159613059250304 analysis+0.21946795646916567 approach+0.19044740024183796 first+0.058645707376058044 into+0.22914147521160821 mass+0.09068923821039904 order+0.20193470374848851 particular+0.1336154776299879 problem+0.21281741233373638 properties+0.12575574365175332 provide+0.14631197097944376 results+0.46916565900846435 state+0.23155985489721886 such+0.38331318016928656 time+0.07376058041112454 well+0.32285368802902054 but+0.21100362756952842 energy+0.14812575574365175 high+0.24425634824667472 how+0.12998790810157196 if+0.10096735187424426 its+0.08827085852478839 show+0.34401451027811364 some+0.1475211608222491 theory+0.08162031438935913 through+0.15175332527206772 where+0.3555018137847642 been+0.23397823458282951 has+0.2998790810157195 many+0.08706166868198308 may+0.15296251511487305 work+0.15598548972188633 3+0.044740024183796856 field+0.05259975816203144 however+0.2672309552599758 large+0.28657799274486095 not+0.3645707376058041 other+0.18802902055622733 proposed+0.21281741233373638 than+0.23760580411124546 function+0.14328899637243048 given+0.1336154776299879 models+0.24365175332527206 most+0.18802902055622733 over+0.16384522370012092 paper+0.3464328899637243 space+0.12394195888754535 there+0.11789600967351874 used+0.20918984280532044 data+0.4226118500604595 all+0.19105199516324062 based+0.3639661426844015 demonstrate+0.13603385731559856 due+0.15114873035066506 only+0.06831922611850061 present+0.19165659008464328 structure+0.15840386940749698 use+0.18016928657799275 1+0.03325272067714631 study+0.2478839177750907 low+0.17654171704957677 case+0.15356711003627568 number+0.2097944377267231 under+0.14026602176541716 each+0.1759371221281741 network+0.186819830713422 performance+0.186819830713422 set+0.06529625151148731 they+0.12031438935912939 when+0.25151148730350664 information+0.18319226118500603 these+0.03506650544135429 any+0.13663845223700122 then+0.13724304715840388 three+0.1033857315598549 single+0.12696493349455865 propose+0.19226118500604594 known+0.10701330108827085 method+0.07073760580411124 system+0.18561064087061668 new+0.06408706166868199 two+0.08343409915356712 here+0.15779927448609432 methods+0.14328899637243048 using+0.08222490931076179 systems+0.08887545344619105 also+0.02357920193470375
CLASS13: between+0.32316731952993843 demonstrate+0.14157806379406826 each+0.13374370453273643 has+0.2722439843312815 have+0.3628987129266928 into+0.19026301063234471 large+0.2767207610520425 mass+0.1846670397313934 model+0.5492445439283715 most+0.19054280917739227 non+0.23642977056519307 number+0.20789031897034135 order+0.21600447677672077 other+0.1348628987129267 paper+0.24622271964185785 particular+0.13206491326245104 results+0.4655847789591494 such+0.3310016787912703 than+0.2434247341913822 there+0.1250699496362619 these+0.48181309457190824 through+0.14101846670397314 analysis+0.18102965864577505 based+0.3178511471740347 data+0.14689423614997202 if+0.10548405148293229 low+0.20005595970900952 new+0.09373251259093453 or+0.4468382764409625 space+0.16731952993844432 study+0.24790151091214327 they+0.1208729714605484 using+0.47034135422495804 well+0.26357022943480696 1+0.5195858981533296 2+0.3939563514269726 3+0.23838836038052602 both+0.2736429770565193 find+0.15556799104644656 theory+0.20117515388919976 two+0.10604364857302742 while+0.2876329043088976 different+0.2565752658086178 due+0.14185786233911585 field+0.21152770005595972 however+0.19390039171796306 may+0.13262451035254616 one+0.2792389479574706 state+0.24034695019585897 system+0.20061555679910464 their+0.16871852266368215 when+0.22076105204252938 approach+0.17935086737548964 case+0.12926692781197538 its+0.22020145495243423 models+0.15808617795187466 more+0.2302742025741466 not+0.08198097369893677 single+0.12059317291550084 structure+0.17459429210968103 work+0.21796306659205372 all+0.2327923894795747 but+0.06519306099608282 only+0.18130945719082261 over+0.17599328483491886 present+0.2311135982092893 set+0.12730833799664243 show+0.37241186345831 time+0.2974258533855624 properties+0.16564073866815893 first+0.2369893676552882 energy+0.08953553441522104 high+0.2571348628987129 propose+0.14689423614997202 been+0.19166200335758254 used+0.18830442081701176 problem+0.1706771124790151 where+0.10408505875769446 it+0.05036373810856184 then+0.1502518186905428 any+0.1208729714605484 function+0.15640738668158927 information+0.134023503077784 use+0.18102965864577505 how+0.11779518746502518 known+0.10996082820369334 three+0.13989927252378287 given+0.11247901510912144 here+0.15221040850587578 provide+0.1650811415780638 proposed+0.1454952434247342 some+0.13514269725797426 methods+0.15221040850587578 many+0.12646894236149972 under+0.11499720201454952 also+0.048125349748181306 method+0.17711247901510913 systems+0.17515388919977617 network+0.12758813654169 performance+0.125629546726357
CLASS14: also+0.40821701343165656 both+0.31340531998946536 but+0.15959968396102187 case+0.1279957861469581 demonstrate+0.14485119831445878 how+0.13010271266789572 it+0.5090861206215433 its+0.2881222017382144 many+0.1285225177771925 more+0.21042928627864102 most+0.187779826178562 new+0.3189360021069265 one+0.3218330260732157 other+0.2146431393205162 show+0.32894390308138005 these+0.44508822754806426 through+0.1332631024493021 used+0.21306294442981302 using+0.4998683170924414 analysis+0.20911245720305505 field+0.21042928627864102 low+0.16908085330524097 mass+0.1801422175401633 may+0.12299183565973136 model+0.672372925994206 only+0.19857782459836712 order+0.10271266789570714 single+0.13616012641559125 than+0.24361337898340796 two+0.5667632341322096 2+0.23149855148801685 been+0.20911245720305505 between+0.38556755333157755 data+0.43534369238872794 due+0.14564129575981039 first+0.12746905451672372 function+0.14853831972609954 has+0.3223597577034501 have+0.31709244140110615 large+0.10587305767711351 models+0.2844350803265736 proposed+0.16618382933895182 some+0.13616012641559125 structure+0.18330260732156967 such+0.3236765867790361 theory+0.24255991572293917 well+0.31366868580458257 all+0.20595206742164868 different+0.288912299183566 find+0.24097972083223598 not+0.1319462733737161 particular+0.14485119831445878 properties+0.17382143797735053 provide+0.1569660258098499 state+0.2380826968659468 their+0.12562549381090335 there+0.06821174611535423 they+0.10534632604687912 three+0.14985514880168554 while+0.2378193310508296 1+0.06215433236765868 based+0.3271003423755596 energy+0.2133263102449302 number+0.18435607058203846 3+0.1427442717935212 method+0.19805109296813272 methods+0.14195417434816962 non+0.26599947326836976 results+0.15801948907031868 space+0.18461943639715564 study+0.28153805636028445 systems+0.1635501711877798 or+0.12746905451672372 present+0.23360547800895443 under+0.11430076376086384 however+0.16987095075059258 work+0.21253621279957863 any+0.07347906241769818 approach+0.2014748485646563 here+0.10297603371082434 into+0.2114827495391098 problem+0.16276007374242824 propose+0.15986304977613905 each+0.15380563602844352 high+0.11035027653410587 given+0.10271266789570714 set+0.12667895707137214 known+0.13800368712141164 over+0.16802739004477218 time+0.26863313141954176 when+0.08480379246773768 information+0.15196207532262312 network+0.12746905451672372 system+0.20410850671582828 where+0.07927311035027654 then+0.14432446668422438 use+0.19225704503555438 if+0.0837503292072689 paper+0.1193047142480906 performance+0.12141164076902818
