CLASS3: 1+0.5352266521026762 2+0.3984161660294921 3+0.2146368104860732 been+0.2288367012561442 both+0.2796286182413981 data+0.3678317859093392 find+0.0835608956854178 first+0.2676133260513381 has+0.35199344620426 have+0.3771163298743856 if+0.14855270344074276 its+0.2572364827962862 new+0.2891862370289459 number+0.2247405789186237 one+0.340797378481704 only+0.22583287820862916 other+0.2135445111960677 results+0.3672856362643364 study+0.2591480065537957 theory+0.06881485527034407 there+0.1523757509557619 through+0.15592572364827964 well+0.2277444019661387 when+0.2373020207536865 while+0.2651556526488258 work+0.1490988530857455 also+0.406608410704533 analysis+0.08383397050791917 it+0.4732386673948662 large+0.1460950300382305 or+0.4145275805570726 order+0.08110322228290552 present+0.2326597487711633 provide+0.15811032222829055 these+0.505188421627526 different+0.2741671217913708 mass+0.09120699071545603 model+0.12261059530311305 paper+0.3427089022392135 two+0.4721463681048607 used+0.1859639541234298 all+0.2706171490988531 any+0.1362643364281813 field+0.06744948115783725 high+0.22282905516111415 not+0.1381758601856909 than+0.278809393773894 where+0.4841616602949208 between+0.3369743309666849 here+0.1324412889131622 into+0.1925177498634626 single+0.12889131622064445 space+0.1600218459858001 structure+0.085199344620426 their+0.2643364281813217 they+0.1373566357181868 time+0.2782632441288913 demonstrate+0.12752594210813764 energy+0.0835608956854178 how+0.1056799563080284 known+0.1523757509557619 set+0.09503003823047515 some+0.16739486619333696 based+0.3052976515565265 each+0.2026215182960131 most+0.2089022392135445 but+0.1938831239759694 case+0.18869470234844346 more+0.2790824685963954 non+0.10267613326051338 state+0.187602403058438 system+0.2089022392135445 systems+0.14964500273074824 three+0.15182960131075915 under+0.13462588749317314 use+0.1720371381758602 many+0.12889131622064445 models+0.1441835062807209 proposed+0.1687602403058438 such+0.1127799016930639 function+0.13517203713817585 given+0.1433642818132168 propose+0.1616602949208083 due+0.1357181867831786 however+0.18432550518842164 information+0.16138722009830694 low+0.06663025669033315 may+0.1365374112506827 particular+0.1381758601856909 approach+0.1594756963407974 problem+0.2168214090660841 over+0.18487165483342435 show+0.12561441835062806 then+0.159202621518296 method+0.1583833970507919 using+0.036865101037684325 properties+0.0701802293828509 methods+0.12206444565811032 performance+0.1370835608956854 network+0.1316220644456581
CLASS4: 3+0.15274463007159905 find+0.16348448687350836 first+0.2744630071599045 mass+0.05369928400954654 results+0.3997613365155131 state+0.19331742243436753 then+0.2315035799522673 theory+0.2494033412887828 these+0.4677804295942721 using+0.3794749403341289 also+0.35799522673031026 analysis+0.15274463007159905 been+0.2315035799522673 field+0.2159904534606205 have+0.3532219570405728 it+0.5381861575178998 its+0.2852028639618138 may+0.12649164677804295 one+0.3031026252983294 particular+0.16945107398568018 proposed+0.1730310262529833 show+0.44272076372315033 some+0.12171837708830549 such+0.4105011933174224 system+0.1957040572792363 systems+0.15513126491646778 than+0.21837708830548927 under+0.15632458233890215 when+0.22315035799522673 where+0.5823389021479713 approach+0.15871121718377088 case+0.2171837708830549 different+0.2553699284009546 here+0.1658711217183771 information+0.11097852028639618 new+0.26252983293556087 paper+0.2911694510739857 propose+0.11813842482100238 space+0.20883054892601433 used+0.18377088305489261 2+0.21837708830548927 given+0.18496420047732698 how+0.10620525059665871 model+0.03937947494033413 only+0.1873508353221957 function+0.10978520286396182 order+0.220763723150358 provide+0.07756563245823389 structure+0.1801909307875895 study+0.2947494033412888 use+0.07756563245823389 due+0.11336515513126491 has+0.3532219570405728 however+0.1467780429594272 if+0.18973747016706444 present+0.256563245823389 there+0.16945107398568018 work+0.18257756563245822 based+0.2935560859188544 energy+0.060859188544152745 high+0.20763723150357996 into+0.19689737470167065 known+0.14081145584725538 method+0.18377088305489261 time+0.2637231503579952 1+0.4797136038186158 number+0.21837708830548927 other+0.15632458233890215 low+0.14916467780429593 set+0.18257756563245822 while+0.1026252983293556 both+0.03579952267303103 large+0.05250596658711217 well+0.04295942720763723 any+0.1766109785202864 properties+0.1957040572792363 single+0.10978520286396182 between+0.029832935560859187 their+0.21121718377088305 through+0.11336515513126491 each+0.20883054892601433 models+0.00954653937947494 all+0.26252983293556087 non+0.15035799522673032 over+0.20286396181384247 problem+0.21360381861575178 they+0.09785202863961814 demonstrate+0.12052505966587113 methods+0.08591885441527446 many+0.11933174224343675 performance+0.09427207637231504 more+0.0883054892601432 network+0.06801909307875895 not+0.032219570405727926 or+0.0441527446300716 data+0.032219570405727926 three+0.1276849642004773 most+0.05847255369928401 but+0.022673031026252982 two+0.00477326968973747
CLASS5: 2+0.18611111111111112 between+0.375 both+0.31666666666666665 but+0.20277777777777778 data+0.3638888888888889 energy+0.29444444444444445 function+0.11388888888888889 large+0.2388888888888889 mass+0.23333333333333334 model+0.7444444444444445 models+0.2611111111111111 more+0.28055555555555556 most+0.17777777777777778 non+0.11666666666666667 not+0.33611111111111114 or+0.39166666666666666 provide+0.12222222222222222 some+0.10555555555555556 two+0.4638888888888889 use+0.15833333333333333 analysis+0.2611111111111111 different+0.325 each+0.15 have+0.33055555555555555 its+0.26944444444444443 one+0.08611111111111111 only+0.23055555555555557 state+0.18888888888888888 they+0.08888888888888889 when+0.2222222222222222 where+0.4666666666666667 demonstrate+0.12222222222222222 first+0.2777777777777778 here+0.15833333333333333 high+0.2916666666666667 however+0.20277777777777778 if+0.06666666666666667 into+0.18333333333333332 methods+0.03611111111111111 new+0.044444444444444446 propose+0.11666666666666667 theory+0.1361111111111111 through+0.17777777777777778 due+0.18611111111111112 show+0.041666666666666664 three+0.17222222222222222 while+0.15 all+0.03333333333333333 been+0.23333333333333334 field+0.20555555555555555 present+0.2777777777777778 well+0.34444444444444444 also+0.05555555555555555 has+0.34444444444444444 paper+0.21388888888888888 study+0.08055555555555556 their+0.25555555555555554 there+0.12777777777777777 using+0.46111111111111114 find+0.225 given+0.09166666666666666 properties+0.15833333333333333 than+0.14166666666666666 space+0.175 such+0.030555555555555555 may+0.125 problem+0.10277777777777777 proposed+0.175 single+0.14166666666666666 information+0.08611111111111111 set+0.14166666666666666 these+0.09444444444444444 work+0.1527777777777778 number+0.1361111111111111 other+0.14722222222222223 results+0.03888888888888889 many+0.07777777777777778 order+0.041666666666666664 then+0.1388888888888889 used+0.18611111111111112 3+0.09722222222222222 system+0.20277777777777778 known+0.06388888888888888 method+0.15 performance+0.11666666666666667 over+0.11944444444444445 case+0.12777777777777777 how+0.06111111111111111 structure+0.15833333333333333 systems+0.13055555555555556 any+0.06666666666666667 network+0.12777777777777777 approach+0.058333333333333334 low+0.2222222222222222 based+0.05 time+0.07777777777777778 under+0.06944444444444445 1+0.03333333333333333 it+0.016666666666666666 particular+0.044444444444444446
CLASS6: both+0.37976782752902155 but+0.1077943615257048 energy+0.12271973466003316 high+0.2470978441127695 how+0.1310116086235489 if+0.09286898839137644 its+0.0945273631840796 mass+0.12271973466003316 model+0.5107794361525705 or+0.4262023217247098 show+0.4494195688225539 some+0.04145936981757877 such+0.31840796019900497 theory+0.1857379767827529 through+0.19071310116086235 where+0.5787728026533997 all+0.1956882255389718 different+0.1857379767827529 field+0.16417910447761194 find+0.2023217247097844 into+0.22388059701492538 most+0.14925373134328357 new+0.06799336650082918 non+0.27197346600331673 one+0.03482587064676617 only+0.2222222222222222 structure+0.14925373134328357 there+0.1077943615257048 these+0.4427860696517413 well+0.27860696517412936 between+0.3150912106135987 however+0.12603648424543948 large+0.07131011608623548 may+0.0845771144278607 models+0.208955223880597 space+0.1857379767827529 study+0.2620232172470978 use+0.1691542288557214 when+0.07296849087893864 2+0.16749585406301823 case+0.1824212271973466 due+0.11774461028192372 function+0.14262023217247097 then+0.18076285240464346 data+0.35655058043117743 more+0.08955223880597014 paper+0.35655058043117743 particular+0.13432835820895522 problem+0.19900497512437812 than+0.15754560530679934 used+0.22388059701492538 has+0.23548922056384744 order+0.03814262023217247 using+0.4892205638474295 approach+0.20066334991708126 based+0.3880597014925373 here+0.04975124378109453 method+0.2470978441127695 methods+0.16086235489220563 work+0.22056384742951907 any+0.0978441127694859 first+0.25207296849087896 over+0.175787728026534 results+0.44112769485903813 while+0.15754560530679934 number+0.2155887230514096 three+0.12106135986733002 time+0.30514096185737977 present+0.26865671641791045 analysis+0.2155887230514096 provide+0.15091210613598674 proposed+0.20398009950248755 set+0.11276948590381426 3+0.01658374792703151 also+0.03814262023217247 each+0.17412935323383086 state+0.24875621890547264 many+0.13432835820895522 other+0.06799336650082918 systems+0.17081260364842454 demonstrate+0.19237147595356552 have+0.05306799336650083 information+0.1956882255389718 system+0.23880597014925373 given+0.13930348258706468 network+0.1890547263681592 performance+0.19402985074626866 single+0.12769485903814262 properties+0.1625207296849088 under+0.13266998341625208 1+0.011608623548922056 propose+0.1691542288557214 they+0.07628524046434494 low+0.10613598673300166 their+0.05140961857379768 known+0.0845771144278607 been+0.04643449419568822 two+0.028192371475953566 not+0.02321724709784411 it+0.001658374792703151
CLASS7: also+0.40229885057471265 each+0.1425287356321839 energy+0.2206896551724138 find+0.05172413793103448 high+0.20114942528735633 into+0.26091954022988506 its+0.09655172413793103 large+0.28390804597701147 mass+0.1632183908045977 model+0.7080459770114943 models+0.25287356321839083 new+0.05632183908045977 non+0.22528735632183908 one+0.13333333333333333 or+0.4413793103448276 problem+0.20919540229885059 proposed+0.1850574712643678 show+0.3758620689655172 single+0.11494252873563218 such+0.37471264367816093 these+0.45977011494252873 through+0.10229885057471265 two+0.47701149425287354 where+0.6091954022988506 approach+0.2045977011494253 based+0.3367816091954023 field+0.22758620689655173 have+0.05747126436781609 known+0.09310344827586207 low+0.16206896551724137 other+0.07471264367816093 properties+0.17586206896551723 provide+0.12298850574712644 state+0.2367816091954023 theory+0.09770114942528736 they+0.07701149425287357 three+0.13908045977011493 used+0.21264367816091953 using+0.4528735632183908 between+0.36551724137931035 but+0.19080459770114944 given+0.14367816091954022 information+0.15057471264367817 it+0.4735632183908046 not+0.3022988505747126 over+0.19195402298850575 space+0.21724137931034482 study+0.08850574712643679 then+0.167816091954023 time+0.3045977011494253 analysis+0.1735632183908046 first+0.0896551724137931 how+0.15747126436781608 method+0.22873563218390805 system+0.21839080459770116 case+0.1632183908045977 different+0.2942528735632184 more+0.25517241379310346 present+0.22758620689655173 structure+0.15747126436781608 function+0.14367816091954022 here+0.13218390804597702 however+0.19770114942528735 order+0.2 use+0.1793103448275862 has+0.07011494252873564 only+0.09195402298850575 paper+0.2735632183908046 some+0.11609195402298851 when+0.08735632183908046 than+0.2367816091954023 all+0.20114942528735633 results+0.07241379310344828 due+0.15747126436781608 may+0.13908045977011493 particular+0.14482758620689656 work+0.17011494252873563 propose+0.18735632183908046 most+0.1425287356321839 under+0.15977011494252874 any+0.11954022988505747 their+0.21724137931034482 if+0.06321839080459771 methods+0.14597701149425288 systems+0.20344827586206896 demonstrate+0.16091954022988506 well+0.07471264367816093 while+0.0735632183908046 2+0.020689655172413793 data+0.06206896551724138 there+0.04827586206896552 performance+0.13908045977011493 set+0.1206896551724138 many+0.10919540229885058 3+0.014942528735632184 number+0.08045977011494253 both+0.09425287356321839 network+0.13793103448275862 been+0.009195402298850575 1+0.011494252873563218
CLASS8: but+0.17697937458416502 different+0.33155910401419386 information+0.19427811044577512 it+0.4364604125083167 may+0.1377245508982036 model+0.6595697493901087 provide+0.17919716123308937 state+0.24994455533377688 such+0.39099578620536707 these+0.49545353736970504 they+0.1532490574406742 through+0.18451984919050787 two+0.46174318030605455 2+0.013528498558438679 between+0.33399866932801064 both+0.3242404080727434 find+0.15768463073852296 have+0.4113994233754713 more+0.274340208471945 non+0.12508316699933467 one+0.3379906852960745 or+0.33688179197161233 their+0.2756708804612996 while+0.295630960301619 demonstrate+0.18695941450432468 each+0.19516522510534487 has+0.368152583721446 into+0.25681969394544246 large+0.25681969394544246 mass+0.06143269017520515 most+0.1971612330893768 number+0.18518518518518517 order+0.20359281437125748 other+0.2155688622754491 paper+0.38035041029053007 particular+0.07141273009536482 results+0.4078509647371923 than+0.12818806830782878 there+0.14060767354180528 data+0.40829452206697714 energy+0.08915502328675981 first+0.2907518296739854 high+0.2315369261477046 present+0.08294522066977157 three+0.13351075626524728 use+0.19605233976491462 well+0.25748502994011974 work+0.22333111554668442 all+0.20137502772233312 not+0.2982923042803282 study+0.09647371922821024 where+0.12685739631847417 been+0.2876469283654912 however+0.26391661122200044 propose+0.270791749833666 when+0.2275449101796407 based+0.4096251940563318 field+0.15191838545131958 low+0.15568862275449102 over+0.18385451319583057 set+0.1454868041694389 theory+0.15169660678642716 time+0.27323131514748283 its+0.27012641383898867 new+0.2903082723442005 only+0.10024395653138168 under+0.1394987802173431 function+0.1408294522066977 given+0.12020403637170105 how+0.15058771346196495 models+0.284985584386782 space+0.15812818806830783 used+0.22954091816367264 method+0.24196052339764915 then+0.17431803060545575 using+0.0920381459303615 any+0.12131292969616322 here+0.1394987802173431 if+0.09159458860057662 show+0.3743623863384342 some+0.1359503215790641 many+0.1745398092703482 properties+0.14570858283433133 case+0.06320691949434465 structure+0.18429807052561545 system+0.09891328454202705 known+0.11000221778664893 approach+0.22288755821689954 3+0.01685517853182524 proposed+0.2605899312486139 single+0.1288534043025061 due+0.16056775338212464 analysis+0.10556664448880018 network+0.2244400088711466 performance+0.20714127300953647 methods+0.22177866489243736 problem+0.2191173209137281 also+0.059214903526280775 systems+0.16855178531825238 1+0.011532490574406742
CLASS9: 2+0.35136268343815513 3+0.2079664570230608 analysis+0.21048218029350105 been+0.14088050314465408 data+0.3651991614255765 function+0.17232704402515722 has+0.3148846960167715 its+0.2490566037735849 model+0.09685534591194969 more+0.1060796645702306 only+0.21677148846960168 order+0.20041928721174004 other+0.17735849056603772 over+0.18867924528301888 particular+0.12872117400419286 provide+0.17945492662473794 these+0.5446540880503145 time+0.2658280922431866 two+0.46247379454926624 used+0.17526205450733753 using+0.4058700209643606 when+0.2272536687631027 work+0.14339622641509434 1+0.4981132075471698 also+0.42473794549266247 field+0.2180293501048218 first+0.2939203354297694 many+0.11027253668763103 mass+0.14088050314465408 method+0.19538784067085954 new+0.2721174004192872 set+0.16058700209643606 systems+0.13375262054507336 theory+0.18448637316561844 all+0.2180293501048218 not+0.290146750524109 propose+0.13836477987421383 results+0.44863731656184486 state+0.18364779874213835 three+0.15178197064989518 well+0.25157232704402516 based+0.3169811320754717 demonstrate+0.13626834381551362 each+0.1769392033542977 given+0.14465408805031446 how+0.10649895178197065 low+0.19245283018867926 one+0.12830188679245283 structure+0.15262054507337527 than+0.21425576519916142 where+0.4649895178197065 approach+0.15345911949685534 different+0.05953878406708595 energy+0.21132075471698114 known+0.1262054507337526 large+0.28050314465408804 models+0.1329140461215933 most+0.15136268343815515 show+0.42557651991614254 single+0.10985324947589098 study+0.2658280922431866 paper+0.2679245283018868 space+0.18909853249475891 such+0.3635220125786163 due+0.1421383647798742 however+0.14465408805031446 number+0.21509433962264152 present+0.2662473794549266 if+0.1312368972746331 it+0.04612159329140461 then+0.17148846960167716 through+0.14423480083857443 high+0.2620545073375262 network+0.09182389937106918 properties+0.15471698113207547 use+0.17484276729559747 but+0.18867924528301888 case+0.17274633123689728 under+0.14129979035639412 some+0.17819706498951782 while+0.053668763102725364 system+0.19538784067085954 here+0.1249475890985325 any+0.1471698113207547 have+0.0989517819706499 may+0.12914046121593292 there+0.13920335429769393 into+0.18448637316561844 they+0.0939203354297694 non+0.09266247379454927 both+0.07337526205450734 their+0.06247379454926625 between+0.05157232704402516 or+0.05828092243186583 find+0.08930817610062892 problem+0.20461215932914045 proposed+0.1509433962264151 information+0.12075471698113208 performance+0.10272536687631027 methods+0.1241090146750524
CLASS16: 1+0.6285097192224622 all+0.25593952483801297 also+0.39740820734341253 been+0.2224622030237581 between+0.3250539956803456 due+0.05939524838012959 field+0.2267818574514039 first+0.2958963282937365 have+0.3466522678185745 how+0.10259179265658748 if+0.2203023758099352 large+0.26997840172786175 mass+0.23002159827213822 may+0.12742980561555076 more+0.29481641468682507 not+0.3596112311015119 other+0.15442764578833693 paper+0.28293736501079914 present+0.23650107991360692 study+0.3077753779697624 such+0.0550755939524838 than+0.36069114470842334 then+0.19654427645788336 they+0.11663066954643629 time+0.24190064794816415 well+0.23002159827213822 work+0.2159827213822894 approach+0.12526997840172785 both+0.2267818574514039 case+0.1976241900647948 find+0.2688984881209503 has+0.3617710583153348 however+0.12095032397408208 its+0.27213822894168466 models+0.09287257019438445 single+0.09287257019438445 space+0.20518358531317496 structure+0.17278617710583152 these+0.08855291576673865 using+0.37257019438444927 2+0.4956803455723542 data+0.02591792656587473 it+0.5226781857451404 low+0.13390928725701945 model+0.026997840172786176 one+0.3326133909287257 order+0.20734341252699784 results+0.34773218142548595 show+0.4222462203023758 3+0.26241900647948163 their+0.23974082073434125 theory+0.23218142548596113 three+0.12095032397408208 used+0.132829373650108 while+0.265658747300216 where+0.20518358531317496 only+0.2159827213822894 under+0.10367170626349892 use+0.14578833693304535 most+0.2386609071274298 number+0.21274298056155508 properties+0.15226781857451405 each+0.05939524838012959 into+0.16630669546436286 method+0.11987041036717062 problem+0.1587473002159827 state+0.13174946004319654 but+0.2548596112311015 methods+0.0734341252699784 particular+0.15658747300215983 two+0.042116630669546434 analysis+0.04967602591792657 over+0.21166306695464362 function+0.1587473002159827 known+0.14254859611231102 proposed+0.08315334773218143 when+0.24622030237580994 non+0.0755939524838013 energy+0.07991360691144708 different+0.0734341252699784 new+0.25593952483801297 provide+0.14794816414686826 some+0.17926565874730022 given+0.15442764578833693 set+0.1447084233261339 here+0.1490280777537797 system+0.14146868250539957 any+0.18682505399568033 systems+0.10907127429805616 network+0.04103671706263499 many+0.0939524838012959 information+0.07883369330453564 performance+0.052915766738660906 there+0.1652267818574514 through+0.08315334773218143 based+0.009719222462203024 demonstrate+0.016198704103671708 propose+0.01511879049676026 high+0.052915766738660906 or+0.0032397408207343412
CLASS17: 1+0.326416057152577 3+0.1088620513692805 all+0.2030957645858139 also+0.444973634971934 approach+0.1991835346147304 based+0.341384589215853 function+0.15767987753019222 how+0.1311447525089301 it+0.4021092022452798 known+0.10546011226399048 methods+0.16023133185915972 new+0.2653512502126212 non+0.23456370130974655 one+0.2944378295628508 order+0.19578159550944038 particular+0.13624766116686512 results+0.43612859329818 show+0.38901173668991323 study+0.32250382718149345 analysis+0.23082156829392753 data+0.40670182003742134 demonstrate+0.14220105460112265 different+0.2964789930260248 due+0.15938084708283723 each+0.14271134546691613 energy+0.23354311957815954 high+0.25395475420989966 model+0.6291886375233884 or+0.15921075012757271 propose+0.1585303623065147 such+0.32743663888416397 these+0.4880081646538527 through+0.16465385269603675 between+0.34104439530532404 both+0.2935873447865283 but+0.23184215002551453 find+0.2629698928389182 method+0.21279129103589045 models+0.2622895050178602 not+0.3090661677155979 only+0.22605885354652153 paper+0.28270113964960025 present+0.2835516244259228 provide+0.16992685830923626 space+0.16023133185915972 time+0.2772580370811362 use+0.20972954584112943 used+0.22861030787548903 well+0.2707943527810852 while+0.18744684470147985 2+0.15121619323014118 case+0.14866473890117368 given+0.10920224527980948 however+0.20547712195951692 large+0.2779384249021942 other+0.18761694165674433 set+0.14577309066167715 under+0.11923796564041504 field+0.18965810511991835 here+0.1360775642116006 low+0.18897771729886034 mass+0.18234393604354482 some+0.1335261098826331 their+0.24323864602823608 using+0.4619833304983841 been+0.08249702330328287 first+0.10971253614560299 have+0.12042864432726655 into+0.07552304813743833 may+0.14288144242218065 more+0.2895050178601803 most+0.19323014118047288 state+0.18931791120938934 properties+0.17554005783296478 structure+0.15699948970913422 theory+0.1743493791461133 if+0.10477972444293247 its+0.07739411464534784 they+0.12842320122469808 any+0.10954243919033849 proposed+0.16924647048817826 two+0.07433236945058684 three+0.09933662187446844 over+0.1746895730566423 when+0.2223167205307025 has+0.10699098486137099 information+0.1350569824800136 than+0.31467936723932644 single+0.10767137268242899 many+0.12757271644837556 number+0.19340023813573737 system+0.19220955944888587 then+0.14015989113794863 problem+0.16244259227759822 where+0.06956965470318081 there+0.10222827011396496 work+0.12995407382207858 systems+0.16822588875659125 performance+0.13998979418268412 network+0.12723252253784656
CLASS18: 1+0.5676209279368213 2+0.45113524185587367 3+0.3020730503455084 data+0.45113524185587367 field+0.23395853899308983 function+0.1362290227048371 its+0.23395853899308983 low+0.23790720631786771 mass+0.2773938795656466 non+0.2744323790720632 number+0.16090819348469892 problem+0.11846001974333663 results+0.3840078973346496 study+0.33267522211253703 their+0.23593287265547877 theory+0.16683119447186576 three+0.15893385982230998 using+0.47581441263573543 analysis+0.22704837117472854 been+0.20236920039486672 energy+0.25074037512339586 has+0.3119447186574531 large+0.2773938795656466 models+0.1549851924975321 more+0.3188548864758144 new+0.2675222112537019 one+0.2675222112537019 such+0.029615004935834157 than+0.39684106614017767 through+0.08292201382033564 all+0.23099703849950642 approach+0.14313919052319843 based+0.3474827245804541 between+0.3711747285291214 but+0.055281342546890426 different+0.09871668311944719 have+0.39486673247778875 high+0.34945705824284307 however+0.16386969397828233 order+0.2033563672260612 present+0.3445212240868707 single+0.11154985192497532 space+0.15202369200394866 also+0.3810463968410661 due+0.17472852912142153 find+0.3198420533070089 show+0.36426456071076013 work+0.13129318854886476 case+0.12043435340572557 into+0.16386969397828233 known+0.09081934846989141 paper+0.22606120434353405 used+0.18361303060217177 well+0.05330700888450148 model+0.04146100691016782 other+0.1717670286278381 some+0.12339585389930899 first+0.29615004935834155 structure+0.1727541954590326 time+0.2665350444225074 both+0.263573543928924 many+0.0769990128331688 method+0.20434353405725567 then+0.1510365251727542 methods+0.11846001974333663 most+0.21717670286278382 use+0.16189536031589338 provide+0.0631786771964462 each+0.12931885488647582 if+0.09279368213228036 it+0.029615004935834157 or+0.42349457058242845 how+0.08489634748272458 where+0.11352418558736427 over+0.19151036525172754 state+0.040473840078973346 set+0.12931885488647582 these+0.1510365251727542 particular+0.08884501480750247 when+0.04837117472852912 not+0.24876604146100692 while+0.06515301085883514 they+0.05133267522211254 proposed+0.10661401776900296 here+0.13228035538005922 information+0.05133267522211254 propose+0.1016781836130306 only+0.16781836130306022 under+0.08588351431391905 any+0.11846001974333663 network+0.0700888450148075 system+0.15992102665350444 systems+0.1194471865745311 performance+0.1016781836130306 demonstrate+0.1194471865745311 properties+0.1727541954590326 given+0.09674234945705824 may+0.059230009871668314 there+0.11549851924975321 two+0.006910167818361303
CLASS19: 2+0.016408386508659983 also+0.45274992403524766 analysis+0.2127013065937405 but+0.24946824673351564 data+0.4357338195077484 have+0.43907626861136434 here+0.17654208447280462 if+0.1182011546642358 it+0.4296566393193558 its+0.30233971437253115 known+0.13521725919173502 large+0.2810695837131571 model+0.49225159525979945 models+0.2643573381950775 non+0.20510483135824978 set+0.14858705560619873 space+0.1577028258887876 structure+0.14858705560619873 these+0.4840474020054695 three+0.10635065329687025 time+0.2670920692798541 use+0.21087815253722272 using+0.42783348526283804 well+0.2637496201762382 where+0.16378000607718018 based+0.35004557885141296 between+0.28866605894864783 into+0.2333637192342753 low+0.17502278942570648 new+0.30689759951382556 number+0.18839258584017016 or+0.44971133394105134 study+0.09146156183530842 such+0.3889395320571255 there+0.13764813126709208 they+0.14676390154968094 through+0.0829535095715588 due+0.16165299301124278 energy+0.1929504709814646 however+0.2783348526283804 mass+0.1671224551807961 may+0.1671224551807961 particular+0.13126709206927986 show+0.36766940139775145 single+0.10817380735338802 work+0.27560012154360375 all+0.19993922819811608 approach+0.2084472804618657 field+0.05560619872379216 find+0.21027043451838348 more+0.3059860224855667 other+0.21087815253722272 provide+0.16469158310543908 some+0.15587967183226983 than+0.30264357338195075 theory+0.1470677605591006 used+0.2497721057429353 when+0.22941355211182013 function+0.1336979641446369 has+0.3628076572470374 high+0.27468854451534486 present+0.27955028866605897 any+0.13855970829535097 both+0.06563354603463993 first+0.07778790641142509 how+0.14129443938012762 results+0.3707079914919477 many+0.168034032209055 methods+0.17076876329383167 most+0.19963536918869645 not+0.35733819507748404 only+0.22789425706472197 over+0.18505013673655424 been+0.27377696748708596 order+0.04557885141294439 state+0.2093588574901246 under+0.10817380735338802 3+0.06411425098754178 proposed+0.1701610452749924 given+0.1078699483439684 their+0.27347310847766637 two+0.007596475235490732 while+0.07140686721361289 properties+0.08447280461865694 then+0.13521725919173502 information+0.16681859617137648 different+0.08629595867517471 network+0.17471893041628683 each+0.13430568216347616 systems+0.18474627772713462 paper+0.08052263749620177 one+0.03676694013977515 1+0.007596475235490732 case+0.05560619872379216 problem+0.16773017319963537 system+0.19386204800972348 method+0.2054086903676694 propose+0.1835308416894561 demonstrate+0.08173807353388028 performance+0.16438772409601946
