CLASS16: 1+0.5865051903114187 2+0.5155709342560554 3+0.26124567474048443 but+0.23529411764705882 given+0.15570934256055363 it+0.5986159169550173 large+0.21107266435986158 or+0.3875432525951557 particular+0.09169550173010381 some+0.10553633217993079 state+0.23875432525951557 two+0.6038062283737025 well+0.3356401384083045 also+0.41695501730103807 due+0.16608996539792387 energy+0.24567474048442905 field+0.2768166089965398 number+0.11937716262975778 their+0.2664359861591695 theory+0.21280276816608998 when+0.2422145328719723 any+0.15916955017301038 demonstrate+0.050173010380622836 how+0.08131487889273356 known+0.17993079584775087 set+0.13667820069204153 data+0.2698961937716263 each+0.05536332179930796 find+0.22491349480968859 models+0.10726643598615918 new+0.23356401384083045 not+0.42387543252595156 other+0.06747404844290658 where+0.4740484429065744 all+0.2647058823529412 case+0.2231833910034602 different+0.24048442906574394 function+0.15916955017301038 here+0.18339100346020762 however+0.17647058823529413 non+0.09342560553633218 one+0.36678200692041524 study+0.29238754325259514 there+0.10034602076124567 show+0.3633217993079585 structure+0.16089965397923875 both+0.2768166089965398 information+0.10726643598615918 low+0.1972318339100346 mass+0.14013840830449828 present+0.25259515570934254 provide+0.15916955017301038 than+0.10726643598615918 analysis+0.19550173010380623 first+0.24567474048442905 proposed+0.09515570934256055 between+0.07093425605536333 high+0.2093425605536332 if+0.14878892733564014 many+0.09342560553633218 methods+0.06401384083044982 only+0.2647058823529412 use+0.13494809688581316 using+0.07612456747404844 work+0.09342560553633218 approach+0.13667820069204153 based+0.25432525951557095 its+0.29411764705882354 space+0.1972318339100346 time+0.28027681660899656 over+0.157439446366782 through+0.031141868512110725 under+0.13321799307958476 used+0.1695501730103806 while+0.20242214532871972 into+0.03806228373702422 model+0.05536332179930796 order+0.07785467128027682 three+0.12802768166089964 system+0.21972318339100347 then+0.12975778546712802 they+0.10899653979238755 has+0.09688581314878893 more+0.19550173010380623 these+0.039792387543252594 performance+0.07439446366782007 single+0.15397923875432526 may+0.12283737024221453 been+0.03806228373702422 have+0.050173010380622836 propose+0.08131487889273356 systems+0.1245674740484429 problem+0.14705882352941177 paper+0.058823529411764705 results+0.025951557093425604 method+0.1384083044982699 most+0.06055363321799308 network+0.04671280276816609 properties+0.09515570934256055 such+0.020761245674740483
CLASS17: 1+0.45021645021645024 all+0.22727272727272727 also+0.36796536796536794 between+0.39826839826839827 both+0.3203463203463203 but+0.22510822510822512 data+0.49134199134199136 energy+0.25757575757575757 find+0.3463203463203463 method+0.2077922077922078 model+0.7142857142857143 models+0.24458874458874458 not+0.33116883116883117 only+0.08441558441558442 paper+0.2683982683982684 present+0.24025974025974026 provide+0.16233766233766234 space+0.170995670995671 study+0.34415584415584416 these+0.05844155844155844 time+0.07142857142857142 use+0.21212121212121213 used+0.25757575757575757 well+0.36363636363636365 while+0.2532467532467532 approach+0.20995670995670995 been+0.01948051948051948 field+0.21212121212121213 first+0.18181818181818182 has+0.04329004329004329 information+0.14502164502164502 new+0.24458874458874458 one+0.2532467532467532 structure+0.15800865800865802 theory+0.12121212121212122 through+0.15367965367965367 using+0.5043290043290043 2+0.39826839826839827 analysis+0.3181818181818182 case+0.1341991341991342 mass+0.22943722943722944 other+0.23593073593073594 based+0.37012987012987014 have+0.06060606060606061 high+0.27705627705627706 results+0.48484848484848486 such+0.31601731601731603 low+0.22727272727272727 number+0.15584415584415584 problem+0.10822510822510822 set+0.12337662337662338 some+0.08874458874458875 work+0.09090909090909091 its+0.19480519480519481 their+0.29653679653679654 three+0.1774891774891775 two+0.04112554112554113 3+0.21212121212121213 any+0.05411255411255411 if+0.045454545454545456 it+0.07142857142857142 large+0.09523809523809523 more+0.19047619047619047 most+0.19696969696969696 proposed+0.15367965367965367 state+0.24675324675324675 different+0.24458874458874458 non+0.0670995670995671 then+0.047619047619047616 due+0.07575757575757576 function+0.13636363636363635 here+0.10606060606060606 over+0.11471861471861472 propose+0.15367965367965367 particular+0.0670995670995671 properties+0.16666666666666666 when+0.05627705627705628 where+0.06060606060606061 given+0.11471861471861472 system+0.19047619047619047 performance+0.08441558441558442 than+0.09523809523809523 into+0.21428571428571427 may+0.05194805194805195 methods+0.1406926406926407 or+0.047619047619047616 order+0.047619047619047616 network+0.10606060606060606 demonstrate+0.12554112554112554 however+0.1277056277056277 each+0.15800865800865802 known+0.09740259740259741 how+0.04329004329004329 many+0.07575757575757576 systems+0.1341991341991342 single+0.10606060606060606 they+0.07792207792207792 under+0.08658008658008658 there+0.04112554112554113 show+0.017316017316017316
CLASS18: 1+0.4735099337748344 2+0.43973509933774835 3+0.27549668874172184 data+0.3841059602649007 field+0.247682119205298 function+0.1509933774834437 its+0.223841059602649 low+0.22450331125827813 mass+0.295364238410596 non+0.20397350993377483 number+0.16821192052980133 problem+0.1271523178807947 results+0.37880794701986753 study+0.3019867549668874 their+0.2609271523178808 theory+0.1317880794701987 three+0.1251655629139073 using+0.47218543046357614 all+0.24437086092715232 based+0.3132450331125828 have+0.3490066225165563 into+0.16490066225165562 properties+0.18013245033112582 single+0.13245033112582782 structure+0.15960264900662252 also+0.36887417218543045 analysis+0.27019867549668874 case+0.1152317880794702 energy+0.19933774834437087 only+0.18874172185430463 or+0.4185430463576159 particular+0.10331125827814569 present+0.2814569536423841 system+0.15827814569536425 than+0.3344370860927152 where+0.0781456953642384 work+0.07152317880794702 both+0.2390728476821192 demonstrate+0.09271523178807947 find+0.2980132450331126 how+0.07483443708609272 however+0.16821192052980133 large+0.2847682119205298 may+0.05364238410596026 models+0.14966887417218544 paper+0.2370860927152318 show+0.3536423841059603 space+0.15165562913907285 well+0.2662251655629139 any+0.11655629139072848 between+0.3562913907284768 first+0.25496688741721857 given+0.1119205298013245 information+0.038410596026490065 more+0.22913907284768212 new+0.24172185430463577 one+0.26225165562913905 order+0.19205298013245034 through+0.04768211920529802 it+0.06887417218543046 many+0.08211920529801324 not+0.29668874172185433 there+0.10198675496688742 time+0.28211920529801326 different+0.05562913907284768 other+0.1900662251655629 due+0.15562913907284767 set+0.1251655629139073 two+0.04039735099337748 model+0.038410596026490065 state+0.02185430463576159 under+0.10331125827814569 approach+0.12980132450331125 been+0.1947019867549669 has+0.2814569536423841 high+0.32384105960264903 used+0.19205298013245034 if+0.11920529801324503 method+0.16622516556291392 provide+0.05033112582781457 most+0.21059602649006623 use+0.15827814569536425 propose+0.08543046357615894 proposed+0.11456953642384106 these+0.07483443708609272 then+0.14635761589403973 when+0.04966887417218543 known+0.11589403973509933 some+0.11059602649006622 while+0.07417218543046358 here+0.11589403973509933 network+0.07086092715231788 performance+0.08675496688741721 methods+0.09735099337748344 over+0.19536423841059603 such+0.012582781456953643 each+0.12649006622516556 but+0.056291390728476824 systems+0.11788079470198676 they+0.041721854304635764
CLASS19: analysis+0.26 any+0.16 approach+0.16 based+0.27 different+0.33 given+0.23 has+0.35 its+0.39 one+0.26 present+0.31 properties+0.31 results+0.42 single+0.14 study+0.37 such+0.41 systems+0.21 than+0.25 then+0.15 theory+0.26 1+0.38 find+0.2 here+0.25 how+0.08 only+0.17 order+0.2 other+0.16 problem+0.08 show+0.41 these+0.43 under+0.19 where+0.08 while+0.12 all+0.23 been+0.29 each+0.2 have+0.37 however+0.2 information+0.07 it+0.64 may+0.13 some+0.12 structure+0.16 their+0.45 there+0.13 they+0.14 time+0.18 also+0.42 new+0.28 particular+0.25 state+0.19 first+0.21 number+0.11 space+0.19 three+0.15 case+0.17 due+0.12 into+0.16 large+0.01 method+0.17 most+0.03 paper+0.33 proposed+0.15 set+0.15 system+0.17 3+0.13 methods+0.08 performance+0.08 over+0.27 work+0.13 demonstrate+0.08 low+0.1 network+0.08 through+0.13 2+0.14 if+0.13 used+0.03 propose+0.09 function+0.06 many+0.07 high+0.2 using+0.04 well+0.03 field+0.31 non+0.09 not+0.02 mass+0.03 known+0.08 use+0.01 provide+0.05 but+0.01 models+0.01 both+0.01 model+0.01 when+0.01 or+0.01
CLASS2: 1+0.47384971863621317 3+0.13952333664349553 all+0.25918570009930486 also+0.3957298907646475 approach+0.1696458126448196 based+0.32687851704733534 function+0.1529294935451837 how+0.11403508771929824 it+0.5107580271433301 known+0.12396557431314134 methods+0.1355511420059583 new+0.2747434624296591 non+0.2540549486924859 one+0.39076464746772593 order+0.20489904005296258 particular+0.12843429328037073 results+0.39937106918238996 show+0.43412777226084076 study+0.2768950678583251 2+0.36875206885137374 analysis+0.09599470374048329 any+0.14018536908308507 data+0.3182720953326713 field+0.09996689837802052 first+0.286329030122476 has+0.3311817279046673 high+0.2005958291956306 into+0.19877523998675936 low+0.0903674280039722 mass+0.13803376365441908 may+0.12876530950016551 model+0.4634227077126779 models+0.1342270771267792 over+0.1792452830188679 than+0.27672955974842767 their+0.08606421714664018 time+0.33068520357497516 two+0.5925190334326382 well+0.08606421714664018 between+0.3477325388944058 both+0.277722608407812 energy+0.09102946044356174 most+0.20440251572327045 number+0.20787818603111552 properties+0.12826878517047335 using+0.1178417742469381 been+0.17891426679907316 different+0.2469380999668984 have+0.28599801390268126 however+0.1717974180734856 or+0.37868255544521684 other+0.22823568354849388 propose+0.18454154253558425 state+0.22012578616352202 there+0.18553459119496854 when+0.2457795431976167 but+0.18818272095332672 case+0.17990731545845745 find+0.20721615359152598 more+0.2469380999668984 only+0.22922873220787818 present+0.20423700761337304 set+0.15061238000662033 space+0.18520357497517378 they+0.09880834160873883 demonstrate+0.12909632571996027 paper+0.3583250579278385 through+0.13306852035749753 where+0.29808010592519035 its+0.2677921218139689 problem+0.2269116186693148 provide+0.13505461767626614 structure+0.14895729890764647 such+0.3522012578616352 theory+0.16385302879841113 due+0.13522012578616352 use+0.1585567692816948 work+0.14680569347898048 if+0.1663356504468719 large+0.12264150943396226 not+0.10592519033432639 single+0.13869579609400862 while+0.2345249917245945 some+0.09996689837802052 system+0.21416749420721615 then+0.1951340615690169 systems+0.13902681231380337 these+0.10592519033432639 three+0.13819927176431646 under+0.1411784177424694 information+0.14448857994041708 proposed+0.1938099966898378 given+0.09549817941079113 used+0.07977490897053956 many+0.11420059582919563 here+0.05991393578285336 method+0.17907977490897053 each+0.19894074809665674 network+0.13786825554452167 performance+0.1441575637206223
CLASS3: 2+0.2445414847161572 between+0.37117903930131 both+0.26200873362445415 but+0.22270742358078602 data+0.3624454148471616 energy+0.3406113537117904 function+0.048034934497816595 large+0.37554585152838427 mass+0.32751091703056767 model+0.5152838427947598 models+0.2314410480349345 more+0.26200873362445415 most+0.2183406113537118 non+0.10043668122270742 not+0.34497816593886466 or+0.4585152838427948 provide+0.13537117903930132 some+0.10480349344978165 two+0.537117903930131 use+0.1572052401746725 been+0.2183406113537118 case+0.13100436681222707 has+0.314410480349345 have+0.34934497816593885 one+0.09170305676855896 state+0.15283842794759825 where+0.5109170305676856 1+0.13100436681222707 3+0.06550218340611354 all+0.056768558951965066 different+0.27510917030567683 due+0.2838427947598253 find+0.36681222707423583 however+0.2838427947598253 order+0.1091703056768559 over+0.14847161572052403 problem+0.14847161572052403 proposed+0.15283842794759825 space+0.20087336244541484 structure+0.10480349344978165 used+0.20087336244541484 work+0.08733624454148471 only+0.2314410480349345 paper+0.27510917030567683 particular+0.048034934497816595 study+0.07423580786026202 than+0.27074235807860264 demonstrate+0.13100436681222707 if+0.11353711790393013 it+0.043668122270742356 low+0.23580786026200873 may+0.12663755458515283 their+0.31004366812227074 there+0.15283842794759825 high+0.35807860262008734 many+0.08733624454148471 propose+0.06550218340611354 theory+0.08733624454148471 they+0.13537117903930132 given+0.1222707423580786 properties+0.13537117903930132 while+0.05240174672489083 any+0.09170305676855896 number+0.1703056768558952 present+0.25327510917030566 field+0.22270742358078602 single+0.09170305676855896 into+0.21397379912663755 its+0.2314410480349345 time+0.27074235807860264 information+0.10043668122270742 first+0.24017467248908297 how+0.021834061135371178 these+0.03056768558951965 here+0.1703056768558952 then+0.12663755458515283 each+0.13100436681222707 method+0.10043668122270742 other+0.17467248908296942 system+0.17467248908296942 analysis+0.16593886462882096 new+0.043668122270742356 systems+0.16593886462882096 through+0.07423580786026202 when+0.19213973799126638 also+0.026200873362445413 three+0.11790393013100436 set+0.08296943231441048 under+0.07423580786026202 performance+0.10043668122270742 network+0.09170305676855896 methods+0.026200873362445413 such+0.056768558951965066 known+0.039301310043668124 approach+0.03056768558951965 show+0.03056768558951965 using+0.026200873362445413 based+0.021834061135371178 results+0.026200873362445413 well+0.05240174672489083
CLASS4: 1+0.4684563758389262 2+0.3959731543624161 3+0.2778523489932886 been+0.24026845637583893 both+0.28859060402684567 data+0.40671140939597317 find+0.2483221476510067 first+0.20671140939597316 has+0.35570469798657717 have+0.3476510067114094 if+0.10201342281879194 its+0.2348993288590604 new+0.3100671140939597 number+0.16644295302013423 one+0.3046979865771812 only+0.16375838926174496 other+0.19731543624161074 results+0.3865771812080537 study+0.19328859060402684 theory+0.056375838926174496 there+0.11275167785234899 through+0.13691275167785236 well+0.3503355704697987 when+0.17583892617449665 while+0.22684563758389262 work+0.14630872483221477 analysis+0.2738255033557047 field+0.052348993288590606 low+0.25771812080536916 mass+0.26308724832214764 may+0.1342281879194631 model+0.5275167785234899 order+0.15436241610738255 single+0.11140939597315436 than+0.26174496644295303 two+0.5369127516778524 energy+0.2536912751677852 large+0.3651006711409396 models+0.24026845637583893 more+0.22281879194630871 such+0.31140939597315437 using+0.06174496644295302 also+0.338255033557047 case+0.10201342281879194 different+0.24026845637583893 here+0.12080536912751678 methods+0.14228187919463087 present+0.27114093959731544 propose+0.11677852348993288 structure+0.16778523489932887 where+0.052348993288590606 it+0.04161073825503356 not+0.05100671140939597 some+0.13691275167785236 their+0.3208053691275168 paper+0.2697986577181208 these+0.15033557046979865 used+0.20939597315436242 all+0.20268456375838925 based+0.312751677852349 demonstrate+0.12080536912751678 each+0.11946308724832215 given+0.042953020134228186 how+0.07516778523489932 particular+0.09395973154362416 three+0.15704697986577182 however+0.1919463087248322 into+0.04429530201342282 proposed+0.16375838926174496 set+0.10604026845637583 state+0.20939597315436242 approach+0.14496644295302014 due+0.18791946308724833 function+0.10469798657718121 high+0.3503355704697987 many+0.13020134228187918 they+0.11677852348993288 but+0.04697986577181208 most+0.23624161073825503 under+0.0953020134228188 system+0.17718120805369128 systems+0.15838926174496645 provide+0.15704697986577182 space+0.036241610738255034 known+0.07919463087248323 or+0.025503355704697986 properties+0.1691275167785235 any+0.0738255033557047 non+0.03355704697986577 use+0.1651006711409396 time+0.06711409395973154 over+0.06845637583892618 then+0.040268456375838924 problem+0.11409395973154363 information+0.06577181208053691 show+0.022818791946308724 method+0.14630872483221477 between+0.06442953020134229 performance+0.15167785234899328 network+0.11275167785234899
CLASS5: 3+0.13153846153846155 analysis+0.2153846153846154 energy+0.17846153846153845 field+0.19884615384615384 given+0.15076923076923077 here+0.135 large+0.2826923076923077 low+0.19 mass+0.15 models+0.13884615384615384 not+0.3503846153846154 some+0.16615384615384615 their+0.08346153846153846 these+0.455 used+0.2 using+0.4238461538461539 all+0.2273076923076923 also+0.41346153846153844 approach+0.18653846153846154 based+0.33192307692307693 due+0.14846153846153845 first+0.28 have+0.07038461538461538 high+0.2753846153846154 however+0.17615384615384616 into+0.19 may+0.13230769230769232 or+0.10153846153846154 results+0.43923076923076926 space+0.21076923076923076 such+0.3719230769230769 then+0.18076923076923077 through+0.1280769230769231 two+0.551923076923077 use+0.1676923076923077 well+0.2642307692307692 where+0.4207692307692308 work+0.145 1+0.37153846153846154 2+0.14692307692307693 its+0.23923076923076922 many+0.11192307692307692 method+0.19923076923076924 new+0.27884615384615385 only+0.24923076923076923 set+0.15269230769230768 systems+0.15730769230769232 theory+0.14846153846153845 time+0.28307692307692306 data+0.34923076923076923 propose+0.16384615384615384 state+0.19384615384615383 three+0.12923076923076923 any+0.13423076923076924 but+0.22 has+0.2815384615384615 known+0.13153846153846155 other+0.18730769230769231 provide+0.18923076923076923 different+0.06461538461538462 most+0.17884615384615385 one+0.12461538461538461 order+0.19884615384615384 show+0.42423076923076924 single+0.12384615384615384 structure+0.14807692307692308 study+0.24769230769230768 particular+0.13230769230769232 demonstrate+0.13384615384615384 how+0.11423076923076923 paper+0.3 number+0.21461538461538462 present+0.25076923076923074 if+0.12307692307692308 it+0.08076923076923077 model+0.09115384615384615 network+0.10576923076923077 over+0.1996153846153846 properties+0.15076923076923077 each+0.1823076923076923 while+0.14576923076923076 more+0.05038461538461538 than+0.20192307692307693 function+0.16 been+0.13923076923076924 system+0.2103846153846154 case+0.15730769230769232 non+0.08153846153846153 they+0.10538461538461538 under+0.14615384615384616 information+0.13653846153846153 between+0.07307692307692308 methods+0.13615384615384615 proposed+0.17423076923076924 when+0.235 both+0.07730769230769231 find+0.060384615384615384 there+0.1376923076923077 problem+0.19038461538461537 performance+0.13115384615384615
CLASS6: between+0.3132420091324201 demonstrate+0.11735159817351598 each+0.15114155251141553 has+0.29269406392694064 have+0.34840182648401824 into+0.18995433789954339 large+0.32465753424657534 mass+0.22602739726027396 model+0.4995433789954338 most+0.18310502283105023 non+0.10228310502283106 number+0.23059360730593606 order+0.20684931506849316 other+0.19863013698630136 paper+0.2954337899543379 particular+0.09452054794520548 results+0.4383561643835616 such+0.38447488584474887 than+0.1136986301369863 there+0.14429223744292238 these+0.491324200913242 through+0.1178082191780822 all+0.25159817351598174 any+0.14063926940639268 but+0.16027397260273973 first+0.2324200913242009 function+0.16529680365296803 its+0.22100456621004566 low+0.19452054794520549 or+0.3872146118721461 over+0.1958904109589041 propose+0.14018264840182648 space+0.1872146118721461 then+0.0863013698630137 using+0.4095890410958904 1+0.4529680365296804 2+0.410958904109589 energy+0.0776255707762557 high+0.2415525114155251 may+0.15205479452054796 new+0.28356164383561644 problem+0.19223744292237444 show+0.39771689497716894 structure+0.13059360730593608 theory+0.17990867579908676 well+0.25981735159817354 where+0.4383561643835616 while+0.21963470319634704 given+0.15114155251141553 how+0.11598173515981736 however+0.1593607305936073 it+0.05251141552511415 models+0.20136986301369864 used+0.19954337899543378 3+0.22054794520547946 analysis+0.1954337899543379 approach+0.07671232876712329 based+0.29269406392694064 been+0.19817351598173516 data+0.09360730593607305 information+0.10273972602739725 more+0.2136986301369863 use+0.1593607305936073 case+0.14292237442922373 known+0.1365296803652968 one+0.29406392694063926 three+0.047488584474885846 also+0.3721461187214612 if+0.11461187214611872 under+0.12968036529680366 field+0.2100456621004566 proposed+0.1365296803652968 provide+0.17077625570776256 their+0.11917808219178082 many+0.14429223744292238 they+0.1232876712328767 not+0.050684931506849315 only+0.19360730593607306 properties+0.10593607305936073 systems+0.15616438356164383 two+0.019634703196347032 different+0.23333333333333334 time+0.3150684931506849 both+0.06575342465753424 due+0.14520547945205478 present+0.24429223744292236 work+0.18767123287671234 find+0.10776255707762557 study+0.07442922374429224 methods+0.1187214611872146 here+0.13972602739726028 system+0.18904109589041096 some+0.15844748858447488 state+0.07442922374429224 set+0.1506849315068493 single+0.046118721461187215 when+0.108675799086758 method+0.17031963470319636 performance+0.10821917808219178 network+0.1132420091324201
CLASS7: 2+0.16220472440944883 3+0.06771653543307087 also+0.12283464566929134 analysis+0.24566929133858267 based+0.35118110236220473 both+0.30393700787401573 data+0.41732283464566927 find+0.1921259842519685 mass+0.07086614173228346 method+0.23622047244094488 methods+0.19370078740157481 model+0.5165354330708661 models+0.2078740157480315 most+0.1795275590551181 new+0.30551181102362207 non+0.28346456692913385 properties+0.14803149606299212 provide+0.11811023622047244 results+0.44881889763779526 show+0.38110236220472443 space+0.2125984251968504 study+0.15905511811023623 these+0.46141732283464565 three+0.16220472440944883 using+0.45984251968503936 well+0.14488188976377953 has+0.19370078740157481 its+0.25826771653543307 number+0.1795275590551181 one+0.33228346456692914 only+0.2078740157480315 order+0.1968503937007874 some+0.09291338582677165 state+0.2551181102362205 systems+0.2062992125984252 their+0.2755905511811024 two+0.5149606299212598 into+0.1984251968503937 it+0.4204724409448819 where+0.35748031496062993 while+0.25826771653543307 energy+0.215748031496063 function+0.16377952755905512 known+0.09763779527559055 large+0.13543307086614173 given+0.13228346456692913 they+0.047244094488188976 used+0.22362204724409449 when+0.2078740157480315 approach+0.2047244094488189 how+0.07086614173228346 work+0.2346456692913386 case+0.15748031496062992 here+0.1921259842519685 high+0.2566929133858268 low+0.1826771653543307 over+0.15905511811023623 proposed+0.2141732283464567 set+0.11653543307086614 structure+0.18740157480314962 system+0.262992125984252 demonstrate+0.16535433070866143 or+0.3637795275590551 may+0.01889763779527559 particular+0.11968503937007874 present+0.12440944881889764 theory+0.16850393700787403 through+0.14960629921259844 each+0.16535433070866143 problem+0.1952755905511811 then+0.05826771653543307 different+0.27874015748031494 there+0.10393700787401575 field+0.031496062992125984 use+0.1984251968503937 single+0.12440944881889764 first+0.06929133858267716 all+0.028346456692913385 information+0.14173228346456693 more+0.03779527559055118 between+0.07401574803149606 but+0.11496062992125984 time+0.12598425196850394 propose+0.17480314960629922 however+0.16535433070866143 any+0.10551181102362205 many+0.10551181102362205 been+0.03622047244094488 under+0.12755905511811025 not+0.011023622047244094 network+0.13070866141732285 such+0.011023622047244094 performance+0.1952755905511811 than+0.05511811023622047 other+0.02047244094488189 paper+0.07874015748031496 due+0.01889763779527559 have+0.023622047244094488 if+0.01732283464566929 1+0.014173228346456693
CLASS8: 2+0.1851032448377581 also+0.07264011799410029 analysis+0.234882005899705 but+0.17883480825958703 data+0.3938053097345133 have+0.31563421828908556 here+0.1301622418879056 if+0.09918879056047197 it+0.4771386430678466 its+0.24705014749262535 known+0.12868731563421829 large+0.26327433628318586 model+0.5125368731563422 models+0.20612094395280237 non+0.21644542772861358 set+0.1467551622418879 space+0.1430678466076696 structure+0.17883480825958703 these+0.431047197640118 three+0.14712389380530974 time+0.3023598820058997 use+0.17146017699115043 using+0.42551622418879054 well+0.2783923303834808 where+0.3864306784660767 1+0.10656342182890856 3+0.10324483775811209 all+0.2193952802359882 any+0.11578171091445427 both+0.29535398230088494 high+0.04682890855457227 mass+0.07853982300884955 more+0.21054572271386432 most+0.08997050147492626 not+0.28502949852507375 particular+0.1301622418879056 proposed+0.2205014749262537 state+0.22676991150442477 study+0.2584808259587021 two+0.49815634218289084 been+0.21386430678466076 function+0.16150442477876106 has+0.29129793510324486 only+0.19469026548672566 order+0.1987463126843658 other+0.1873156342182891 over+0.1862094395280236 provide+0.06710914454277286 used+0.2525811209439528 when+0.09918879056047197 work+0.22013274336283187 between+0.3573008849557522 energy+0.0855457227138643 into+0.21238938053097345 number+0.18805309734513273 present+0.22418879056047197 results+0.3941740412979351 system+0.22566371681415928 find+0.0612094395280236 new+0.29019174041297935 propose+0.17772861356932154 single+0.12868731563421829 theory+0.1707227138643068 different+0.28171091445427726 than+0.2142330383480826 there+0.06342182890855458 field+0.20464601769911506 such+0.04609144542772861 systems+0.1541297935103245 approach+0.21460176991150443 demonstrate+0.1592920353982301 due+0.14085545722713863 however+0.10619469026548672 information+0.15117994100294985 many+0.12205014749262537 their+0.25147492625368734 first+0.2946165191740413 given+0.13053097345132744 may+0.11393805309734513 case+0.15007374631268436 through+0.14564896755162243 based+0.3746312684365782 then+0.18842182890855458 while+0.07042772861356932 paper+0.32042772861356933 properties+0.15523598820058998 some+0.12094395280235988 how+0.09734513274336283 each+0.1836283185840708 low+0.08333333333333333 or+0.09771386430678466 problem+0.18067846607669616 one+0.05235988200589971 under+0.13716814159292035 show+0.019174041297935103 they+0.10471976401179942 method+0.22382005899705015 methods+0.16851032448377581 performance+0.1747787610619469 network+0.17035398230088494
