CLASS4: 1+0.423828125 2+0.357421875 3+0.25390625 been+0.240234375 both+0.28125 data+0.419921875 find+0.24609375 first+0.185546875 has+0.3671875 have+0.341796875 if+0.080078125 its+0.232421875 new+0.40234375 number+0.185546875 one+0.265625 only+0.185546875 other+0.259765625 results+0.3671875 study+0.17578125 theory+0.046875 there+0.109375 through+0.14453125 well+0.40234375 when+0.23046875 while+0.2265625 work+0.138671875 analysis+0.318359375 field+0.068359375 low+0.23046875 mass+0.21875 may+0.134765625 model+0.48828125 order+0.14453125 single+0.109375 than+0.234375 two+0.541015625 energy+0.2109375 large+0.41796875 models+0.228515625 more+0.22265625 such+0.357421875 using+0.025390625 also+0.376953125 however+0.189453125 into+0.060546875 proposed+0.224609375 set+0.123046875 state+0.23828125 approach+0.15625 based+0.376953125 due+0.20703125 function+0.138671875 high+0.353515625 structure+0.16796875 these+0.078125 different+0.28125 many+0.15234375 present+0.267578125 propose+0.1484375 they+0.115234375 provide+0.15234375 space+0.05078125 all+0.255859375 here+0.0859375 properties+0.150390625 any+0.080078125 most+0.22265625 their+0.2421875 three+0.1484375 use+0.1796875 time+0.05078125 over+0.068359375 some+0.10546875 demonstrate+0.16015625 particular+0.123046875 problem+0.134765625 case+0.08203125 paper+0.318359375 systems+0.177734375 used+0.212890625 given+0.037109375 under+0.095703125 information+0.080078125 each+0.12890625 not+0.021484375 show+0.0625 known+0.111328125 methods+0.1640625 method+0.16796875 system+0.177734375 then+0.0625 how+0.064453125 or+0.033203125 performance+0.201171875 network+0.162109375 it+0.037109375 between+0.03125 but+0.048828125 non+0.025390625 where+0.01953125
CLASS5: been+0.23737373737373738 data+0.4078282828282828 energy+0.2398989898989899 have+0.3421717171717172 into+0.2361111111111111 its+0.22474747474747475 large+0.31186868686868685 many+0.09974747474747475 model+0.45202020202020204 models+0.24368686868686867 not+0.29545454545454547 one+0.05808080808080808 other+0.1830808080808081 particular+0.05808080808080808 properties+0.15404040404040403 proposed+0.15025252525252525 such+0.398989898989899 well+0.3787878787878788 analysis+0.21464646464646464 any+0.09217171717171717 but+0.22474747474747475 has+0.28535353535353536 high+0.2967171717171717 known+0.07828282828282829 low+0.2222222222222222 mass+0.2398989898989899 provide+0.1351010101010101 theory+0.17045454545454544 used+0.23863636363636365 using+0.3547979797979798 between+0.3484848484848485 find+0.24621212121212122 however+0.22727272727272727 if+0.13005050505050506 may+0.16666666666666666 most+0.19823232323232323 space+0.19823232323232323 study+0.039141414141414144 these+0.42424242424242425 use+0.13762626262626262 when+0.25126262626262624 where+0.38636363636363635 approach+0.047979797979797977 more+0.24242424242424243 or+0.5138888888888888 propose+0.125 than+0.2537878787878788 3+0.06565656565656566 case+0.12626262626262627 present+0.24368686868686867 structure+0.16414141414141414 three+0.13131313131313133 two+0.4494949494949495 under+0.1111111111111111 2+0.1590909090909091 both+0.25126262626262624 different+0.27904040404040403 due+0.19570707070707072 function+0.05555555555555555 non+0.05808080808080808 only+0.20707070707070707 then+0.14015151515151514 through+0.1388888888888889 new+0.09848484848484848 field+0.23737373737373738 set+0.12373737373737374 state+0.2222222222222222 there+0.16540404040404041 they+0.14393939393939395 all+0.05555555555555555 number+0.1553030303030303 over+0.14646464646464646 results+0.010101010101010102 how+0.07196969696969698 work+0.16540404040404041 first+0.22095959595959597 paper+0.19696969696969696 single+0.1527777777777778 1+0.041666666666666664 here+0.17676767676767677 system+0.19065656565656566 given+0.09343434343434344 show+0.0707070707070707 some+0.10479797979797979 problem+0.11616161616161616 demonstrate+0.11868686868686869 order+0.05303030303030303 their+0.15025252525252525 time+0.2601010101010101 systems+0.1830808080808081 also+0.054292929292929296 while+0.04292929292929293 information+0.11363636363636363 method+0.13636363636363635 each+0.13762626262626262 it+0.022727272727272728 performance+0.09722222222222222 network+0.10732323232323232 methods+0.05808080808080808 based+0.050505050505050504
CLASS6: analysis+0.19346938775510203 based+0.3383673469387755 between+0.28122448979591835 data+0.14 if+0.12285714285714286 into+0.21020408163265306 large+0.2914285714285714 low+0.17877551020408164 model+0.4151020408163265 new+0.336734693877551 non+0.15836734693877552 number+0.2363265306122449 or+0.463265306122449 space+0.1926530612244898 study+0.04897959183673469 such+0.43918367346938775 there+0.15714285714285714 these+0.4595918367346939 they+0.11387755102040817 through+0.13142857142857142 using+0.3457142857142857 well+0.28816326530612246 both+0.07673469387755102 but+0.17265306122448978 energy+0.07142857142857142 high+0.23959183673469386 how+0.1293877551020408 its+0.21836734693877552 mass+0.15918367346938775 show+0.49918367346938775 some+0.17795918367346938 theory+0.20489795918367346 where+0.49795918367346936 all+0.27224489795918366 any+0.14979591836734693 each+0.15714285714285714 first+0.19918367346938776 function+0.1673469387755102 order+0.19020408163265307 over+0.1946938775510204 propose+0.16489795918367348 then+0.08489795918367347 1+0.47714285714285715 2+0.35551020408163264 has+0.29836734693877554 may+0.13428571428571429 problem+0.21714285714285714 structure+0.12897959183673469 while+0.16612244897959183 different+0.22612244897959183 field+0.19183673469387755 find+0.11918367346938775 most+0.18571428571428572 one+0.25795918367346937 only+0.19142857142857142 3+0.21428571428571427 approach+0.07102040816326531 been+0.1893877551020408 information+0.13142857142857142 models+0.19510204081632654 more+0.22 paper+0.2820408163265306 particular+0.11591836734693878 results+0.3926530612244898 than+0.14448979591836736 use+0.15877551020408162 used+0.21959183673469387 case+0.14653061224489797 known+0.14244897959183672 three+0.05061224489795919 also+0.38285714285714284 it+0.05755102040816327 work+0.24244897959183673 time+0.29428571428571426 due+0.14857142857142858 have+0.32816326530612244 however+0.15755102040816327 present+0.23061224489795917 demonstrate+0.1306122448979592 network+0.11714285714285715 properties+0.0963265306122449 set+0.17469387755102042 provide+0.17795918367346938 when+0.12693877551020408 other+0.19918367346938776 not+0.04204081632653061 system+0.19306122448979593 given+0.16285714285714287 state+0.12244897959183673 many+0.1493877551020408 single+0.06326530612244897 here+0.13428571428571429 under+0.13877551020408163 methods+0.13918367346938776 proposed+0.14244897959183672 method+0.18040816326530612 systems+0.1657142857142857 two+0.02857142857142857 their+0.0563265306122449 performance+0.11591836734693878
CLASS7: also+0.40694954894754426 both+0.28366187771466755 but+0.19779485466087537 case+0.13665218843969262 demonstrate+0.15569662545940527 how+0.15035081857667892 it+0.48346140995656534 its+0.24490477781490144 many+0.15803541597059806 more+0.21984630805212163 most+0.2352155028399599 new+0.3651854326762446 one+0.28399599064483794 other+0.07383895756765786 show+0.45272302038088874 these+0.4884731039091213 through+0.140327430671567 used+0.13464751085867024 using+0.3855663214166388 2+0.05045105245573004 data+0.4022719679251587 different+0.2759772803207484 energy+0.10324089542265286 first+0.24791179418643502 has+0.3177413965920481 high+0.2626127631139325 model+0.4477113264283328 order+0.18910791847644504 present+0.23087203474774473 results+0.40594721015703306 three+0.13030404276645507 use+0.18843969261610424 well+0.3073838957567658 work+0.32141663882392246 3+0.030738389575676577 analysis+0.21984630805212163 based+0.362178416304711 find+0.20280654861343134 mass+0.0410958904109589 method+0.19913130638155696 methods+0.18242565987303708 models+0.22619445372535918 non+0.22719679251587035 properties+0.1540260608085533 provide+0.17841630471099232 space+0.19545606414968258 study+0.25425993985967255 all+0.2111593718676913 between+0.3434680922151687 function+0.1536919478783829 have+0.31540260608085535 into+0.221850985633144 number+0.05746742398930839 over+0.15970598062145006 state+0.2766455061810892 system+0.20013364517206816 two+0.4847978616772469 approach+0.22352155028399598 given+0.11393250918810557 not+0.2632809889742733 or+0.029401937854994988 performance+0.17741396592048111 propose+0.16237888406281323 set+0.14166388239224859 field+0.19211493484797862 theory+0.20314066154360175 under+0.13531573671901104 structure+0.19846308052121617 information+0.17574340126962915 single+0.05913798864016037 their+0.2592716338122285 where+0.21383227530905446 while+0.22652856665552956 they+0.12395589709321751 when+0.22886735716672235 been+0.23822251921149348 due+0.15035081857667892 here+0.14734380220514534 low+0.17139993317741398 some+0.13030404276645507 however+0.195790177079853 proposed+0.21516872702973605 any+0.10157033077180087 large+0.11460073504844638 there+0.13531573671901104 time+0.09388573337788172 paper+0.2946876044102907 network+0.16070831941196123 only+0.049448713665218844 each+0.04811226194453725 then+0.16471767457400602 particular+0.05913798864016037 known+0.12996992983628466 than+0.0704978282659539 such+0.05846976277981958 systems+0.17674574006014032 problem+0.19011025726695624 may+0.04042766455061811 1+0.00968927497494153 if+0.012362178416304711
CLASS8: 2+0.14910150558523555 also+0.09664885866925692 analysis+0.24575036425449248 but+0.19961146187469644 data+0.4254492472073822 have+0.2923749392909179 here+0.12044681884409908 if+0.09859154929577464 it+0.4968431277319087 its+0.2525497814473045 known+0.1267605633802817 large+0.30063137445361826 model+0.4618746964545896 models+0.20301117047110248 non+0.21369596891694997 set+0.1758135016998543 space+0.1665857212238951 structure+0.18067022826614862 these+0.4638173870811073 three+0.1452161243322001 time+0.30645944633317146 use+0.174356483729966 using+0.3885381253035454 well+0.31423020883924235 where+0.39970859640602235 1+0.053909664885866924 been+0.22243807673627974 both+0.27634774162214665 different+0.3103448275862069 first+0.2710053423992229 how+0.10636231180184555 into+0.2627489072365226 may+0.1267605633802817 more+0.22875182127246235 most+0.04953861097620204 new+0.3972802331228752 not+0.2642059252064109 only+0.21078193297717338 provide+0.05925206410879068 results+0.3773676542010685 state+0.2923749392909179 their+0.23749392909179212 used+0.29286061194754737 any+0.1223895094706168 between+0.32005828071879555 given+0.13113161728994657 information+0.1724137931034483 one+0.055366682855755224 order+0.18358426420592522 present+0.2219524040796503 than+0.2277804759592035 through+0.15735794074793588 3+0.1010199125789218 function+0.16027197668771248 has+0.31471588149587176 other+0.2127246236036911 over+0.19329771733851384 particular+0.16270033997085964 two+0.43807673627974747 when+0.08644973288003885 work+0.2370082564351627 mass+0.05925206410879068 paper+0.32102962603205437 study+0.23895094706168044 system+0.22680913064594463 theory+0.19718309859154928 all+0.2540067994171928 method+0.2462360369111219 propose+0.2292374939290918 approach+0.2340942204953861 while+0.10053423992229238 energy+0.07042253521126761 find+0.0505099562894609 single+0.15201554152501215 demonstrate+0.19184069936862555 due+0.15201554152501215 however+0.10781932977173385 or+0.1253035454103934 number+0.22680913064594463 they+0.10781932977173385 case+0.1525012141816416 based+0.4050509956289461 proposed+0.24089363768819816 then+0.19621175327829043 field+0.19669742593491987 properties+0.14715881495871783 some+0.13404565322972317 there+0.042739193783389993 each+0.21321029626032054 low+0.03254006799417193 problem+0.20543953375424964 such+0.10150558523555124 under+0.1437591063623118 high+0.053423992229237494 many+0.12627489072365225 methods+0.18164157357940747 performance+0.17095677513355997 show+0.027683341427877612 systems+0.16901408450704225 network+0.1714424477901894
CLASS9: analysis+0.248 energy+0.248 field+0.256 function+0.16 may+0.112 non+0.216 number+0.24 order+0.088 results+0.44 structure+0.192 study+0.32 such+0.296 theory+0.104 two+0.536 where+0.496 1+0.504 2+0.496 into+0.056 paper+0.344 three+0.112 3+0.08 both+0.296 data+0.384 more+0.24 most+0.184 new+0.064 present+0.184 provide+0.152 show+0.616 than+0.256 through+0.12 using+0.32 given+0.152 known+0.088 problem+0.088 these+0.408 time+0.168 when+0.224 here+0.152 particular+0.128 properties+0.16 propose+0.128 state+0.056 system+0.2 while+0.184 high+0.328 its+0.2 large+0.36 over+0.176 well+0.136 based+0.32 demonstrate+0.176 low+0.16 first+0.064 proposed+0.144 used+0.216 each+0.096 information+0.056 systems+0.088 if+0.136 network+0.08 performance+0.096 space+0.184 there+0.144 approach+0.08 due+0.136 single+0.168 any+0.12 then+0.096 case+0.08 methods+0.096 has+0.024 how+0.04 many+0.032 set+0.056 all+0.04 use+0.104 have+0.016 they+0.016 method+0.048 their+0.192 only+0.024 one+0.016 some+0.064 work+0.032 mass+0.16 under+0.04 find+0.04 however+0.024 other+0.016 but+0.008 between+0.008 different+0.016 it+0.04 or+0.016 model+0.008 not+0.008
CLASS16: 1+0.5649789029535865 2+0.44050632911392407 3+0.2240506329113924 but+0.24345991561181435 given+0.19746835443037974 it+0.5569620253164557 large+0.25443037974683547 or+0.3949367088607595 particular+0.16371308016877636 some+0.21561181434599155 state+0.16835443037974684 two+0.450210970464135 well+0.2814345991561181 all+0.35864978902953587 analysis+0.039240506329113925 between+0.3240506329113924 both+0.21856540084388185 case+0.24767932489451477 find+0.21223628691983124 have+0.2907172995780591 here+0.159915611814346 into+0.1991561181434599 mass+0.15105485232067511 may+0.1371308016877637 number+0.2510548523206751 one+0.3729957805907173 study+0.31772151898734174 such+0.17763713080168778 system+0.1649789029535865 systems+0.12869198312236288 their+0.2489451476793249 there+0.2168776371308017 when+0.3042194092827004 where+0.4991561181434599 also+0.4210970464135021 data+0.043459915611814344 field+0.20843881856540084 high+0.0628691983122363 information+0.08354430379746836 its+0.2641350210970464 model+0.05358649789029536 models+0.08649789029535865 new+0.33122362869198313 non+0.11350210970464135 present+0.18860759493670887 show+0.5358649789029536 single+0.12742616033755275 structure+0.15822784810126583 only+0.2742616033755274 over+0.1831223628691983 set+0.2080168776371308 space+0.24092827004219408 three+0.1160337552742616 how+0.11856540084388185 however+0.15358649789029535 many+0.11308016877637131 more+0.23544303797468355 not+0.3856540084388186 order+0.19578059071729959 than+0.24852320675105485 time+0.28354430379746837 any+0.21814345991561182 been+0.16582278481012658 function+0.16751054852320676 has+0.3308016877637131 if+0.2907172995780591 other+0.21561181434599155 paper+0.2810126582278481 problem+0.23417721518987342 theory+0.23080168776371307 first+0.2540084388185654 results+0.3261603375527426 these+0.10675105485232067 while+0.20379746835443038 different+0.08185654008438818 they+0.13375527426160339 most+0.2088607594936709 demonstrate+0.02869198312236287 energy+0.07932489451476793 known+0.2008438818565401 due+0.0628691983122363 low+0.1109704641350211 provide+0.1489451476793249 then+0.23164556962025318 work+0.1189873417721519 approach+0.11054852320675106 method+0.0890295358649789 used+0.16033755274261605 under+0.14556962025316456 through+0.05189873417721519 properties+0.14177215189873418 use+0.1409282700421941 methods+0.060337552742616034 using+0.02067510548523207 based+0.03164556962025317 each+0.09915611814345991 proposed+0.06244725738396625 performance+0.04767932489451477 network+0.048945147679324896 propose+0.029957805907172997
CLASS17: 1+0.5290322580645161 all+0.3548387096774194 also+0.36774193548387096 between+0.35913978494623655 both+0.24516129032258063 but+0.2838709677419355 data+0.40860215053763443 energy+0.2129032258064516 find+0.35698924731182796 method+0.13978494623655913 model+0.44516129032258067 models+0.23870967741935484 not+0.35268817204301073 only+0.24086021505376345 paper+0.210752688172043 present+0.2903225806451613 provide+0.15483870967741936 space+0.12043010752688173 study+0.2924731182795699 these+0.5225806451612903 time+0.10752688172043011 use+0.14838709677419354 used+0.2086021505376344 well+0.35053763440860214 while+0.26666666666666666 any+0.12688172043010754 first+0.18064516129032257 here+0.15053763440860216 high+0.2817204301075269 large+0.30752688172043013 or+0.5333333333333333 order+0.15483870967741936 results+0.38924731182795697 their+0.3333333333333333 there+0.10752688172043011 when+0.18494623655913978 3+0.2924731182795699 field+0.2623655913978495 into+0.2129032258064516 new+0.33978494623655914 one+0.22365591397849463 then+0.16344086021505377 theory+0.16559139784946236 through+0.034408602150537634 two+0.06236559139784946 have+0.06881720430107527 mass+0.3032258064516129 most+0.22365591397849463 such+0.35053763440860214 approach+0.13548387096774195 different+0.24731182795698925 function+0.11612903225806452 however+0.04946236559139785 many+0.09032258064516129 single+0.07956989247311828 analysis+0.3010752688172043 may+0.08172043010752689 other+0.22580645161290322 some+0.16989247311827957 2+0.3720430107526882 if+0.0989247311827957 properties+0.1827956989247312 structure+0.16774193548387098 more+0.2924731182795699 non+0.06666666666666667 problem+0.07741935483870968 due+0.047311827956989246 known+0.13118279569892474 than+0.2838709677419355 low+0.17419354838709677 state+0.03870967741935484 given+0.0967741935483871 work+0.05591397849462366 information+0.1032258064516129 its+0.04516129032258064 show+0.04946236559139785 system+0.13333333333333333 case+0.13548387096774195 each+0.14408602150537633 over+0.05161290322580645 three+0.14838709677419354 how+0.12043010752688173 set+0.13118279569892474 they+0.13548387096774195 under+0.08602150537634409 it+0.05806451612903226 proposed+0.07311827956989247 number+0.03655913978494624 particular+0.060215053763440864 using+0.060215053763440864 where+0.017204301075268817 methods+0.11827956989247312 has+0.021505376344086023 network+0.06881720430107527 propose+0.03870967741935484 systems+0.13118279569892474 based+0.04086021505376344 demonstrate+0.043010752688172046 performance+0.05591397849462366 been+0.0064516129032258064
CLASS18: 1+0.4982078853046595 2+0.44265232974910396 3+0.25806451612903225 data+0.4650537634408602 field+0.246415770609319 function+0.14336917562724014 its+0.20698924731182797 low+0.22401433691756273 mass+0.24014336917562723 non+0.239247311827957 number+0.17921146953405018 problem+0.10931899641577061 results+0.36917562724014336 study+0.2939068100358423 their+0.23387096774193547 theory+0.17204301075268819 three+0.13620071684587814 using+0.46236559139784944 all+0.289426523297491 based+0.34587813620071683 have+0.34767025089605735 into+0.1953405017921147 properties+0.19086021505376344 single+0.12365591397849462 structure+0.1774193548387097 both+0.2724014336917563 demonstrate+0.11827956989247312 find+0.2724014336917563 how+0.08243727598566308 however+0.17293906810035842 large+0.3172043010752688 may+0.05734767025089606 models+0.13530465949820789 or+0.5286738351254481 paper+0.21953405017921146 particular+0.12634408602150538 show+0.4121863799283154 space+0.17114695340501793 well+0.3010752688172043 between+0.3064516129032258 different+0.06451612903225806 other+0.18996415770609318 time+0.2768817204301075 analysis+0.30376344086021506 energy+0.23207885304659498 given+0.0985663082437276 under+0.12096774193548387 approach+0.16308243727598568 been+0.19086021505376344 has+0.28225806451612906 high+0.3673835125448029 present+0.28225806451612906 used+0.22580645161290322 also+0.36379928315412186 if+0.11021505376344086 method+0.18010752688172044 new+0.33602150537634407 one+0.2025089605734767 order+0.18548387096774194 provide+0.05824372759856631 two+0.01881720430107527 first+0.23655913978494625 most+0.22132616487455198 set+0.14157706093189965 through+0.07078853046594982 use+0.18189964157706093 propose+0.11648745519713262 proposed+0.11827956989247312 these+0.07078853046594982 system+0.1442652329749104 when+0.05734767025089606 known+0.11648745519713262 some+0.11559139784946236 then+0.13261648745519714 where+0.0913978494623656 while+0.07347670250896057 any+0.11379928315412187 many+0.0931899641577061 model+0.02956989247311828 not+0.28136200716845877 due+0.19623655913978494 only+0.18996415770609318 but+0.08422939068100359 methods+0.12813620071684587 it+0.06272401433691756 than+0.2777777777777778 case+0.10931899641577061 work+0.10304659498207885 over+0.20967741935483872 state+0.047491039426523295 more+0.22580645161290322 such+0.03763440860215054 here+0.12903225806451613 information+0.0456989247311828 each+0.12544802867383512 systems+0.12544802867383512 network+0.07706093189964158 there+0.10752688172043011 performance+0.10215053763440861 they+0.05017921146953405
CLASS19: analysis+0.24695039306045 based+0.3767958796421795 data+0.4060721062618596 demonstrate+0.16833830306316075 different+0.2575223637842234 due+0.18541610192464084 each+0.16671184602873407 energy+0.1949037679587964 high+0.2624017348875034 model+0.4876660341555977 non+0.2108972621306587 or+0.08050962320412036 propose+0.1959880726484142 such+0.4017348875033884 these+0.42423420981295745 through+0.15830848468419625 field+0.17240444564922744 find+0.19924098671726756 large+0.0628896719978314 low+0.17836812144212524 mass+0.13906207644348062 not+0.24071564109514773 order+0.1829764163730008 properties+0.18107888316616969 set+0.127134724857685 show+0.41637300081322853 structure+0.15641095147736514 theory+0.17348875033884523 all+0.20222282461371646 approach+0.224451070750881 been+0.2209270805096232 between+0.3087557603686636 but+0.07264841420439143 have+0.3307129303334237 however+0.22607752778530768 its+0.22417999457847657 present+0.2393602602331255 single+0.1257793439956628 space+0.17728381675250746 study+0.2523719165085389 their+0.2713472485768501 using+0.4204391433992952 also+0.34128490105719705 if+0.08376253727297371 may+0.1396042287882895 number+0.17403090268365412 one+0.2285172133369477 results+0.4068853347790729 state+0.06044998644619138 there+0.11141230685822716 used+0.264570344266739 first+0.21116833830306317 has+0.271889400921659 information+0.16915153158037408 method+0.20764434806180537 new+0.31417728381675253 only+0.19381946326917865 paper+0.2867985904039035 models+0.22824613716454323 particular+0.08674437516942261 they+0.12361073461642721 work+0.14746543778801843 more+0.2399024125779344 other+0.20384928164814312 provide+0.18460287340742748 some+0.05611276768772025 than+0.23610734616427215 when+0.201951748441312 into+0.2203849281648143 under+0.1211710490647872 3+0.018975332068311195 any+0.08999728923827595 both+0.2689075630252101 case+0.10436432637571158 it+0.06939550013553808 most+0.2000542152344809 here+0.15397126592572513 then+0.16671184602873407 many+0.14231499051233396 well+0.07752778530767146 three+0.12550826782325833 use+0.21035510978584981 while+0.22661968013011657 how+0.13635131471943615 1+0.013553808620222282 time+0.2987259419896991 known+0.08132285172133369 over+0.1805367308213608 where+0.07942531851450257 2+0.009758742206560044 network+0.1591217132014096 performance+0.17972350230414746 two+0.009758742206560044 problem+0.16183247492545405 proposed+0.19625914882081866 methods+0.15993494171862294 system+0.2149634047167254 function+0.14204391433992952 given+0.07942531851450257 systems+0.17592843589048524
CLASS2: 1+0.4047838086476541 3+0.15026065624041704 all+0.21895124195032198 also+0.4164366758662987 approach+0.18797914750076664 based+0.3563324133701319 function+0.1708065010732904 how+0.12204845139527752 it+0.5136461208218338 known+0.16252683226004294 methods+0.12480834099969335 new+0.2959214964734744 non+0.2511499540018399 one+0.3130941429009506 order+0.19533885311254218 particular+0.1662066850659307 results+0.384851272615762 show+0.5148727384237963 study+0.25912296841459675 2+0.32229377491567 analysis+0.20821833793314934 any+0.14351425942962281 data+0.32229377491567 field+0.18675252989880406 first+0.26034958601655933 has+0.30788101809260965 high+0.07635694572217111 into+0.1974854339159767 low+0.12358172339773076 mass+0.03955841766329347 may+0.14320760502913216 model+0.4329960134927936 models+0.16191352345906163 over+0.18889911070223858 than+0.2177246243483594 their+0.2072983747316774 time+0.2965348052744557 two+0.45906163753449863 well+0.2646427476234284 but+0.2164980067463968 case+0.192885617908617 find+0.05090463048144741 more+0.08892977614228764 most+0.07482367371971788 only+0.2532965348052745 present+0.21404477154247165 set+0.16988653787181845 space+0.06378411530205458 they+0.11438209138301135 using+0.3784115302054584 when+0.27138914443422263 both+0.25544311560870897 demonstrate+0.11714198098742717 different+0.250229990800368 paper+0.3091076356945722 properties+0.13922109782275377 through+0.12419503219871206 where+0.4228764182766023 due+0.14044771542471635 its+0.2548298068077277 not+0.33486660533578655 energy+0.03679852805887764 have+0.2646427476234284 here+0.11008892977614229 propose+0.11131554737810488 structure+0.13799448022079117 been+0.17755289788408463 however+0.16528672186445875 number+0.22447102115915363 state+0.06010426249616682 use+0.15394050904630482 work+0.20361852192578964 theory+0.19257896350812634 each+0.19717877951548604 given+0.15486047224777674 three+0.12787488500459981 between+0.31340079730144127 large+0.052744556884391294 many+0.1082490033731984 if+0.15179392824287027 there+0.1478074210364919 used+0.2321373811714198 or+0.052744556884391294 then+0.18521925789635083 system+0.18736583869978535 under+0.14719411223551057 method+0.19411223551057957 other+0.11254216498006746 provide+0.14842072983747318 some+0.15179392824287027 these+0.03986507206378412 proposed+0.19319227230910763 while+0.05090463048144741 problem+0.24133701318613923 such+0.06010426249616682 information+0.14504753143207605 systems+0.12879484820607176 single+0.07942348972707758 performance+0.14719411223551057 network+0.13124808340999694
